"Wollaston Beach, Quincy: Bacterial Water Quality",,,,,,,,,,,
,,,,Milton Road,,Channing Street,,Sachem Street,,Rice Road,
"July 30, 2024",0,0.03,0.03,<,10,,20,,10,,10
"July 29, 2024",0.03,0.03,0.03,<,10,<,10,,10,,20
"July 28, 2024",0,0,0,,158,,31,,223,,125
"July 27, 2024",0,0,0,,10,,10,<,10,<,10
"July 26, 2024",0,0,0.01,,12,,7,,28,,7
"July 25, 2024",0,0.01,0.02,,4,,2,,38,,42
"July 24, 2024",0.01,0.02,0.03,<,10,,10,,10,,10
"July 23, 2024",0.01,0.02,0.02,,20,,20,,52,<,10
"July 22, 2024",0.01,0.01,0.01,,10,,10,,10,,20
"July 21, 2024",0,0,0,,156,,10,,20,,247
"July 20, 2024",0,0,0.2,<,10,,31,,10,,10
"July 19, 2024",0,0.2,0.22,,160,,76,,48,,35
"July 18, 2024",0.2,0.22,0.22,,13,,19,,12,,10
"July 17, 2024",0.02,0.02,0.06,,20,<,10,<,10,<,10
"July 16, 2024",0,0.04,0.04,<,10,,20,,20,,30
"July 15, 2024",0.04,0.04,0.34,<,10,<,10,<,10,<,10
"July 14, 2024",0,0.3,0.33,<,10,,20,,20,,30
"July 13, 2024",0.3,0.33,0.33,<,10,,10,<,10,<,10
"July 12, 2024",0.03,0.03,0.03,,7,,8,<,2,,4
"July 11, 2024",0,0,0,,10,,5,,10,<,2
"July 10, 2024",0,0,0,<,10,<,10,<,10,,10
"July 9, 2024",0,0,0,<,10,,20,,20,,52
"July 8, 2024",0,0,0,,10,,20,,10,<,10
"July 7, 2024",0,0,0.38,<,10,<,10,<,10,,10
"July 6, 2024",0,0.38,0.38,,142,<,10,,10,<,10
"July 5, 2024",0.38,0.38,0.38,,25,,17,<,2,,12
"July 4, 2024",0,0,0,,20,,50,,2,,2
"July 3, 2024",0,0,0.16,<,10,,10,<,10,,10
"July 2, 2024",0,0.16,0.18,<,10,,134,,31,,41
"July 1, 2024",0.16,0.18,0.18,,30,<,10,<,10,,10
"June 30, 2024",0.02,0.02,0.02,,10,<,10,,10,<,10
"June 29, 2024",0,0,0.08,,10,,20,,52,,41
"June 28, 2024",0,0.08,2.05,,15,,10,,146,,30
"June 27, 2024",0.08,2.05,2.05,,18,,577,,277,,10
"June 26, 2024",1.97,1.97,2.07,<,10,,31,,20,,10
"June 25, 2024",0,0.1,0.18,,130,,171,,373,,195
"June 24, 2024",0.1,0.18,0.36,,98,,110,<,10,<,10
"June 23, 2024",0.08,0.26,0.74,,355,,789,,816,,110
"June 22, 2024",0.18,0.66,0.95,,85,,31,,97,,63
"June 21, 2024",0.48,0.77,0.77,,20,,22,,41,,6
"June 20, 2024",0.29,0.29,0.29,,4,,8,,2,<,2
"June 19, 2024",0,0,0,<,10,<,10,<,10,,10
"June 18, 2024",0,0,0,,30,,20,,20,<,10
"June 17, 2024",0,0,0.03,,20,<,10,,20,<,10
"June 16, 2024",0,0.03,0.57,<,10,<,10,,10,,41
"June 15, 2024",0.03,0.57,0.57,,3260,,1440,,191,,161
"June 11, 2024",0,0,0.23,,41,,10,,10,<,10
"June 4, 2024",0,0,0,,31,,52,,63,,63
"May 29, 2024",0,0.14,0.4,,,,435,,52,,
"May 28, 2024",0.14,0.4,0.52,,74,,1260,,3450,<,10
"May 21, 2024",0,0,0.08,<,10,<,10,<,10,<,10
"September 3, 2023",0.01,0.01,0.01,,51,,20,,10,,41
"September 2, 2023",0,0,0,<,10,,10,,135,,10
"September 1, 2023",0,0,0.54,,44,<,2,,60,,65
"August 31, 2023",0,0.54,0.83,,14,,103,,54,,65
"August 30, 2023",0.54,0.83,0.83,,583,,1270,,98,,52
"August 29, 2023",0.29,0.29,0.29,,143,,20,,10,,31
"August 28, 2023",0,0,0,,10,<,10,<,10,<,10
"August 27, 2023",0,0,1.78,,10,,556,,63,,187
"August 26, 2023",0,1.78,1.79,,10,<,10,,20,,74
"August 25, 2023",1.78,1.79,1.79,,8,,900,,4,,2
"August 24, 2023",0.01,0.01,0.01,,82,,154,<,2,,4
"August 23, 2023",0,0,0.28,<,10,,41,,591,,20
"August 22, 2023",0,0.28,0.28,,249,,233,,288,,10
"August 21, 2023",0.28,0.28,0.28,,20,,173,,20,,84
"August 20, 2023",0,0,1.35,,10,,10,<,10,<,10
"August 19, 2023",0,1.35,1.35,<,10,<,10,<,10,<,10
"August 18, 2023",1.35,1.35,1.35,,28,,59,,27,,17
"August 17, 2023",0,0,0.64,,48,,2,<,2,<,2
"August 16, 2023",0,0.64,0.64,,63,,41,,31,<,10
"August 15, 2023",0.64,0.64,0.79,,907,,706,,41,,41
"August 14, 2023",0,0.15,0.15,<,10,,10,,10,<,10
"August 13, 2023",0.15,0.15,0.2,<,10,,10,<,10,,10
"August 12, 2023",0,0.05,0.09,,31,,63,<,10,,10
"August 11, 2023",0.05,0.09,0.09,,8,,16,,11,<,2
"August 10, 2023",0.04,0.04,1.37,,5,,43,,97,,14
"August 9, 2023",0,1.33,1.33,,20,,10,,10,,74
"August 8, 2023",1.33,1.33,1.33,<,10,,52,,41,,20
"August 7, 2023",0,0,0,,10,,52,<,10,<,10
"August 6, 2023",0,0,0,<,10,,158,,31,<,10
"August 5, 2023",0,0,0,,20,<,10,,85,,10
"August 4, 2023",0,0,0,,,,151,<,2,,4
"August 3, 2023",0,0,0,<,2,,2,,10,<,2
"August 2, 2023",0,0,0,,20,<,10,<,10,<,10
"August 1, 2023",0,0,0,,96,,10,<,10,,41
"July 31, 2023",0,0,3.07,,10,,231,,10,,31
"July 30, 2023",0,3.07,3.07,,959,,1580,,1860,,2610
"July 29, 2023",3.07,3.07,3.3,<,10,,565,,10,<,10
"July 28, 2023",0,0.23,0.23,,17,,17,,13,,13
"July 27, 2023",0.23,0.23,1.11,<,2,<,2,,4,,8
"July 26, 2023",0,0.88,0.88,,63,,97,,74,,110
"July 25, 2023",0.88,0.88,0.88,,10,,10,,31,<,10
"July 24, 2023",0,0,0,,10,,41,,10,,20
"July 23, 2023",0,0,1.98,,20,,52,,63,,20
"July 22, 2023",0,1.98,1.98,,135,,292,,74,,228
"July 21, 2023",1.98,1.98,1.98,,14,,111,<,2,,28
"July 20, 2023",0,0,0,,2,<,2,,37,<,2
"July 19, 2023",0,0,0,,10,<,10,<,10,<,10
"July 18, 2023",0,0,1.6,<,10,<,10,<,10,<,10
"July 17, 2023",0,1.6,1.6,,10,<,10,,243,,30
"July 16, 2023",1.6,1.6,1.72,<,10,<,10,,41,<,10
"July 15, 2023",0,0.12,0.18,,10,<,10,<,10,<,10
"July 14, 2023",0.12,0.18,0.18,,89,,238,,17,,6
"July 13, 2023",0.06,0.06,0.06,,27,,12,,6,,2
"July 12, 2023",0,0,0.71,,20,<,10,<,10,<,10
"July 11, 2023",0,0.71,0.71,,10,<,10,<,10,<,10
"July 10, 2023",0.71,0.71,0.71,,10,,52,,10,,10
"July 9, 2023",0,0,0,<,10,<,10,,63,<,10
"July 8, 2023",0,0,0,<,10,<,10,<,10,<,10
"July 7, 2023",0,0,0,<,2,,10,,12,,2
"July 6, 2023",0,0,0.47,,10,,13,<,2,,6
"July 5, 2023",0,0.47,1.46,,20,,20,,20,,86
"July 4, 2023",0.47,1.46,1.78,,1500,,717,,199,,52
"July 3, 2023",0.99,1.31,1.31,,2140,,1990,,2380,,31
"July 2, 2023",0.32,0.32,0.32,<,10,,10,<,10,,10
"July 1, 2023",0,0,0,,10,<,10,,41,<,10
"June 30, 2023",0,0,0.53,,4,,52,,5,,18
"June 29, 2023",0,0.53,1.08,,4,,32,,8,,20
"June 28, 2023",0.53,1.08,1.08,,909,,85,,31,,10
"June 27, 2023",0.55,0.55,0.57,,84,,84,,10,,51
"June 26, 2023",0,0.02,0.07,,10,,10,<,10,<,10
"June 25, 2023",0.02,0.07,0.07,<,10,<,10,<,10,<,10
"June 24, 2023",0.05,0.05,0.05,,10,<,10,<,10,<,10
"June 23, 2023",0,0,0,,25,,385,,10,,6
"June 22, 2023",0,0,0,,27,,6,,2,<,2
"June 21, 2023",0,0,0,<,10,,20,<,10,<,10
"June 20, 2023",0,0,0.04,,10,,20,,20,<,10
"June 19, 2023",0,0.04,0.81,<,10,,51,,120,,10
"June 12, 2023",0.34,0.34,0.68,,10,,41,<,10,<,10
"June 7, 2023",0,0,0.07,,,,10,,20,,
"June 5, 2023",0.07,0.17,0.25,,60,,110,,180,,90
"September 4, 2022",0,0,0,<,10,<,10,<,10,,20
"September 3, 2022",0,0,0,<,10,,10,<,10,<,10
"September 2, 2022",0,0,0.33,,2,,5,,24,,12
"September 1, 2022",0,0.33,0.33,,17,,29,,12,,33
"August 31, 2022",0.33,0.33,0.33,,933,,573,,171,,173
"August 30, 2022",0,0,0,,63,<,10,,41,,52
"August 29, 2022",0,0,0,,52,,20,,20,,31
"August 28, 2022",0,0,0.41,,52,,63,,52,,20
"August 27, 2022",0,0.41,0.41,,4880,,488,,4880,,480
"August 26, 2022",0.41,0.41,0.41,,4,,6,,2,,6
"August 25, 2022",0,0,0.02,,40,,13,,40,,78
"August 24, 2022",0,0.02,0.46,,10,,41,,20,,31
"August 23, 2022",0.02,0.46,0.46,,633,,393,,345,,332
"August 22, 2022",0.44,0.44,0.44,<,10,,10,,10,<,10
"August 21, 2022",0,0,0,,10,,31,,10,,31
"August 20, 2022",0,0,0,,30,,31,<,10,<,10
"August 19, 2022",0,0,0.01,,14,,27,,32,,7
"August 18, 2022",0,0.01,0.01,,4,,27,,32,,33
"August 17, 2022",0.01,0.01,0.01,,95,,20,,262,,201
"August 16, 2022",0,0,0,,63,,794,,110,,85
"August 15, 2022",0,0,0,,10,,10,,10,<,10
"August 14, 2022",0,0,0,<,10,,10,,10,,10
"August 13, 2022",0,0,0,,211,,269,,223,,275
"August 12, 2022",0,0,0,,43,,28,,33,,52
"August 11, 2022",0,0,0.14,,68,,57,,117,,83
"August 10, 2022",0,0.14,0.14,,185,,240,,179,,318
"August 9, 2022",0.14,0.14,0.17,,10,,31,,10,,10
"August 8, 2022",0,0.03,0.03,,20,<,10,,10,,20
"August 7, 2022",0.03,0.03,0.11,,30,,10,<,10,<,10
"August 6, 2022",0,0.08,0.08,,63,,31,,52,,121
"August 5, 2022",0.08,0.08,0.08,,6,<,2,,8,,37
"August 4, 2022",0,0,0,,10,,8,,8,,48
"August 3, 2022",0,0,0.01,,465,,52,,156,,1110
"August 2, 2022",0,0.01,0.01,,98,,97,,41,,41
"August 1, 2022",0.01,0.01,0.01,<,10,<,10,,20,,10
"July 31, 2022",0,0,0,<,10,,10,,20,<,10
"July 30, 2022",0,0,0.04,<,10,,10,,10,<,10
"July 29, 2022",0,0.04,0.04,,6,,2,,2,,4
"July 28, 2022",0.04,0.04,0.04,,62,,2,,4,,4
"July 27, 2022",0,0,0,<,10,<,10,<,10,<,10
"July 26, 2022",0,0,0,<,10,<,10,,20,<,10
"July 25, 2022",0,0,0,<,10,<,10,<,10,,20
"July 24, 2022",0,0,0,<,10,<,10,<,10,,31
"July 23, 2022",0,0,0,,10,,20,<,10,<,10
"July 22, 2022",0,0,0,,22,,4,,4,,4
"July 21, 2022",0,0,0.02,,2,,7,,2,<,2
"July 20, 2022",0,0.02,0.17,<,10,<,10,<,10,<,10
"July 19, 2022",0.02,0.17,0.17,<,10,,63,<,10,,10
"July 18, 2022",0.15,0.15,0.15,<,10,,10,<,10,<,10
"July 17, 2022",0,0,0,<,10,,10,<,10,<,10
"July 16, 2022",0,0,0.16,<,10,,20,<,10,<,10
"July 15, 2022",0,0.16,0.16,,4,,20,,6,,5
"July 14, 2022",0.16,0.16,0.17,,75,,22,,30,,17
"July 13, 2022",0,0.01,0.01,,20,,10,,41,,20
"July 12, 2022",0.01,0.01,0.01,<,10,<,10,<,10,<,10
"July 11, 2022",0,0,0,<,10,<,10,<,10,<,10
"July 10, 2022",0,0,0,,31,,31,<,10,<,10
"July 9, 2022",0,0,0,,10,<,10,<,10,,10
"July 8, 2022",0,0,0.01,,2,,12,,2,<,2
"July 7, 2022",0,0.01,0.05,,4,,10,<,2,,22
"July 6, 2022",0.01,0.05,0.05,<,10,,10,<,10,<,10
"July 5, 2022",0.04,0.04,0.04,<,10,<,10,<,10,<,10
"July 4, 2022",0,0,0.19,<,10,,10,<,10,<,10
"July 3, 2022",0,0.19,0.19,,20,,41,,41,,110
"July 2, 2022",0.19,0.19,0.19,,833,,637,,404,,20
"July 1, 2022",0,0,0,<,2,,4,,4,,131
"June 30, 2022",0,0,0,,7,,18,,2,,14
"June 29, 2022",0,0,0.65,<,10,<,10,,20,,20
"June 28, 2022",0,0.65,0.65,,20,,10,<,10,<,10
"June 27, 2022",0.65,0.65,0.65,<,10,<,10,<,10,,10
"June 26, 2022",0,0,0,<,10,<,10,<,10,<,10
"June 25, 2022",0,0,0,<,10,,10,<,10,,10
"June 24, 2022",0,0,0,,18,,7,,12,,10
"June 23, 2022",0,0,0,,2,,15,<,2,<,2
"June 22, 2022",0,0,0,,31,,10,,10,,20
"June 21, 2022",0,0,0.31,<,10,<,10,<,10,<,10
"June 20, 2022",0,0.31,0.31,,10,,275,,20,<,10
"June 19, 2022",0.31,0.31,0.31,,327,,857,,428,,52
"June 18, 2022",0,0,0,,10,,970,<,10,,10
"June 17, 2022",0,0,0,,8,,30,,4,,254
"June 16, 2022",0,0,0,,2,,4,<,2,,8
"June 15, 2022",0,0,0.09,,63,,10,,10,<,10
"June 14, 2022",0,0.09,0.09,,292,,10,<,10,,52
"June 13, 2022",0.09,0.09,0.09,,31,<,10,<,10,<,10
"June 12, 2022",0,0,0,,31,<,10,<,10,<,10
"June 11, 2022",0,0,0.85,<,10,,10,,10,<,10
"June 10, 2022",0,0.85,1.08,,8,,38,,70,,57
"June 9, 2022",0.85,1.08,1.08,>,2600,>,2600,>,2600,,25
"June 3, 2022",0.01,0.11,0.2,,52,,79,,33,,32
"June 2, 2022",0.1,0.19,0.19,,17,,231,,392,,2
"May 27, 2022",0,0,0,,6,,17,<,2,,4
"May 26, 2022",0,0,0,,2,,8,,2,<,2
"September 5, 2021",0.05,0.05,0.05,,18,,52,<,2,,10
"September 4, 2021",0,0,2.54,,65,,8,,12,,42
"September 3, 2021",0,2.54,4.23,,29,,33,,44,,44
"September 1, 2021",1.69,1.69,1.71,,10,,85,,73,,30
"August 31, 2021",0,0.02,0.1,<,10,<,10,,20,,63
"August 30, 2021",0.02,0.1,0.17,<,10,<,10,,10,,20
"August 29, 2021",0.08,0.15,0.15,,20,,41,,52,,187
"August 28, 2021",0.07,0.07,0.07,,223,,223,,52,,30
"August 27, 2021",0,0,0,,138,,346,,49,,44
"August 26, 2021",0,0,0,,68,,103,,60,,52
"August 25, 2021",0,0,1.69,,63,,20,,20,<,10
"August 24, 2021",0,1.69,2.45,,309,,794,,933,,2140
"August 21, 2021",0,0.05,1.19,,20,<,10,,85,,41
"August 20, 2021",0.05,1.19,1.19,,30,,35,,23,,8
"August 19, 2021",1.14,1.14,1.14,,60,,59,,10,,14
"August 18, 2021",0,0,0,,30,,10,,20,,20
"August 17, 2021",0,0,0,,10,,20,<,10,<,10
"August 16, 2021",0,0,0.01,,10,,20,<,10,<,10
"August 15, 2021",0,0.01,0.01,,10,,10,,63,<,10
"August 14, 2021",0.01,0.01,0.01,<,10,<,10,,10,<,10
"August 13, 2021",0,0,0,,7,,8,,10,,13
"August 12, 2021",0,0,0.03,,2,,8,,3,,6
"August 11, 2021",0,0.03,1.18,<,10,,10,<,10,<,10
"August 10, 2021",0.03,1.18,1.18,,341,,146,,134,,51
"August 9, 2021",1.15,1.15,1.15,,52,,187,,121,,74
"August 8, 2021",0,0,0,,10,<,10,<,10,,10
"August 7, 2021",0,0,1.42,<,10,,10,<,10,<,10
"August 6, 2021",0,1.42,2,,57,,90,,52,,68
"August 5, 2021",1.42,2,2,>,2600,>,2600,>,2600,>,2600
"August 4, 2021",0.58,0.58,0.58,,10,,52,,10,,20
"August 3, 2021",0,0,0,<,10,<,10,<,10,,10
"August 2, 2021",0,0,0,,10,,31,,10,,10
"August 1, 2021",0,0,0.14,<,10,,31,<,10,<,10
"July 31, 2021",0,0.14,0.15,<,10,<,10,<,10,<,10
"July 30, 2021",0.14,0.15,0.15,,4,,23,,81,,13
"July 29, 2021",0.01,0.01,0.39,,5,,2,,10,,2
"July 28, 2021",0,0.38,0.38,,882,,794,,249,,221
"July 27, 2021",0.38,0.38,0.53,,10,,10,,74,,52
"July 26, 2021",0,0.15,0.15,,98,,422,,226,,120
"July 25, 2021",0.15,0.15,0.15,<,10,<,10,<,10,<,10
"July 24, 2021",0,0,0,,10,<,10,<,10,<,10
"July 23, 2021",0,0,0,,12,,3,,8,,8
"July 22, 2021",0,0,0,,22,,32,,7,,19
"July 21, 2021",0,0,0,,63,,74,,30,,20
"July 20, 2021",0,0,0.3,,20,,20,,20,,20
"July 19, 2021",0,0.3,0.47,,265,,314,,82,,31
"July 18, 2021",0.3,0.47,0.49,,2490,,959,,73,,20
"July 17, 2021",0.17,0.19,0.19,,120,,278,,309,,109
"July 16, 2021",0.02,0.02,0.02,,2,<,2,,12,,4
"July 15, 2021",0,0,0.01,,16,,19,,14,,10
"July 14, 2021",0,0.01,1.22,,98,,74,,63,,97
"July 13, 2021",0.01,1.22,1.25,,74,,122,,404,,216
"July 12, 2021",1.21,1.24,1.29,,1520,,1360,,4160,,3450
"July 11, 2021",0.03,0.08,2.12,<,10,,10,<,10,<,10
"July 10, 2021",0.05,2.09,2.39,,109,,97,,173,,158
"July 8, 2021",0.3,0.33,0.62,,1100,,369,,143,,13
"July 7, 2021",0.03,0.32,0.32,,20,,98,,41,<,10
"July 6, 2021",0.29,0.29,0.6,<,10,,10,,10,<,10
"July 5, 2021",0,0.31,1.99,,52,,20,,86,,10
"July 4, 2021",0.31,1.99,3.66,,336,,435,,465,,984
"July 3, 2021",1.68,3.35,4.63,,727,,556,,331,,336
"July 2, 2021",1.67,2.95,3.11,>,2600,>,2600,>,2600,,2400
"July 1, 2021",1.28,1.44,1.44,,4,,7,,6,,5
"June 30, 2021",0.16,0.16,0.16,<,10,,10,,20,,20
"June 29, 2021",0,0,0,<,10,<,10,,10,<,10
"June 28, 2021",0,0,0,<,10,,10,<,10,<,10
"June 27, 2021",0,0,0.09,<,10,,10,<,10,<,10
"June 26, 2021",0,0.09,0.09,<,10,<,10,<,10,,10
"June 25, 2021",0.09,0.09,0.09,,60,,79,,10,,6
"June 24, 2021",0,0,0.91,<,2,<,2,<,2,,3
"June 23, 2021",0,0.91,0.91,,146,,10,,161,,63
"June 22, 2021",0.91,0.91,0.91,<,10,<,10,,10,<,10
"June 21, 2021",0,0,0,<,10,<,10,,10,,10
"June 20, 2021",0,0,0,<,10,,10,,10,<,10
"June 19, 2021",0,0,0,,10,<,10,,10,<,10
"June 18, 2021",0,0,0,<,2,,10,,4,,2
"June 17, 2021",0,0,0.01,<,2,,5,,7,,40
"June 16, 2021",0,0.01,0.54,,2,,23,,15,,33
"June 10, 2021",0,0.05,0.05,,10,,6,,4,,17
"June 3, 2021",0,0,0,,2,<,2,,8,<,2
"June 1, 2021",0,0.15,0.87,,3,,5,,4,,5
"May 27, 2021",0.01,0.29,0.29,<,2,,5,,8,,11
"September 6, 2020",0,0,0,,10,<,10,<,10,,10
"September 5, 2020",0,0,0.01,,10,,119,,10,<,10
"September 4, 2020",0,0.01,0.21,<,2,<,2,,10,,8
"September 3, 2020",0.01,0.21,0.21,,8,,4,,21,,8
"September 2, 2020",0.2,0.2,0.2,,20,,31,,10,,20
"September 1, 2020",0,0,0,,10,,41,,187,,135
"August 31, 2020",0,0,0.07,<,10,,31,<,10,<,10
"August 30, 2020",0,0.07,0.07,,134,<,10,,20,,132
"August 29, 2020",0.07,0.07,0.25,,20,,10,,10,,278
"August 28, 2020",0,0.18,0.18,<,2,,35,,22,,45
"August 27, 2020",0.18,0.18,0.18,<,2,,3,,4,,2
"August 26, 2020",0,0,0,<,10,,31,,10,,10
"August 25, 2020",0,0,1.33,<,10,,771,,10,,10
"August 24, 2020",0,1.33,1.33,,171,,121,,275,,86
"August 23, 2020",1.33,1.33,1.33,,31,,20,,30,,20
"August 22, 2020",0,0,0,<,10,,20,,20,,20
"August 21, 2020",0,0,0.06,,2,,2,,4,<,2
"August 20, 2020",0,0.06,0.22,,13,,15,,32,,87
"August 19, 2020",0.06,0.22,0.3,,20,,30,,63,<,10
"August 18, 2020",0.16,0.24,0.4,,52,,74,,63,,20
"August 17, 2020",0.08,0.24,0.24,,836,,1860,,1400,,175
"August 16, 2020",0.16,0.16,0.16,,146,,20,,41,<,10
"August 15, 2020",0,0,0,,233,,187,<,10,,185
"August 14, 2020",0,0,0,,87,,46,,10,,15
"August 13, 2020",0,0,0,,3,,315,,51,,23
"August 12, 2020",0,0,0,<,10,,10,<,10,,10
"August 11, 2020",0,0,0,,10,,246,,10,<,10
"August 10, 2020",0,0,0,<,10,<,10,<,10,,10
"August 9, 2020",0,0,0,<,10,<,10,,52,<,10
"August 8, 2020",0,0,0,,331,,228,,86,,789
"August 7, 2020",0,0,0,,700,,280,,49,,300
"August 6, 2020",0,0,0.17,,79,,323,,20,,62
"August 5, 2020",0,0.17,0.17,<,10,,74,,243,<,10
"August 4, 2020",0.17,0.17,0.24,<,10,,10,<,10,,20
"August 3, 2020",0,0.07,0.07,,10,<,10,,52,,10
"August 2, 2020",0.07,0.07,0.07,,20,,20,<,10,<,10
"August 1, 2020",0,0,0,,10,<,10,,20,<,10
"July 31, 2020",0,0,0,,7,,33,,6,,5
"July 30, 2020",0,0,0,,5,,28,,2,,8
"July 29, 2020",0,0,0,,10,<,10,,10,<,10
"July 28, 2020",0,0,0,,10,,907,<,10,,10
"July 27, 2020",0,0,0,<,10,<,10,,712,,20
"July 26, 2020",0,0,0,<,10,,10,,41,<,10
"July 25, 2020",0,0,0.57,,52,,63,<,10,,52
"July 24, 2020",0,0.57,0.68,,76,,157,,159,,71
"July 23, 2020",0.57,0.68,0.68,,51,,38,,970,,29
"July 22, 2020",0.11,0.11,0.11,,185,,20,,10,,31
"July 21, 2020",0,0,0,<,10,<,10,<,10,<,10
"July 20, 2020",0,0,0,<,10,<,10,<,10,,10
"July 19, 2020",0,0,0.11,,41,,20,<,10,<,10
"July 18, 2020",0,0.11,0.11,,833,,63,<,10,,10
"July 17, 2020",0.11,0.11,0.18,,1670,,408,,2,,2
"July 16, 2020",0,0.07,0.69,,2,<,2,,6,<,2
"July 15, 2020",0.07,0.69,0.76,,41,,41,,52,<,10
"July 14, 2020",0.62,0.69,0.69,<,10,,10,,10,<,10
"July 13, 2020",0.07,0.07,0.08,<,10,,20,<,10,<,10
"July 12, 2020",0,0.01,0.01,<,10,<,10,<,10,<,10
"July 11, 2020",0.01,0.01,0.01,<,10,,10,,20,<,10
"July 10, 2020",0,0,0,,12,,3,,33,,2
"July 9, 2020",0,0,0,<,2,,2,,2,<,2
"July 8, 2020",0,0,0,,20,,20,,20,,10
"July 7, 2020",0,0,0.11,<,10,<,10,,10,<,10
"July 6, 2020",0,0.11,0.11,,63,,74,,121,,216
"July 5, 2020",0.11,0.11,0.11,,20,<,10,,31,<,10
"July 4, 2020",0,0,0,,52,,345,,166,,183
"July 3, 2020",0,0,0.07,,33,,100,,14,,38
"July 2, 2020",0,0.07,0.25,,83,,35,,18,,2
"July 1, 2020",0.07,0.25,0.44,,85,,201,<,10,<,10
"June 30, 2020",0.18,0.37,1.56,,62,,2050,,472,,327
"June 29, 2020",0.19,1.38,1.4,,738,,231,,816,,160
"June 28, 2020",1.19,1.21,1.21,,10,<,10,<,10,,10
"June 27, 2020",0.02,0.02,0.02,<,10,<,10,,10,<,10
"June 26, 2020",0,0,0.01,,16,,7,,10,,2
"June 25, 2020",0,0.01,0.01,,2,,4,,7,,2
"June 24, 2020",0.01,0.01,0.01,<,10,<,10,<,10,<,10
"June 23, 2020",0,0,0,,10,<,10,,10,<,10
"June 22, 2020",0,0,0,,10,,10,,189,,223
"June 21, 2020",0,0,0,<,10,,20,<,10,<,10
"June 20, 2020",0,0,0,<,10,<,10,,10,<,10
"June 19, 2020",0,0,0,,8,,6,<,2,,2
"June 18, 2020",0,0,0,<,2,,4,<,2,<,2
"June 11, 2020",0.74,0.74,0.74,,100,,2,,2,,2
"June 4, 2020",0,0.01,0.03,,4,,5,,13,,7
"May 28, 2020",0,0,0,<,2,<,2,,8,<,2
"May 20, 2020",0,0,0,,2,,2,<,2,<,2
"September 1, 2019",0,0,0,,8,,86,,8,,4
"August 31, 2019",0,0,0.3,,12,,10,,40,<,2
"August 30, 2019",0,0.3,0.95,,8,,23,,17,<,2
"August 29, 2019",0.3,0.95,0.95,,1330,,1130,,833,,1300
"August 28, 2019",0.65,0.65,0.65,,41,,74,,20,,50
"August 27, 2019",0,0,0,<,10,<,10,,20,<,10
"August 26, 2019",0,0,0,,10,,275,<,10,<,10
"August 25, 2019",0,0,0,,41,,52,<,10,<,10
"August 24, 2019",0,0,0,,10,<,10,<,10,,10
"August 23, 2019",0,0,0.08,,37,,11,,5,,2
"August 22, 2019",0,0.08,0.08,,57,,13,,16,,2
"August 21, 2019",0.08,0.08,0.09,,52,,52,,63,,10
"August 20, 2019",0,0.01,0.17,,20,<,10,,20,,10
"August 19, 2019",0.01,0.17,0.17,,10,<,10,,20,,10
"August 18, 2019",0.16,0.16,0.16,,31,,122,,20,<,10
"August 17, 2019",0,0,0,<,10,,20,<,10,<,10
