"City Point Beach, South Boston: Bacterial Water Quality",,,,,
,,,,City Point at Farragut Road,
"July 1, 2021",1.28,1.44,1.44,,11
"June 24, 2021",0,0,0.91,,2
"June 17, 2021",0,0,0.01,<,2
"June 10, 2021",0,0.05,0.05,<,2
"June 3, 2021",0,0,0,<,2
"May 27, 2021",0.01,0.29,0.29,<,2
"September 3, 2020",0.01,0.21,0.21,,2
"August 27, 2020",0.18,0.18,0.18,<,2
"August 20, 2020",0,0.06,0.22,,2
"August 13, 2020",0,0,0,,4
"August 6, 2020",0,0,0.17,,4
"July 30, 2020",0,0,0,<,2
"July 23, 2020",0.57,0.68,0.68,<,2
"July 16, 2020",0,0.07,0.69,<,2
"July 9, 2020",0,0,0,,2
"July 2, 2020",0,0.07,0.25,,2
"June 25, 2020",0,0.01,0.01,<,2
"June 18, 2020",0,0,0,<,2
"June 11, 2020",0.74,0.74,0.74,,2
"June 4, 2020",0,0.01,0.03,<,2
"May 28, 2020",0,0,0,,10
"May 20, 2020",0,0,0,<,2
"August 29, 2019",0.3,0.95,0.95,,4
"August 22, 2019",0,0.08,0.08,,6
"August 15, 2019",0,0,0,<,2
"August 8, 2019",0.38,2.28,2.28,,3
"August 1, 2019",0,1.25,1.25,,38
"July 25, 2019",0,0,1.03,<,2
"July 18, 2019",0.04,0.47,0.47,,2
"July 11, 2019",0.02,0.02,0.02,,2
"July 2, 2019",0,0,0.16,,8
"June 27, 2019",0,0,0.13,,8
"June 20, 2019",0.37,0.37,0.47,<,2
"June 13, 2019",0.63,0.63,1.16,,4
"June 6, 2019",0.01,0.06,0.06,,17
"May 30, 2019",0.23,0.23,0.53,,17
"May 23, 2019",0.12,0.12,0.12,,4
"August 30, 2018",0,0,0,<,2
"August 23, 2018",0,0.5,0.5,<,2
"August 16, 2018",0,0,0.01,,2
"August 9, 2018",0.06,1.04,1.04,,68
"August 2, 2018",0,0,0,,4
"July 27, 2018",0,0.6,0.74,,3
"July 26, 2018",0.6,0.74,0.74,,408
"July 19, 2018",0,0.06,2.74,,5
"July 18, 2018",0.06,2.74,2.74,,2
"July 12, 2018",0,0.19,0.19,,2
"July 5, 2018",0,0,0.01,<,2
"June 21, 2018",0,0,0.01,<,2
"June 14, 2018",0,0,0,,2
"June 7, 2018",0,0,0.34,,92
"May 31, 2018",0,0,0,<,2
"May 24, 2018",0,0.02,0.05,<,2
"August 31, 2017",0,0.07,0.07,<,2
"August 24, 2017",0,0.04,0.04,<,2
"August 17, 2017",0,0,0,<,2
"August 10, 2017",0,0,0,<,2
"August 4, 2017",0,0,0.96,,4
"August 3, 2017",0,0.96,0.96,,106
"July 27, 2017",0.04,0.04,0.05,,2
"July 20, 2017",0,0,0.12,,10
"July 13, 2017",0.14,1.47,1.64,<,2
"July 6, 2017",0,0,0,<,2
"June 29, 2017",0,0,0.08,,2
"June 22, 2017",0,0,0.13,,2
"June 15, 2017",0,0,0.53,,13
"June 8, 2017",0,0.04,0.84,<,2
"June 1, 2017",0.16,0.22,0.22,<,2
"May 25, 2017",0.63,0.63,0.63,<,2
"September 1, 2016",0.02,0.02,0.02,,7
"August 25, 2016",0,0,0,<,2
"August 18, 2016",0,0,0,<,2
"August 11, 2016",0,0.23,0.23,,2
"August 4, 2016",0,0,0.04,<,10
"July 28, 2016",0,0,0,,5
"July 21, 2016",0,0,0,,14
"July 14, 2016",0,0,0,,2
"July 7, 2016",0,0,0.23,,22
"June 30, 2016",0,0.03,0.11,<,2
"June 23, 2016",0,0,0.02,<,2
"June 16, 2016",0,0,0,<,2
"June 9, 2016",0,0,0.15,<,2
"June 2, 2016",0,0,0,<,2
"May 26, 2016",0,0,0.26,,2
"September 3, 2015",0.01,0.01,0.01,,2
"August 27, 2015",0,0,0,,2
"August 20, 2015",0,0,0.14,<,2
"August 13, 2015",0,0,0.83,<,2
"August 6, 2015",0,0,0.49,,4
"July 30, 2015",0.02,0.02,0.02,,4
"July 23, 2015",0,0,0,<,2
"July 16, 2015",0,0,0.03,<,2
"July 9, 2015",0.15,0.15,0.17,,5
"July 2, 2015",0,0.54,0.54,<,2
"June 25, 2015",0,0,0.01,<,2
"June 18, 2015",0,0,0,<,2
"June 11, 2015",0,0,0,,2
"June 4, 2015",0,0,0.74,,4
"May 28, 2015",0,0,0,<,2
"May 21, 2015",0,0,0.27,,4
"August 28, 2014",0,0.02,0.02,<,2
"August 21, 2014",0,0,0,,4
"August 14, 2014",0,1.06,1.06,,8
"August 7, 2014",0.01,0.02,0.02,,43
"July 31, 2014",0,0,0,,2
"July 24, 2014",0,0,0,<,2
"July 17, 2014",0,0.85,0.85,,20
"July 10, 2014",0,0,0,<,2
"July 5, 2014",0.35,2.23,2.51,,14
"July 2, 2014",0,0,0,<,2
"June 26, 2014",0.28,0.28,0.28,<,2
"June 19, 2014",0,0,0.02,<,2
"June 12, 2014",0,0,0.85,<,2
"June 5, 2014",0.78,0.92,0.92,<,2
"May 29, 2014",0,0.08,0.56,,2
"May 22, 2014",0.25,0.25,0.25,<,2
"August 30, 2013",0,0,0,<,2
"August 29, 2013",0,0,0.01,,4
"August 28, 2013",0,0.01,0.02,,10
"August 27, 2013",0.01,0.02,0.02,,10
"August 26, 2013",0.01,0.01,0.01,<,10
"August 25, 2013",0,0,0,,4
"August 24, 2013",0,0,0,<,2
"August 23, 2013",0,0,0,,2
"August 22, 2013",0,0,0,,2
"August 21, 2013",0,0,0,,8
"August 20, 2013",0,0,0,<,10
"August 19, 2013",0,0,0,<,10
"August 18, 2013",0,0,0,<,10
"August 17, 2013",0,0,0,<,10
"August 16, 2013",0,0,0,<,2
"August 15, 2013",0,0,0,<,2
"August 14, 2013",0,0,0,<,10
"August 13, 2013",0,0,0,<,10
"August 12, 2013",0,0,0,,2
"August 11, 2013",0,0,1.62,<,2
"August 10, 2013",0,1.62,1.69,<,2
"August 9, 2013",1.62,1.69,1.69,,10
"August 8, 2013",0.07,0.07,0.07,,6
"August 7, 2013",0,0,0,<,2
"August 6, 2013",0,0,0,<,10
"August 5, 2013",0,0,0,,10
"August 4, 2013",0,0,0.13,,10
"August 3, 2013",0,0.13,0.13,<,10
"August 2, 2013",0.13,0.13,0.13,,2
"August 1, 2013",0,0,0,<,2
"July 31, 2013",0,0,0.33,,10
"July 30, 2013",0,0.33,0.34,,20
"July 29, 2013",0.33,0.34,0.34,,10
"July 28, 2013",0.01,0.01,1.01,<,10
"July 27, 2013",0,1,1.27,,10
"July 26, 2013",1,1.27,1.27,,2
"July 25, 2013",0.27,0.27,2.03,,2
"July 24, 2013",0,1.76,1.76,,10
"July 23, 2013",1.76,1.76,1.77,<,2
"July 22, 2013",0,0.01,0.01,,10
"July 21, 2013",0.01,0.01,0.01,<,10
"July 20, 2013",0,0,0,,20
"July 19, 2013",0,0,0,,2
"July 18, 2013",0,0,0.01,,2
"July 17, 2013",0,0.01,0.01,<,10
"July 16, 2013",0.01,0.01,0.01,<,10
"July 15, 2013",0,0,0,<,10
"July 14, 2013",0,0,0,<,10
"July 13, 2013",0,0,0.17,<,2
"July 12, 2013",0,0.17,0.18,,2
"July 11, 2013",0.17,0.18,0.18,,57
"July 10, 2013",0.01,0.01,0.02,,6
"July 9, 2013",0,0.01,0.01,,2
"July 8, 2013",0.01,0.01,0.01,<,2
"July 7, 2013",0,0,0,<,10
"July 6, 2013",0,0,0,<,10
"July 5, 2013",0,0,0,<,2
"July 3, 2013",0,0,0.03,<,2
"July 2, 2013",0,0.03,0.14,,12
"July 1, 2013",0.03,0.14,0.21,<,10
"June 30, 2013",0.11,0.18,0.63,<,10
"June 29, 2013",0.07,0.52,0.55,,10
"June 28, 2013",0.45,0.48,0.52,,12
"June 27, 2013",0.03,0.07,0.07,,6
"June 26, 2013",0.04,0.04,0.37,,6
"June 25, 2013",0,0.33,0.33,<,2
"June 24, 2013",0.33,0.33,0.33,<,2
"June 23, 2013",0,0,0,<,10
"June 22, 2013",0,0,0,,20
"June 21, 2013",0,0,0,,4
"June 20, 2013",0,0,0.63,,8
"June 15, 2013",0,1.02,1.74,<,2
"June 14, 2013",1.02,1.74,1.81,<,2
"June 13, 2013",0.72,0.79,2.17,,10
"June 9, 2013",0,0.54,3.61,,2
"June 8, 2013",0.54,3.61,3.63,,2
"June 6, 2013",0.02,0.02,0.02,,2
"May 30, 2013",0,0.84,0.84,<,2
"May 23, 2013",0.05,0.1,0.11,,4
"August 31, 2012",0,0,0,<,2
"August 30, 2012",0,0,0.15,<,2
"August 29, 2012",0,0.15,0.15,<,10
"August 28, 2012",0.15,0.15,0.15,<,10
"August 27, 2012",0,0,0,<,10
"August 26, 2012",0,0,0,<,10
"August 25, 2012",0,0,0,<,10
"August 24, 2012",0,0,0,,2
"August 23, 2012",0,0,0,<,2
"August 22, 2012",0,0,0,<,10
"August 21, 2012",0,0,0,,10
"August 20, 2012",0,0,0.04,,41
"August 19, 2012",0,0.04,0.04,,4
"August 18, 2012",0.04,0.04,0.04,<,2
"August 17, 2012",0,0,0.83,<,2
"August 16, 2012",0,0.83,0.83,,22
"August 15, 2012",0.83,0.83,0.83,,31
"August 14, 2012",0,0,0.01,<,10
"August 13, 2012",0,0.01,0.01,<,10
"August 12, 2012",0.01,0.01,1.18,<,10
"August 11, 2012",0,1.17,1.17,<,10
"August 10, 2012",1.17,1.17,1.17,,4
"August 9, 2012",0,0,0,,6
"August 8, 2012",0,0,0,<,10
"August 7, 2012",0,0,0.08,<,10
"August 6, 2012",0,0.08,0.08,<,10
"August 5, 2012",0.08,0.08,0.08,<,10
"August 4, 2012",0,0,0,<,10
"August 3, 2012",0,0,0.8,<,2
"August 2, 2012",0,0.8,1.28,,18
"August 1, 2012",0.8,1.28,1.28,<,2
"July 31, 2012",0.48,0.48,0.48,,10
"July 30, 2012",0,0,0.87,<,10
"July 29, 2012",0,0.87,0.89,<,10
"July 28, 2012",0.87,0.89,0.89,<,10
"July 27, 2012",0.02,0.02,0.02,<,2
"July 26, 2012",0,0,0.55,,2
"July 25, 2012",0,0.55,0.57,<,10
"July 24, 2012",0.55,0.57,0.57,<,10
"July 23, 2012",0.02,0.02,0.02,<,10
"July 22, 2012",0,0,0,<,10
"July 21, 2012",0,0,0.06,,32
"July 20, 2012",0,0.06,1.8,,2
"July 19, 2012",0.06,1.8,1.8,,12
"July 18, 2012",1.74,1.74,1.74,,2
"July 17, 2012",0,0,0,<,2
"July 16, 2012",0,0,0,<,10
"July 15, 2012",0,0,0,,10
"July 14, 2012",0,0,0,,20
"July 13, 2012",0,0,0,,20
"July 12, 2012",0,0,0,<,2
"July 11, 2012",0,0,0,<,10
"July 10, 2012",0,0,0,<,10
"July 9, 2012",0,0,0,<,10
"July 8, 2012",0,0,0,<,10
"July 7, 2012",0,0,0,<,10
"July 6, 2012",0,0,0.14,<,2
"July 5, 2012",0,0.14,0.14,<,2
"July 4, 2012",0.14,0.14,0.14,,4
"July 3, 2012",0,0,0,,2
"July 2, 2012",0,0,0,,4
"July 1, 2012",0,0,0.05,<,10
"June 30, 2012",0,0.05,0.05,<,10
"June 29, 2012",0.05,0.05,0.05,,2
"June 28, 2012",0,0,0.06,,86
"June 27, 2012",0,0.06,0.99,<,10
"June 26, 2012",0.06,0.99,0.99,,10
"June 25, 2012",0.93,0.93,2.12,<,10
"June 24, 2012",0,1.19,1.21,<,10
"June 23, 2012",1.19,1.21,1.21,<,10
"June 22, 2012",0.02,0.02,0.02,<,2
"June 21, 2012",0,0,0,<,2
"June 14, 2012",0,0.7,0.71,<,2
"June 7, 2012",0.04,0.04,0.17,,10
"May 31, 2012",0,0,0.17,,2
"May 24, 2012",0,0,0.58,,2
"September 4, 2011",0,0,0,<,10
"September 3, 2011",0,0,0,<,10
"September 2, 2011",0,0,0,,12
"September 1, 2011",0,0,0,,4
"August 31, 2011",0,0,0,<,10
"August 30, 2011",0,0,0.91,<,10
"August 29, 2011",0,0.91,1.68,,20
"August 27, 2011",0.77,0.8,0.86,<,10
"August 26, 2011",0.03,0.09,0.09,,8
"August 25, 2011",0.06,0.06,0.06,,2
"August 24, 2011",0,0,0.59,<,10
"August 23, 2011",0,0.59,0.59,<,10
"August 22, 2011",0.59,0.59,0.59,,10
"August 21, 2011",0,0,0.03,,10
"August 20, 2011",0,0.03,0.03,,10
"August 19, 2011",0.03,0.03,0.03,<,2
"August 18, 2011",0,0,0.01,,2
"August 17, 2011",0,0.01,1.44,<,10
"August 16, 2011",0.01,1.44,1.46,<,10
"August 15, 2011",1.43,1.45,1.45,<,10
"August 14, 2011",0.02,0.02,0.02,,20
"August 13, 2011",0,0,0,<,10
"August 12, 2011",0,0,0.73,<,2
"August 11, 2011",0,0.73,1.94,,8
"August 10, 2011",0.73,1.94,2.23,,20
"August 9, 2011",1.21,1.5,2.56,<,10
"August 8, 2011",0.29,1.35,1.35,,20
"August 7, 2011",1.06,1.06,1.06,<,10
"August 6, 2011",0,0,0,,41
"August 5, 2011",0,0,0,<,2
"August 4, 2011",0,0,0.6,,24
"August 3, 2011",0,0.6,0.6,,10
"August 2, 2011",0.6,0.6,0.6,<,10
"August 1, 2011",0,0,0,<,10
"July 31, 2011",0,0,0.14,<,10
"July 30, 2011",0,0.14,0.14,,20
"July 29, 2011",0.14,0.14,0.14,,8
"July 28, 2011",0,0,0.01,,2
"July 27, 2011",0,0.01,0.16,,10
"July 26, 2011",0.01,0.16,0.18,<,10
"July 25, 2011",0.15,0.17,0.28,<,10
"July 24, 2011",0.02,0.13,0.13,<,10
"July 23, 2011",0.11,0.11,0.11,<,10
"July 22, 2011",0,0,0,<,2
"July 21, 2011",0,0,0,,6
"July 20, 2011",0,0,0,<,10
"July 19, 2011",0,0,0,<,10
"July 18, 2011",0,0,0,,20
"July 17, 2011",0,0,0,<,10
"July 16, 2011",0,0,0.72,<,10
"July 15, 2011",0,0.72,1.17,,123
"July 14, 2011",0.72,1.17,1.17,<,2
"July 13, 2011",0.45,0.45,0.45,<,10
"July 12, 2011",0,0,0,,10
"July 11, 2011",0,0,0.12,<,10
"July 10, 2011",0,0.12,0.41,<,10
"July 9, 2011",0.12,0.41,0.41,<,10
"July 8, 2011",0.29,0.29,0.29,,8
"July 7, 2011",0,0,0,,2
"July 6, 2011",0,0,0,,41
"July 5, 2011",0,0,0.03,<,10
"July 4, 2011",0,0.03,0.03,<,10
"July 3, 2011",0.03,0.03,0.03,<,10
"July 2, 2011",0,0,0,<,10
"July 1, 2011",0,0,0.18,<,2
"June 30, 2011",0,0.18,0.18,,2
"June 29, 2011",0.18,0.18,0.18,,10
"June 28, 2011",0,0,0,<,10
"June 27, 2011",0,0,0.27,,31
"June 26, 2011",0,0.27,0.28,<,10
"June 25, 2011",0.27,0.28,0.45,<,10
"June 24, 2011",0.01,0.18,2,,28
"June 23, 2011",0.17,1.99,1.99,<,2
"June 17, 2011",0.04,0.04,0.04,,2
"June 16, 2011",0,0,0.04,,2
"June 9, 2011",0.51,0.51,0.51,<,2
"June 2, 2011",0,0.56,0.56,,23
"May 26, 2011",0,0,0.17,<,2
"September 2, 2010",0,0,0,,2
"September 1, 2010",0,0,0,<,10
"August 31, 2010",0,0,0,<,10
"August 30, 2010",0,0,0,,20
"August 29, 2010",0,0,0,,10
"August 28, 2010",0,0,0,<,10
"August 27, 2010",0,0,2.76,,6
"August 26, 2010",0,2.76,3.54,,13
"August 25, 2010",2.76,3.54,4.24,,226
"August 24, 2010",0.78,1.48,1.72,,63
"August 23, 2010",0.7,0.94,0.94,,41
"August 22, 2010",0.24,0.24,0.24,,10
"August 21, 2010",0,0,0,<,10
"August 20, 2010",0,0,0,,4
"August 19, 2010",0,0,0,<,2
"August 18, 2010",0,0,0.21,<,10
"August 17, 2010",0,0.21,0.21,<,10
"August 16, 2010",0.21,0.21,0.21,,10
"August 15, 2010",0,0,0,,20
"August 14, 2010",0,0,0,<,10
"August 13, 2010",0,0,0,,6
"August 12, 2010",0,0,0.07,,2
"August 11, 2010",0,0.07,0.07,<,10
"August 10, 2010",0.07,0.07,0.07,<,10
"August 9, 2010",0,0,0,,85
"August 8, 2010",0,0,0,,20
"August 7, 2010",0,0,0.99,,20
"August 6, 2010",0,0.99,0.99,,22
"August 5, 2010",0.99,0.99,0.99,,2
"August 4, 2010",0,0,0,<,10
"August 3, 2010",0,0,0,<,10
"August 2, 2010",0,0,0,,10
"August 1, 2010",0,0,0,,20
"July 31, 2010",0,0,0.04,,10
"July 30, 2010",0,0.04,0.04,,4
"July 29, 2010",0.04,0.04,0.04,,27
"July 28, 2010",0,0,0,,10
"July 27, 2010",0,0,0,<,10
"July 26, 2010",0,0,0,<,10
"July 25, 2010",0,0,0.49,,10
"July 24, 2010",0,0.49,0.49,<,10
"July 23, 2010",0.49,0.49,0.54,<,2
"July 22, 2010",0,0.05,0.05,<,2
"July 21, 2010",0.05,0.05,0.05,<,10
"July 20, 2010",0,0,0,<,10
"July 19, 2010",0,0,0,<,10
"July 18, 2010",0,0,0.02,,10
"July 17, 2010",0,0.02,0.02,,20
"July 16, 2010",0.02,0.02,0.13,,420
"July 15, 2010",0,0.11,0.15,,20
"July 14, 2010",0.11,0.15,0.4,<,10
"July 13, 2010",0.04,0.29,0.3,,10
"July 12, 2010",0.25,0.26,1.91,<,10
"July 11, 2010",0.01,1.66,1.66,<,10
"July 10, 2010",1.65,1.65,1.65,,10
"July 9, 2010",0,0,0,,6
"July 8, 2010",0,0,0,<,2
"July 7, 2010",0,0,0,<,10
"July 6, 2010",0,0,0,<,10
"July 5, 2010",0,0,0,<,10
"July 4, 2010",0,0,0,<,10
"July 3, 2010",0,0,0,<,10
"July 2, 2010",0,0,0,<,2
"July 1, 2010",0,0,0,<,2
"June 30, 2010",0,0,0,<,10
"June 29, 2010",0,0,0,,10
"June 28, 2010",0,0,0,<,10
"June 27, 2010",0,0,0,<,10
"June 26, 2010",0,0,0.05,,10
"June 25, 2010",0,0.05,0.11,,2
"June 24, 2010",0.05,0.11,0.11,,340
"June 23, 2010",0.06,0.06,0.06,<,10
"June 22, 2010",0,0,0.16,,10
"June 21, 2010",0,0.16,0.16,,10
"June 20, 2010",0.16,0.16,0.16,,41
"June 19, 2010",0,0,0,<,10
"June 18, 2010",0,0,0.02,,2
"June 17, 2010",0,0.02,0.02,,8
"June 10, 2010",0.1,0.14,0.14,<,2
"June 7, 2010",0,0.71,1.42,,6
"June 3, 2010",0.7,0.7,1.13,<,2
"May 27, 2010",0.05,0.11,0.11,<,2
"September 5, 2009",0,0,0,<,10
"September 4, 2009",0,0,0,,6
"September 3, 2009",0,0,0,,2
"September 2, 2009",0,0,0,<,10
"September 1, 2009",0,0,0,<,10
"August 31, 2009",0,0,1.65,,10
"August 30, 2009",0,1.65,1.74,,52
"August 28, 2009",0.09,0.09,0.09,,4
"August 27, 2009",0,0,0,,2
"August 26, 2009",0,0,0.77,,677
"August 25, 2009",0,0.77,0.9,,10
"August 24, 2009",0.77,0.9,1.07,<,10
"August 23, 2009",0.13,0.3,0.3,<,10
"August 22, 2009",0.17,0.17,0.45,<,10
"August 21, 2009",0,0.28,0.28,,49
"August 20, 2009",0.28,0.28,0.28,,6
"August 19, 2009",0,0,0,,30
"August 18, 2009",0,0,0,,171
"August 17, 2009",0,0,0,,31
"August 16, 2009",0,0,0,<,10
"August 15, 2009",0,0,0.09,,41
"August 14, 2009",0,0.09,0.09,,4
"August 13, 2009",0.09,0.09,0.14,<,2
"August 12, 2009",0,0.05,0.06,,10
"August 11, 2009",0.05,0.06,0.06,,10
"August 10, 2009",0.01,0.01,0.01,,10
"August 9, 2009",0,0,0,,10
"August 8, 2009",0,0,0,<,10
"August 7, 2009",0,0,0,,13
"August 6, 2009",0,0,0,<,2
"August 5, 2009",0,0,0,<,10
"August 4, 2009",0,0,0,,20
"August 3, 2009",0,0,0,<,10
"August 2, 2009",0,0,0.44,,10
"August 1, 2009",0,0.44,0.95,,31
"July 31, 2009",0.44,0.95,0.95,<,2
"July 30, 2009",0.51,0.51,0.51,<,2
"July 29, 2009",0,0,0,<,10
"July 28, 2009",0,0,0.02,,20
"July 27, 2009",0,0.02,0.02,,20
"July 26, 2009",0.02,0.02,1.95,,10
"July 25, 2009",0,1.93,2.36,,20
"July 24, 2009",1.93,2.36,2.36,,100
"July 23, 2009",0.43,0.43,0.95,,18
"July 22, 2009",0,0.52,0.52,<,10
"July 21, 2009",0.52,0.52,0.52,<,10
"July 20, 2009",0,0,0.24,<,10
"July 19, 2009",0,0.24,0.24,,10
"July 18, 2009",0.24,0.24,0.24,<,10
"July 17, 2009",0,0,0,,2
"July 16, 2009",0,0,0,,2
"July 15, 2009",0,0,0,,10
"July 14, 2009",0,0,0.28,<,10
"July 13, 2009",0,0.28,0.64,<,10
"July 12, 2009",0.28,0.64,0.64,,305
"July 11, 2009",0.36,0.36,0.36,,20
"July 10, 2009",0,0,0.02,<,2
"July 9, 2009",0,0.02,0.71,<,2
"July 8, 2009",0.02,0.71,0.71,,10
"July 7, 2009",0.69,0.69,0.69,,10
"July 6, 2009",0,0,0,<,10
"July 5, 2009",0,0,0,<,10
"July 4, 2009",0,0,0.85,,20
"July 3, 2009",0,0.85,1.46,,57
"July 2, 2009",0.85,1.46,1.53,,354
"July 1, 2009",0.61,0.68,1.13,,10
"June 30, 2009",0.07,0.52,0.55,<,10
"June 29, 2009",0.45,0.48,0.48,<,10
"June 28, 2009",0.03,0.03,0.06,<,10
"June 27, 2009",0,0.03,0.08,<,10
"June 26, 2009",0.03,0.08,0.22,,18
"June 25, 2009",0.05,0.19,0.21,,2
"June 24, 2009",0.14,0.16,0.55,,41
"June 23, 2009",0.02,0.41,0.45,,120
"June 22, 2009",0.39,0.43,0.43,,30
"June 21, 2009",0.04,0.04,0.54,,10
"June 20, 2009",0,0.5,0.93,<,10
"June 19, 2009",0.5,0.93,0.93,<,10
"June 18, 2009",0.43,0.43,0.43,,4
"June 11, 2009",0.2,0.2,0.3,,2
"June 4, 2009",0,0,0,<,2
"May 29, 2009",0.13,0.13,0.29,,4
"May 21, 2009",0,0,0,,2
"August 31, 2008",0,0,0,,10
"August 30, 2008",0,0,0,<,10
"August 29, 2008",0,0,0,<,2
"August 28, 2008",0,0,0,,2
"August 27, 2008",0,0,0,,10
"August 26, 2008",0,0,0,,10
"August 25, 2008",0,0,0,<,10
"August 24, 2008",0,0,0,,10
"August 23, 2008",0,0,0,<,10
"August 22, 2008",0,0,0,,4
"August 21, 2008",0,0,0.01,<,2
"August 20, 2008",0,0.01,0.01,,20
"August 19, 2008",0.01,0.01,0.01,,20
"August 18, 2008",0,0,0,<,10
"August 17, 2008",0,0,0.35,<,10
"August 16, 2008",0,0.35,0.44,<,10
"August 15, 2008",0.35,0.44,0.44,,15
"August 14, 2008",0.09,0.09,0.19,,2
"August 13, 2008",0,0.1,0.16,<,10
"August 12, 2008",0.1,0.16,1.41,,30
"August 11, 2008",0.06,1.31,1.31,<,10
"August 10, 2008",1.25,1.25,2.56,<,10
"August 9, 2008",0,1.31,1.45,<,10
"August 8, 2008",1.31,1.45,1.73,,27
"August 7, 2008",0.14,0.42,0.42,<,2
"August 6, 2008",0.28,0.28,0.28,<,10
"August 5, 2008",0,0,0.33,<,10
"August 4, 2008",0,0.33,0.88,<,10
"August 3, 2008",0.33,0.88,0.88,,10
"August 2, 2008",0.55,0.55,0.59,<,10
"August 1, 2008",0,0.04,0.04,<,2
"July 31, 2008",0.04,0.04,0.04,,6
"July 30, 2008",0,0,0,,10
"July 29, 2008",0,0,0.19,<,10
"July 28, 2008",0,0.19,0.19,<,10
"July 27, 2008",0.19,0.19,0.19,<,10
"July 26, 2008",0,0,2.16,<,10
"July 25, 2008",0,2.16,2.82,<,10
"July 24, 2008",2.16,2.82,3.07,<,10
"July 23, 2008",0.66,0.91,1.05,,663
"July 22, 2008",0.25,0.39,1.54,<,10
"July 21, 2008",0.14,1.29,1.29,,52
"July 20, 2008",1.15,1.15,1.28,,10
"July 19, 2008",0,0.13,0.13,<,10
"July 18, 2008",0.13,0.13,0.13,<,2
"July 17, 2008",0,0,0,<,2
"July 16, 2008",0,0,0.07,<,10
"July 15, 2008",0,0.07,0.07,<,10
"July 14, 2008",0.07,0.07,0.07,<,10
"July 13, 2008",0,0,0,<,10
"July 12, 2008",0,0,0.01,<,10
"July 11, 2008",0,0.01,0.05,<,2
"July 10, 2008",0.01,0.05,0.05,,2
"July 9, 2008",0.04,0.04,0.04,<,10
"July 8, 2008",0,0,0,<,10
"July 7, 2008",0,0,0.01,,10
"July 6, 2008",0,0.01,0.21,<,10
"July 5, 2008",0.01,0.21,0.33,,52
"July 4, 2008",0.2,0.32,0.98,,44
"July 3, 2008",0.12,0.78,0.95,,12
"June 30, 2008",0,0,0,,10
"June 29, 2008",0,0,0.66,,10
"June 28, 2008",0,0.66,0.66,,10
"June 27, 2008",0.66,0.66,0.66,,2
"June 26, 2008",0,0,0.78,,2
"June 25, 2008",0,0.78,1.24,,10
"June 24, 2008",0.78,1.24,1.24,<,10
"June 23, 2008",0.46,0.46,0.46,<,10
"June 22, 2008",0,0,0.03,<,10
"June 21, 2008",0,0.03,0.03,<,10
"June 20, 2008",0.03,0.03,0.03,,2
"June 19, 2008",0,0,0,,2
"June 12, 2008",0,0,0,,4
