"Pleasure Bay Beach, South Boston: Bacterial Water Quality",,,,,,,,,
,,,,Pleasure Bay @ Broadway,,Pleasure Bay @ Flagpole,,Castle Island Playground,
"August 19, 2021",1.14,1.14,1.14,,10,<,2,,6
"August 12, 2021",0,0,0.03,,3,,5,,2
"August 5, 2021",1.42,2,2,,19,,10,,20
"July 29, 2021",0.01,0.01,0.39,<,2,,3,<,2
"July 22, 2021",0,0,0,,2,<,2,<,2
"July 15, 2021",0,0,0.01,,2,,4,,5
"July 10, 2021",0.05,2.09,2.39,<,2,,2,,2
"July 8, 2021",0.3,0.33,0.62,,2,<,2,,4
"July 2, 2021",1.67,2.95,3.11,,10,,75,,5
"July 1, 2021",1.28,1.44,1.44,,2,<,2,,35
"June 24, 2021",0,0,0.91,,2,<,2,<,2
"June 17, 2021",0,0,0.01,<,2,<,2,<,2
"June 10, 2021",0,0.05,0.05,<,2,<,2,,4
"June 3, 2021",0,0,0,<,2,<,2,<,2
"May 27, 2021",0.01,0.29,0.29,<,2,<,2,<,2
"September 3, 2020",0.01,0.21,0.21,,4,,3,,5
"August 27, 2020",0.18,0.18,0.18,<,2,<,2,<,2
"August 20, 2020",0,0.06,0.22,<,2,<,2,,2
"August 13, 2020",0,0,0,<,2,,6,,4
"August 6, 2020",0,0,0.17,,2,<,2,,6
"July 30, 2020",0,0,0,<,2,<,2,,3
"July 23, 2020",0.57,0.68,0.68,,5,,4,,12
"July 16, 2020",0,0.07,0.69,<,2,<,2,,3
"July 9, 2020",0,0,0,,2,,7,,12
"July 2, 2020",0,0.07,0.25,<,2,,4,<,2
"June 25, 2020",0,0.01,0.01,,4,,8,,10
"June 18, 2020",0,0,0,<,2,,2,<,2
"June 11, 2020",0.74,0.74,0.74,<,2,,2,,2
"June 4, 2020",0,0.01,0.03,<,2,<,2,<,2
"May 28, 2020",0,0,0,<,2,<,2,<,2
"May 20, 2020",0,0,0,<,2,<,2,<,2
"August 29, 2019",0.3,0.95,0.95,,10,,5,,43
"August 22, 2019",0,0.08,0.08,,2,,2,,16
"August 15, 2019",0,0,0,<,2,<,2,,2
"August 8, 2019",0.38,2.28,2.28,<,2,,2,,144
"August 1, 2019",0,1.25,1.25,<,2,,6,<,2
"July 25, 2019",0,0,1.03,,2,,4,,2
"July 18, 2019",0.04,0.47,0.47,<,2,,7,,3
"July 11, 2019",0.02,0.02,0.02,<,2,,2,,10
"July 2, 2019",0,0,0.16,,13,,3,<,2
"June 27, 2019",0,0,0.13,,4,,7,,10
"June 20, 2019",0.37,0.37,0.47,,3,,2,,2
"June 13, 2019",0.63,0.63,1.16,,4,<,2,,32
"June 6, 2019",0.01,0.06,0.06,,4,,97,<,2
"May 30, 2019",0.23,0.23,0.53,,6,,15,,6
"May 23, 2019",0.12,0.12,0.12,<,2,<,2,,2
"August 30, 2018",0,0,0,<,2,<,2,<,2
"August 23, 2018",0,0.5,0.5,<,2,<,2,,4
"August 16, 2018",0,0,0.01,,6,,8,,16
"August 9, 2018",0.06,1.04,1.04,,12,,3,,41
"August 2, 2018",0,0,0,<,2,<,2,,2
"July 26, 2018",0.6,0.74,0.74,<,2,<,2,,19
"July 19, 2018",0,0.06,2.74,,4,,10,<,2
"July 18, 2018",0.06,2.74,2.74,,4,<,2,,8
"July 12, 2018",0,0.19,0.19,,2,<,2,,2
"July 5, 2018",0,0,0.01,<,2,<,2,<,2
"June 28, 2018",1.16,1.25,1.25,<,2,<,2,,22
"June 21, 2018",0,0,0.01,<,2,,5,,4
"June 14, 2018",0,0,0,<,2,<,2,,10
"June 7, 2018",0,0,0.34,<,2,<,2,<,2
"May 31, 2018",0,0,0,<,2,,2,,19
"May 24, 2018",0,0.02,0.05,<,2,,10,<,2
"August 31, 2017",0,0.07,0.07,<,2,<,2,,2
"August 24, 2017",0,0.04,0.04,,3,<,2,,5
"August 17, 2017",0,0,0,,4,,4,,8
"August 10, 2017",0,0,0,,10,<,2,,2
"August 3, 2017",0,0.96,0.96,<,2,<,2,,4
"July 27, 2017",0.04,0.04,0.05,<,2,,6,,4
"July 20, 2017",0,0,0.12,<,2,,2,,17
"July 13, 2017",0.14,1.47,1.64,,5,,8,,2
"July 6, 2017",0,0,0,<,2,<,2,<,2
"June 29, 2017",0,0,0.08,,2,<,2,<,2
"June 22, 2017",0,0,0.13,<,2,<,2,,2
"June 15, 2017",0,0,0.53,,4,,2,,4
"June 8, 2017",0,0.04,0.84,<,2,,6,,2
"June 1, 2017",0.16,0.22,0.22,<,2,<,2,<,2
"May 25, 2017",0.63,0.63,0.63,<,2,,8,<,2
"September 1, 2016",0.02,0.02,0.02,<,2,<,2,,108
"August 25, 2016",0,0,0,<,2,,10,,14
"August 18, 2016",0,0,0,<,2,<,2,,3
"August 11, 2016",0,0.23,0.23,,3,,2,,7
"August 4, 2016",0,0,0.04,<,2,<,2,<,2
"July 28, 2016",0,0,0,,3,,2,,12
"July 21, 2016",0,0,0,,8,,6,,4
"July 14, 2016",0,0,0,,2,,4,,6
"July 7, 2016",0,0,0.23,,64,,48,,2
"June 30, 2016",0,0.03,0.11,,8,,10,<,2
"June 23, 2016",0,0,0.02,,2,,6,,4
"June 16, 2016",0,0,0,<,2,<,2,<,2
"June 9, 2016",0,0,0.15,,4,<,2,,7
"June 2, 2016",0,0,0,,18,,2,<,2
"May 26, 2016",0,0,0.26,<,2,<,2,,2
"September 3, 2015",0.01,0.01,0.01,<,2,<,2,,27
"August 27, 2015",0,0,0,<,2,,2,,16
"August 20, 2015",0,0,0.14,<,2,<,2,<,2
"August 13, 2015",0,0,0.83,<,2,,14,<,2
"August 6, 2015",0,0,0.49,,6,,6,,2
"July 30, 2015",0.02,0.02,0.02,,5,,2,,2
"July 23, 2015",0,0,0,<,2,<,2,,2
"July 16, 2015",0,0,0.03,<,2,<,2,<,2
"July 9, 2015",0.15,0.15,0.17,<,2,<,2,,4
"July 2, 2015",0,0.54,0.54,<,2,<,2,,33
"June 25, 2015",0,0,0.01,,2,<,2,,2
"June 18, 2015",0,0,0,<,2,<,2,<,2
"June 11, 2015",0,0,0,<,2,<,2,,7
"June 4, 2015",0,0,0.74,<,2,<,2,<,2
"May 28, 2015",0,0,0,,2,<,2,,10
"May 21, 2015",0,0,0.27,<,2,<,2,<,2
"August 28, 2014",0,0.02,0.02,<,2,<,2,,20
"August 21, 2014",0,0,0,,2,,2,<,2
"August 14, 2014",0,1.06,1.06,,59,,8,,75
"August 7, 2014",0.01,0.02,0.02,,8,,4,,2
"July 31, 2014",0,0,0,,2,,2,,
"July 24, 2014",0,0,0,,2,<,2,<,2
"July 17, 2014",0,0.85,0.85,<,2,,7,,7
"July 10, 2014",0,0,0,<,2,<,2,,2
"July 5, 2014",0.35,2.23,2.51,,2,,2,,4
"July 2, 2014",0,0,0,<,2,,2,,2
"June 26, 2014",0.28,0.28,0.28,<,2,<,2,,8
"June 19, 2014",0,0,0.02,,4,,2,,13
"June 12, 2014",0,0,0.85,,4,<,2,<,2
"June 5, 2014",0.78,0.92,0.92,<,2,<,2,<,2
"May 29, 2014",0,0.08,0.56,<,2,<,2,,
"May 22, 2014",0.25,0.25,0.25,<,2,<,2,,
"August 30, 2013",0,0,0,,2,,4,,
"August 29, 2013",0,0,0.01,,6,,2,,
"August 28, 2013",0,0.01,0.02,<,10,<,10,,
"August 27, 2013",0.01,0.02,0.02,<,10,<,10,,
"August 26, 2013",0.01,0.01,0.01,<,10,,10,,
"August 25, 2013",0,0,0,,2,,6,,
"August 24, 2013",0,0,0,<,2,<,2,,
"August 23, 2013",0,0,0,<,2,<,2,,
"August 22, 2013",0,0,0,,8,<,2,,
"August 21, 2013",0,0,0,,25,<,2,,
"August 20, 2013",0,0,0,<,10,,10,,
"August 19, 2013",0,0,0,<,10,<,10,,
"August 18, 2013",0,0,0,,20,,10,,
"August 17, 2013",0,0,0,<,10,<,10,,
"August 16, 2013",0,0,0,,2,<,2,,
"August 15, 2013",0,0,0,<,2,,2,,
"August 14, 2013",0,0,0,,10,<,10,,
"August 13, 2013",0,0,0,<,10,<,10,,
"August 12, 2013",0,0,0,<,2,<,2,,
"August 11, 2013",0,0,1.62,<,2,<,2,,
"August 10, 2013",0,1.62,1.69,,2,,2,,
"August 9, 2013",1.62,1.69,1.69,<,2,,4,,
"August 8, 2013",0.07,0.07,0.07,<,2,<,2,,
"August 7, 2013",0,0,0,<,2,<,2,,
"August 6, 2013",0,0,0,<,10,<,10,,
"August 5, 2013",0,0,0,<,10,<,10,,
"August 4, 2013",0,0,0.13,<,10,<,10,,
"August 3, 2013",0,0.13,0.13,,10,<,10,,
"August 2, 2013",0.13,0.13,0.13,,2,<,2,,
"August 1, 2013",0,0,0,<,2,,8,,
"July 31, 2013",0,0,0.33,,10,<,10,,
"July 30, 2013",0,0.33,0.34,,10,<,10,,
"July 29, 2013",0.33,0.34,0.34,<,10,<,10,,
"July 28, 2013",0.01,0.01,1.01,<,10,,10,,
"July 27, 2013",0,1,1.27,,10,<,10,,
"July 26, 2013",1,1.27,1.27,,8,,8,,
"July 25, 2013",0.27,0.27,2.03,,10,,2,,
"July 24, 2013",0,1.76,1.76,<,2,<,2,,
"July 23, 2013",1.76,1.76,1.77,,2,<,2,,
"July 22, 2013",0,0.01,0.01,,10,,10,,
"July 21, 2013",0.01,0.01,0.01,,40,<,10,,
"July 20, 2013",0,0,0,,10,,10,,
"July 19, 2013",0,0,0,<,2,,2,,
"July 18, 2013",0,0,0.01,<,2,<,2,,
"July 17, 2013",0,0.01,0.01,,30,,10,,
"July 16, 2013",0.01,0.01,0.01,,20,<,10,,
"July 15, 2013",0,0,0,<,10,,10,,
"July 14, 2013",0,0,0,<,10,,20,,
"July 13, 2013",0,0,0.17,<,2,<,2,,
"July 12, 2013",0,0.17,0.18,,2,,2,,
"July 11, 2013",0.17,0.18,0.18,<,2,,2,,
"July 10, 2013",0.01,0.01,0.02,,4,<,2,,
"July 9, 2013",0,0.01,0.01,,2,<,2,,
"July 8, 2013",0.01,0.01,0.01,<,2,<,2,,
"July 7, 2013",0,0,0,<,10,<,10,,
"July 6, 2013",0,0,0,,10,<,10,,
"July 5, 2013",0,0,0,<,2,<,2,,
"July 3, 2013",0,0,0.03,<,2,<,2,,
"July 2, 2013",0,0.03,0.14,,15,,2,,
"July 1, 2013",0.03,0.14,0.21,<,10,<,10,,
"June 30, 2013",0.11,0.18,0.63,<,10,<,10,,
"June 29, 2013",0.07,0.52,0.55,<,10,<,10,,
"June 28, 2013",0.45,0.48,0.52,,140,,68,,
"June 27, 2013",0.03,0.07,0.07,,65,,8,,
"June 26, 2013",0.04,0.04,0.37,,2,,508,,
"June 25, 2013",0,0.33,0.33,<,2,,2,,
"June 24, 2013",0.33,0.33,0.33,<,2,,2,,
"June 23, 2013",0,0,0,,20,<,10,,
"June 22, 2013",0,0,0,<,10,<,10,,
"June 21, 2013",0,0,0,,2,<,2,,
"June 20, 2013",0,0,0.63,,2,<,2,,
"June 15, 2013",0,1.02,1.74,,17,<,2,,
"June 14, 2013",1.02,1.74,1.81,,2,,8,,
"June 13, 2013",0.72,0.79,2.17,<,2,,2,,
"June 9, 2013",0,0.54,3.61,,2,<,2,,
"June 8, 2013",0.54,3.61,3.63,,2,<,2,,
"June 6, 2013",0.02,0.02,0.02,<,2,<,2,,
"May 30, 2013",0,0.84,0.84,<,2,,2,,
"May 23, 2013",0.05,0.1,0.11,<,2,,15,,
"August 31, 2012",0,0,0,,2,,2,,
"August 30, 2012",0,0,0.15,<,2,<,2,,
"August 29, 2012",0,0.15,0.15,,10,,10,,
"August 28, 2012",0.15,0.15,0.15,<,10,<,10,,
"August 27, 2012",0,0,0,<,10,<,10,,
"August 26, 2012",0,0,0,,10,<,10,,
"August 25, 2012",0,0,0,,10,,10,,
"August 24, 2012",0,0,0,<,2,<,2,,
"August 23, 2012",0,0,0,,12,,2,,
"August 22, 2012",0,0,0,<,10,<,10,,
"August 21, 2012",0,0,0,<,10,<,10,,
"August 20, 2012",0,0,0.04,<,10,<,10,,
"August 19, 2012",0,0.04,0.04,<,2,<,2,,
"August 18, 2012",0.04,0.04,0.04,,2,<,2,,
"August 17, 2012",0,0,0.83,,2,<,2,,
"August 16, 2012",0,0.83,0.83,,46,,2,,
"August 15, 2012",0.83,0.83,0.83,,10,<,10,,
"August 14, 2012",0,0,0.01,<,10,<,10,,
"August 13, 2012",0,0.01,0.01,,10,,10,,
"August 12, 2012",0.01,0.01,1.18,<,10,<,10,,
"August 11, 2012",0,1.17,1.17,,20,<,10,,
"August 10, 2012",1.17,1.17,1.17,,51,,2,,
"August 9, 2012",0,0,0,,118,,10,,
"August 8, 2012",0,0,0,<,10,,10,,
"August 7, 2012",0,0,0.08,<,10,<,10,,
"August 6, 2012",0,0.08,0.08,<,10,<,10,,
"August 5, 2012",0.08,0.08,0.08,<,10,,10,,
"August 4, 2012",0,0,0,<,10,<,10,,
"August 3, 2012",0,0,0.8,<,2,<,2,,
"August 2, 2012",0,0.8,1.28,,2,<,2,,
"August 1, 2012",0.8,1.28,1.28,,2,<,2,,
"July 31, 2012",0.48,0.48,0.48,,31,<,10,,
"July 30, 2012",0,0,0.87,<,10,,10,,
"July 29, 2012",0,0.87,0.89,<,10,<,10,,
"July 28, 2012",0.87,0.89,0.89,<,10,<,10,,
"July 27, 2012",0.02,0.02,0.02,,2,,2,,
"July 26, 2012",0,0,0.55,<,2,<,2,,
"July 25, 2012",0,0.55,0.57,<,10,<,10,,
"July 24, 2012",0.55,0.57,0.57,<,10,<,10,,
"July 23, 2012",0.02,0.02,0.02,<,10,,10,,
"July 22, 2012",0,0,0,<,10,<,10,,
"July 21, 2012",0,0,0.06,<,2,<,2,,
"July 20, 2012",0,0.06,1.8,<,2,<,2,,
"July 19, 2012",0.06,1.8,1.8,<,2,,4,,
"July 18, 2012",1.74,1.74,1.74,<,2,<,2,,
"July 17, 2012",0,0,0,<,2,,2,,
"July 16, 2012",0,0,0,<,10,<,10,,
"July 15, 2012",0,0,0,<,10,<,10,,
"July 14, 2012",0,0,0,<,10,<,10,,
"July 13, 2012",0,0,0,<,2,<,2,,
"July 12, 2012",0,0,0,<,2,<,2,,
"July 11, 2012",0,0,0,<,10,<,10,,
"July 10, 2012",0,0,0,<,10,<,10,,
"July 9, 2012",0,0,0,<,10,<,10,,
"July 8, 2012",0,0,0,,10,<,10,,
"July 7, 2012",0,0,0,<,10,<,10,,
"July 6, 2012",0,0,0.14,<,2,<,2,,
"July 5, 2012",0,0.14,0.14,,2,<,2,,
"July 4, 2012",0.14,0.14,0.14,,2,,4,,
"July 3, 2012",0,0,0,<,2,,2,,
"July 2, 2012",0,0,0,,12,,10,,
"July 1, 2012",0,0,0.05,<,10,<,10,,
"June 30, 2012",0,0.05,0.05,<,10,<,10,,
"June 29, 2012",0.05,0.05,0.05,,6,<,2,,
"June 28, 2012",0,0,0.06,,48,,157,,
"June 27, 2012",0,0.06,0.99,<,10,<,10,,
"June 26, 2012",0.06,0.99,0.99,<,10,,20,,
"June 25, 2012",0.93,0.93,2.12,<,10,<,10,,
"June 24, 2012",0,1.19,1.21,,10,<,10,,
"June 23, 2012",1.19,1.21,1.21,<,10,<,10,,
"June 22, 2012",0.02,0.02,0.02,<,2,<,2,,
"June 21, 2012",0,0,0,,2,<,2,,
"June 14, 2012",0,0.7,0.71,<,2,<,2,,
"June 7, 2012",0.04,0.04,0.17,,4,,2,,
"May 31, 2012",0,0,0.17,,4,<,2,,
"May 24, 2012",0,0,0.58,<,2,<,2,,
"September 4, 2011",0,0,0,<,10,,,,
"September 3, 2011",0,0,0,<,10,,,,
"September 2, 2011",0,0,0,,8,,,,
"September 1, 2011",0,0,0,,2,,,,
"August 31, 2011",0,0,0,,41,,,,
"August 30, 2011",0,0,0.91,,10,,,,
"August 29, 2011",0,0.91,1.68,<,10,,,,
"August 27, 2011",0.77,0.8,0.86,,10,,,,
"August 26, 2011",0.03,0.09,0.09,,4,,,,
"August 25, 2011",0.06,0.06,0.06,,8,,,,
"August 24, 2011",0,0,0.59,<,10,,,,
"August 23, 2011",0,0.59,0.59,<,10,,,,
"August 22, 2011",0.59,0.59,0.59,<,10,,,,
"August 21, 2011",0,0,0.03,<,10,,,,
"August 20, 2011",0,0.03,0.03,,31,,,,
"August 19, 2011",0.03,0.03,0.03,,2,,,,
"August 18, 2011",0,0,0.01,,2,,,,
"August 17, 2011",0,0.01,1.44,<,10,,,,
"August 16, 2011",0.01,1.44,1.46,,10,,,,
"August 15, 2011",1.43,1.45,1.45,,20,,,,
"August 14, 2011",0.02,0.02,0.02,<,10,,,,
"August 13, 2011",0,0,0,<,10,,,,
"August 12, 2011",0,0,0.73,<,2,,,,
"August 11, 2011",0,0.73,1.94,,8,,,,
"August 10, 2011",0.73,1.94,2.23,,320,,,,
"August 9, 2011",1.21,1.5,2.56,<,10,,,,
"August 8, 2011",0.29,1.35,1.35,<,10,,,,
"August 7, 2011",1.06,1.06,1.06,,2610,,,,
"August 6, 2011",0,0,0,<,10,,,,
"August 5, 2011",0,0,0,<,2,,,,
"August 4, 2011",0,0,0.6,<,2,,,,
"August 3, 2011",0,0.6,0.6,<,10,,,,
"August 2, 2011",0.6,0.6,0.6,<,10,,,,
"August 1, 2011",0,0,0,,10,,,,
"July 31, 2011",0,0,0.14,<,10,,,,
"July 30, 2011",0,0.14,0.14,,74,,,,
"July 29, 2011",0.14,0.14,0.14,,4,,,,
"July 28, 2011",0,0,0.01,<,2,,,,
"July 27, 2011",0,0.01,0.16,<,10,,,,
"July 26, 2011",0.01,0.16,0.18,<,10,,,,
"July 25, 2011",0.15,0.17,0.28,,146,,,,
"July 24, 2011",0.02,0.13,0.13,,10,,,,
"July 23, 2011",0.11,0.11,0.11,,30,,,,
"July 22, 2011",0,0,0,<,2,,,,
"July 21, 2011",0,0,0,<,2,,,,
"July 20, 2011",0,0,0,<,10,,,,
"July 19, 2011",0,0,0,<,10,,,,
"July 18, 2011",0,0,0,<,10,,,,
"July 17, 2011",0,0,0,<,10,,,,
"July 16, 2011",0,0,0.72,<,10,,,,
"July 15, 2011",0,0.72,1.17,,223,,,,
"July 14, 2011",0.72,1.17,1.17,<,2,,,,
"July 13, 2011",0.45,0.45,0.45,<,10,,,,
"July 12, 2011",0,0,0,<,10,,,,
"July 11, 2011",0,0,0.12,<,10,,,,
"July 10, 2011",0,0.12,0.41,,10,,,,
"July 9, 2011",0.12,0.41,0.41,<,10,,,,
"July 8, 2011",0.29,0.29,0.29,,2,,,,
"July 7, 2011",0,0,0,<,2,,,,
"July 6, 2011",0,0,0,,10,,,,
"July 5, 2011",0,0,0.03,<,10,,,,
"July 4, 2011",0,0.03,0.03,,20,,,,
"July 3, 2011",0.03,0.03,0.03,<,10,,,,
"July 2, 2011",0,0,0,<,10,,,,
"July 1, 2011",0,0,0.18,<,2,,,,
"June 30, 2011",0,0.18,0.18,<,2,,,,
"June 29, 2011",0.18,0.18,0.18,,10,,,,
"June 28, 2011",0,0,0,,10,,,,
"June 27, 2011",0,0,0.27,<,10,,,,
"June 26, 2011",0,0.27,0.28,<,10,,,,
"June 25, 2011",0.27,0.28,0.45,,41,,,,
"June 24, 2011",0.01,0.18,2,,8,,,,
"June 23, 2011",0.17,1.99,1.99,,65,,,,
"June 16, 2011",0,0,0.04,,4,,,,
"June 9, 2011",0.51,0.51,0.51,,22,,,,
"June 2, 2011",0,0.56,0.56,<,2,,,,
"May 26, 2011",0,0,0.17,,2,,,,
"September 2, 2010",0,0,0,,12,,,,
"August 26, 2010",0,2.76,3.54,,14,,,,
"August 19, 2010",0,0,0,<,2,,,,
"August 12, 2010",0,0,0.07,,2,,,,
"August 5, 2010",0.99,0.99,0.99,<,2,,,,
"July 29, 2010",0.04,0.04,0.04,<,2,,,,
"July 22, 2010",0,0.05,0.05,,2,,,,
"July 15, 2010",0,0.11,0.15,<,2,,,,
"July 8, 2010",0,0,0,,12,,,,
"July 1, 2010",0,0,0,,12,,,,
"June 24, 2010",0.05,0.11,0.11,<,2,,,,
"June 17, 2010",0,0.02,0.02,,13,,,,
"June 10, 2010",0.1,0.14,0.14,,4,,,,
"June 3, 2010",0.7,0.7,1.13,,4,,,,
"May 27, 2010",0.05,0.11,0.11,,6,,,,
"September 3, 2009",0,0,0,<,2,,,,
"August 27, 2009",0,0,0,<,2,,,,
"August 20, 2009",0.28,0.28,0.28,,2,,,,
"August 14, 2009",0,0.09,0.09,,18,,,,
"August 13, 2009",0.09,0.09,0.14,,254,,,,
"August 6, 2009",0,0,0,<,2,,,,
"July 30, 2009",0.51,0.51,0.51,,12,,,,
"July 26, 2009",0.02,0.02,1.95,,41,,,,
"July 23, 2009",0.43,0.43,0.95,,10,,,,
"July 16, 2009",0,0,0,,25,,,,
"July 9, 2009",0,0.02,0.71,<,2,,,,
"July 2, 2009",0.85,1.46,1.53,<,2,,,,
"June 25, 2009",0.05,0.19,0.21,<,2,,,,
"June 18, 2009",0.43,0.43,0.43,<,2,,,,
"June 11, 2009",0.2,0.2,0.3,<,2,,,,
"June 4, 2009",0,0,0,<,2,,,,
"May 29, 2009",0.13,0.13,0.29,,8,,,,
"May 21, 2009",0,0,0,<,2,,,,
"August 31, 2008",0,0,0,<,10,,,,
"August 30, 2008",0,0,0,,41,,,,
"August 28, 2008",0,0,0,,4,,,,
"August 27, 2008",0,0,0,,20,,,,
"August 26, 2008",0,0,0,,10,,,,
"August 25, 2008",0,0,0,<,10,,,,
"August 24, 2008",0,0,0,<,10,,,,
"August 23, 2008",0,0,0,,10,,,,
"August 21, 2008",0,0,0.01,,6,,,,
"August 20, 2008",0,0.01,0.01,,20,,,,
"August 19, 2008",0.01,0.01,0.01,,86,,,,
"August 18, 2008",0,0,0,,30,,,,
"August 17, 2008",0,0,0.35,,20,,,,
"August 16, 2008",0,0.35,0.44,,20,,,,
"August 14, 2008",0.09,0.09,0.19,<,2,,,,
"August 13, 2008",0,0.1,0.16,<,10,,,,
"August 7, 2008",0.14,0.42,0.42,,8,,,,
"July 31, 2008",0.04,0.04,0.04,,44,,,,
"July 24, 2008",2.16,2.82,3.07,,4000,,,,
"July 17, 2008",0,0,0,,48,,,,
"July 10, 2008",0.01,0.05,0.05,,2,,,,
"July 3, 2008",0.12,0.78,0.95,,2,,,,
"June 26, 2008",0,0,0.78,,2,,,,
"June 19, 2008",0,0,0,,4,,,,
"June 12, 2008",0,0,0,<,2,,,,
"June 4, 2008",0.56,0.56,0.56,,10,,,,
"May 28, 2008",0,0.99,0.99,<,2,,,,
"May 22, 2008",0.33,0.33,0.33,,2,,,,
"August 30, 2007",0,0,0,,6,,,,
"August 23, 2007",0,0,0,,52,,,,
"August 16, 2007",0,0,0,,6,,,,
"August 9, 2007",0,0.28,0.28,,4,,,,
"August 2, 2007",0,0,0,,2,,,,
"July 26, 2007",0,0,0,,8,,,,
"July 19, 2007",0.11,0.28,0.28,,4,,,,
"July 12, 2007",0.05,0.05,0.05,<,2,,,,
"July 5, 2007",0.31,0.36,0.36,,33,,,,
"June 28, 2007",0.02,0.02,0.02,<,2,,,,
"June 21, 2007",0.09,0.25,0.25,<,2,,,,
"June 15, 2007",0,0,0,<,2,,,,
"June 14, 2007",0,0,0.07,,7,,,,
"June 7, 2007",0,0,0,,2,,,,
"May 31, 2007",0,0,0,,2,,,,
"May 24, 2007",0,0,0,,2,,,,
"September 4, 2006",0,0.25,0.25,<,5,,,,
"September 3, 2006",0.25,0.25,0.25,,50,,,,
"September 2, 2006",0,0,0,,15,,,,
"September 1, 2006",0,0,0,,20,,,,
"August 31, 2006",0,0,0.14,,2,,,,
"August 30, 2006",0,0.14,0.25,<,5,,,,
"August 29, 2006",0.14,0.25,0.65,<,10,,,,
"August 28, 2006",0.11,0.51,0.51,<,5,,,,
"August 27, 2006",0.4,0.4,1.24,<,5,,,,
"August 26, 2006",0,0.84,0.85,<,10,,,,
"August 25, 2006",0.84,0.85,0.85,,2,,,,
"August 24, 2006",0.01,0.01,0.01,<,2,,,,
"August 23, 2006",0,0,0,<,5,,,,
"August 22, 2006",0,0,0.8,<,5,,,,
"August 21, 2006",0,0.8,0.8,,10,,,,
"August 20, 2006",0.8,0.8,0.8,<,5,,,,
"August 19, 2006",0,0,0,<,5,,,,
"August 18, 2006",0,0,0,,4,,,,
"August 17, 2006",0,0,0.53,,7,,,,
"August 16, 2006",0,0.53,0.53,,10,,,,
"August 15, 2006",0.53,0.53,0.53,,60,,,,
"August 14, 2006",0,0,0,<,5,,,,
"August 13, 2006",0,0,0,,10,,,,
"August 12, 2006",0,0,0,<,5,,,,
"August 11, 2006",0,0,0,<,2,,,,
"August 10, 2006",0,0,0,<,2,,,,
"August 9, 2006",0,0,0.04,,5,,,,
"August 8, 2006",0,0.04,0.04,<,5,,,,
"August 7, 2006",0.04,0.04,0.04,<,5,,,,
