"Constitution Beach, East Boston: Bacterial Water Quality",,,,,,,,,
,,,,North,,Middle,,South,
"June 26, 2024",1.97,1.97,2.07,<,10,<,10,<,10
"June 25, 2024",0,0.1,0.18,,10,<,10,,10
"June 24, 2024",0.1,0.18,0.36,<,10,,10,<,10
"June 23, 2024",0.08,0.26,0.74,,52,,399,,546
"June 22, 2024",0.18,0.66,0.95,,160,,74,,480
"June 21, 2024",0.48,0.77,0.77,,13,,5,,8
"June 20, 2024",0.29,0.29,0.29,<,2,,4,<,2
"June 19, 2024",0,0,0,,10,,10,<,10
"June 18, 2024",0,0,0,<,10,<,10,<,10
"June 17, 2024",0,0,0.03,<,10,<,10,,10
"June 16, 2024",0,0.03,0.57,,10,,20,,10
"June 15, 2024",0.03,0.57,0.57,,31,,10,,30
"June 11, 2024",0,0,0.23,<,10,<,10,,62
"June 4, 2024",0,0,0,<,10,,41,,41
"May 28, 2024",0.14,0.4,0.52,,10,,10,<,10
"May 22, 2024",0,0,0,<,10,<,10,,
"May 21, 2024",0,0,0.08,,241,,121,<,10
"September 3, 2023",0.01,0.01,0.01,<,10,,10,,10
"September 2, 2023",0,0,0,<,10,<,10,,10
"September 1, 2023",0,0,0.54,,27,,15,,13
"August 31, 2023",0,0.54,0.83,,23,,12,,16
"August 30, 2023",0.54,0.83,0.83,,988,,932,,1250
"August 29, 2023",0.29,0.29,0.29,,20,,20,<,10
"August 28, 2023",0,0,0,,31,,84,<,10
"August 27, 2023",0,0,1.78,,30,,41,,185
"August 26, 2023",0,1.78,1.79,,20,,74,,20
"August 25, 2023",1.78,1.79,1.79,>,2600,>,2600,>,2600
"August 24, 2023",0.01,0.01,0.01,,23,,22,,29
"August 23, 2023",0,0,0.28,<,10,<,10,<,10
"August 22, 2023",0,0.28,0.28,<,10,<,10,,10
"August 21, 2023",0.28,0.28,0.28,<,10,,10,<,10
"August 20, 2023",0,0,1.35,<,10,,20,,10
"August 19, 2023",0,1.35,1.35,,31,,20,,10
"August 18, 2023",1.35,1.35,1.35,,23,,29,,59
"August 17, 2023",0,0,0.64,,25,,30,,32
"August 16, 2023",0,0.64,0.64,,10,,20,<,10
"August 15, 2023",0.64,0.64,0.79,,31,,10,,10
"August 14, 2023",0,0.15,0.15,<,10,<,10,,20
"August 13, 2023",0.15,0.15,0.2,<,10,<,10,<,10
"August 12, 2023",0,0.05,0.09,,10,<,10,<,10
"August 11, 2023",0.05,0.09,0.09,,7,,4,,2
"August 10, 2023",0.04,0.04,1.37,,10,<,2,,5
"August 9, 2023",0,1.33,1.33,,41,,31,,20
"August 8, 2023",1.33,1.33,1.33,,31,,657,,374
"August 7, 2023",0,0,0,,41,,41,,20
"August 6, 2023",0,0,0,<,10,,10,<,10
"August 5, 2023",0,0,0,<,10,<,10,<,10
"August 4, 2023",0,0,0,,127,,25,,40
"August 3, 2023",0,0,0,,6,,7,,12
"August 2, 2023",0,0,0,<,10,<,10,<,10
"August 1, 2023",0,0,0,<,10,,20,<,10
"July 31, 2023",0,0,3.07,<,10,,10,,10
"July 30, 2023",0,3.07,3.07,,41,<,10,,10
"July 29, 2023",3.07,3.07,3.3,<,10,,31,<,10
"July 28, 2023",0,0.23,0.23,,6,,2,,2
"July 27, 2023",0.23,0.23,1.11,,5,,4,<,2
"July 26, 2023",0,0.88,0.88,<,10,<,10,<,10
"July 25, 2023",0.88,0.88,0.88,<,10,<,10,<,10
"July 24, 2023",0,0,0,<,10,,10,<,10
"July 23, 2023",0,0,1.98,<,10,,31,,31
"July 22, 2023",0,1.98,1.98,,2480,,2220,,341
"July 21, 2023",1.98,1.98,1.98,,6,,35,,28
"July 20, 2023",0,0,0,,5,,2,,2
"July 19, 2023",0,0,0,<,10,,20,<,10
"July 18, 2023",0,0,1.6,,52,<,10,,10
"July 17, 2023",0,1.6,1.6,,63,,20,<,10
"July 16, 2023",1.6,1.6,1.72,,988,,776,,259
"July 15, 2023",0,0.12,0.18,<,10,<,10,<,10
"July 14, 2023",0.12,0.18,0.18,,12,,33,,2
"July 13, 2023",0.06,0.06,0.06,,8,,4,,6
"July 12, 2023",0,0,0.71,,10,<,10,<,10
"July 11, 2023",0,0.71,0.71,,399,,41,<,10
"July 10, 2023",0.71,0.71,0.71,,10,<,10,,52
"July 9, 2023",0,0,0,<,10,<,10,<,10
"July 8, 2023",0,0,0,,20,,63,<,10
"July 7, 2023",0,0,0,,4,,23,,6
"July 6, 2023",0,0,0.47,<,2,,4,,2
"July 5, 2023",0,0.47,1.46,,10,,10,,10
"July 4, 2023",0.47,1.46,1.78,,120,,464,,594
"July 3, 2023",0.99,1.31,1.31,,327,,203,,521
"July 2, 2023",0.32,0.32,0.32,,10,<,10,,10
"July 1, 2023",0,0,0,,10,,10,<,10
"June 30, 2023",0,0,0.53,,4,<,2,,2
"June 29, 2023",0,0.53,1.08,,23,,8,,2
"June 28, 2023",0.53,1.08,1.08,,857,,350,,183
"June 27, 2023",0.55,0.55,0.57,,86,,146,,20
"June 26, 2023",0,0.02,0.07,,10,,20,<,10
"June 25, 2023",0.02,0.07,0.07,<,10,,20,<,10
"June 24, 2023",0.05,0.05,0.05,<,10,,10,,10
"June 23, 2023",0,0,0,,13,,8,,6
"June 22, 2023",0,0,0,<,2,,5,,13
"June 21, 2023",0,0,0,<,10,,10,,30
"June 20, 2023",0,0,0.04,<,10,<,10,<,10
"June 19, 2023",0,0.04,0.81,,41,,20,,63
"June 14, 2023",0.12,0.13,0.47,<,10,,,,
"June 12, 2023",0.34,0.34,0.68,,150,<,10,,10
"June 7, 2023",0,0,0.07,<,10,,20,,
"June 5, 2023",0.07,0.17,0.25,,250,,120,,90
"September 4, 2022",0,0,0,<,10,,10,<,10
"September 3, 2022",0,0,0,<,10,<,10,<,10
"September 2, 2022",0,0,0.33,,8,,5,,2
"September 1, 2022",0,0.33,0.33,,4,,10,,6
"August 31, 2022",0.33,0.33,0.33,,1960,<,10,,10
"August 30, 2022",0,0,0,,10,<,10,,10
"August 29, 2022",0,0,0,<,10,<,10,<,10
"August 28, 2022",0,0,0.41,,10,,41,,86
"August 27, 2022",0,0.41,0.41,,20,<,10,,10
"August 26, 2022",0.41,0.41,0.41,,45,,6,,5
"August 25, 2022",0,0,0.02,,7,,2,,10
"August 24, 2022",0,0.02,0.46,<,10,<,10,<,10
"August 23, 2022",0.02,0.46,0.46,<,10,<,10,<,10
"August 22, 2022",0.44,0.44,0.44,<,10,<,10,<,10
"August 21, 2022",0,0,0,<,10,<,10,<,10
"August 20, 2022",0,0,0,<,10,<,10,,10
"August 19, 2022",0,0,0.01,,19,,8,<,2
"August 18, 2022",0,0.01,0.01,,6,<,2,<,2
"August 17, 2022",0.01,0.01,0.01,,10,,10,<,10
"August 16, 2022",0,0,0,,10,,10,,10
"August 15, 2022",0,0,0,<,10,<,10,,10
"August 14, 2022",0,0,0,<,10,,10,<,10
"August 13, 2022",0,0,0,<,10,<,10,<,10
"August 12, 2022",0,0,0,,27,,32,,57
"August 11, 2022",0,0,0.14,,22,,4,,5
"August 10, 2022",0,0.14,0.14,,31,,10,,41
"August 9, 2022",0.14,0.14,0.17,<,10,<,10,,10
"August 8, 2022",0,0.03,0.03,<,10,<,10,,10
"August 7, 2022",0.03,0.03,0.11,<,10,<,10,,20
"August 6, 2022",0,0.08,0.08,,31,,31,<,10
"August 5, 2022",0.08,0.08,0.08,<,2,<,2,<,2
"August 4, 2022",0,0,0,,2,,3,,2
"August 3, 2022",0,0,0.01,<,10,,10,<,10
"August 2, 2022",0,0.01,0.01,,20,,10,<,10
"August 1, 2022",0.01,0.01,0.01,<,10,<,10,<,10
"July 31, 2022",0,0,0,<,10,<,10,<,10
"July 30, 2022",0,0,0.04,<,10,<,10,<,10
"July 29, 2022",0,0.04,0.04,,7,,4,<,2
"July 28, 2022",0.04,0.04,0.04,,3,,10,,2
"July 27, 2022",0,0,0,,30,<,10,<,10
"July 26, 2022",0,0,0,<,10,<,10,<,10
"July 25, 2022",0,0,0,,10,<,10,<,10
"July 24, 2022",0,0,0,<,10,<,10,,20
"July 23, 2022",0,0,0,<,10,<,10,<,10
"July 22, 2022",0,0,0,,2,,8,<,2
"July 21, 2022",0,0,0.02,<,2,<,2,<,2
"July 20, 2022",0,0.02,0.17,<,10,<,10,<,10
"July 19, 2022",0.02,0.17,0.17,<,10,<,10,,10
"July 18, 2022",0.15,0.15,0.15,<,10,,10,<,10
"July 17, 2022",0,0,0,<,10,<,10,<,10
"July 16, 2022",0,0,0.16,<,10,<,10,,10
"July 15, 2022",0,0.16,0.16,,4,,2,,53
"July 14, 2022",0.16,0.16,0.17,,4,<,2,,6
"July 13, 2022",0,0.01,0.01,,10,<,10,<,10
"July 12, 2022",0.01,0.01,0.01,<,10,<,10,<,10
"July 11, 2022",0,0,0,<,10,<,10,<,10
"July 10, 2022",0,0,0,<,10,<,10,<,10
"July 9, 2022",0,0,0,<,10,<,10,<,10
"July 8, 2022",0,0,0.01,,2,,2,<,2
"July 7, 2022",0,0.01,0.05,<,2,<,2,,2
"July 6, 2022",0.01,0.05,0.05,,275,<,10,,10
"July 5, 2022",0.04,0.04,0.04,,30,<,10,<,10
"July 4, 2022",0,0,0.19,,20,<,10,<,10
"July 3, 2022",0,0.19,0.19,,20,,10,<,10
"July 2, 2022",0.19,0.19,0.19,<,10,<,10,<,10
"July 1, 2022",0,0,0,,90,,13,<,2
"June 30, 2022",0,0,0,<,2,,2,<,2
"June 29, 2022",0,0,0.65,,10,,10,,10
"June 28, 2022",0,0.65,0.65,<,10,<,10,,10
"June 27, 2022",0.65,0.65,0.65,<,10,<,10,<,10
"June 26, 2022",0,0,0,<,10,,10,<,10
"June 25, 2022",0,0,0,<,10,<,10,<,10
"June 24, 2022",0,0,0,,5,,6,,2
"June 23, 2022",0,0,0,,4,,6,,2
"June 22, 2022",0,0,0,<,10,,10,<,10
"June 21, 2022",0,0,0.31,<,10,<,10,<,10
"June 20, 2022",0,0.31,0.31,,20,<,10,<,10
"June 19, 2022",0.31,0.31,0.31,,988,,231,<,10
"June 18, 2022",0,0,0,,10,<,10,<,10
"June 17, 2022",0,0,0,,3,,2,,38
"June 16, 2022",0,0,0,,100,<,2,,2
"June 15, 2022",0,0,0.09,<,10,,10,<,10
"June 14, 2022",0,0.09,0.09,<,10,<,10,<,10
"June 13, 2022",0.09,0.09,0.09,<,10,<,10,,10
"June 12, 2022",0,0,0,<,10,<,10,<,10
"June 11, 2022",0,0,0.85,<,10,<,10,<,10
"June 10, 2022",0,0.85,1.08,,6,,5,,3
"June 9, 2022",0.85,1.08,1.08,,1300,,346,,100
"June 4, 2022",0,0.01,0.11,,,,,,12
"June 3, 2022",0.01,0.11,0.2,,7,,20,,106
"June 2, 2022",0.1,0.19,0.19,,29,,2,,8
"May 27, 2022",0,0,0,,2,,10,<,2
"May 26, 2022",0,0,0,<,2,<,2,,2
"September 5, 2021",0.05,0.05,0.05,,18,,16,,13
"September 4, 2021",0,0,2.54,,8,,14,,7
"September 3, 2021",0,2.54,4.23,,89,,100,,89
"September 1, 2021",1.69,1.69,1.71,,20,,20,,63
"August 31, 2021",0,0.02,0.1,<,10,<,10,,10
"August 30, 2021",0.02,0.1,0.17,<,10,,10,<,10
"August 29, 2021",0.08,0.15,0.15,<,10,,52,<,10
"August 28, 2021",0.07,0.07,0.07,,10,<,10,<,10
"August 27, 2021",0,0,0,,4,,4,,4
"August 26, 2021",0,0,0,,35,,86,,6
"August 25, 2021",0,0,1.69,,10,,20,,10
"August 24, 2021",0,1.69,2.45,,218,,121,,235
"August 21, 2021",0,0.05,1.19,,74,<,10,,97
"August 20, 2021",0.05,1.19,1.19,,102,,308,,285
"August 19, 2021",1.14,1.14,1.14,,25,,32,,100
"August 18, 2021",0,0,0,<,10,,10,,10
"August 17, 2021",0,0,0,,10,<,10,,10
"August 16, 2021",0,0,0.01,,10,,10,<,10
"August 15, 2021",0,0.01,0.01,<,10,<,10,<,10
"August 14, 2021",0.01,0.01,0.01,<,10,<,10,<,10
"August 13, 2021",0,0,0,,54,,53,,76
"August 12, 2021",0,0,0.03,,4,,7,,8
"August 11, 2021",0,0.03,1.18,<,10,<,10,<,10
"August 10, 2021",0.03,1.18,1.18,,63,,20,<,10
"August 9, 2021",1.15,1.15,1.15,<,10,<,10,,10
"August 8, 2021",0,0,0,,10,<,10,<,10
"August 7, 2021",0,0,1.42,<,10,<,10,<,10
"August 6, 2021",0,1.42,2,,4,,2,<,2
"August 5, 2021",1.42,2,2,,40,,49,,105
"August 4, 2021",0.58,0.58,0.58,<,10,<,10,<,10
"August 3, 2021",0,0,0,<,10,<,10,<,10
"August 2, 2021",0,0,0,<,10,<,10,<,10
"August 1, 2021",0,0,0.14,,148,<,10,<,10
"July 31, 2021",0,0.14,0.15,<,10,<,10,<,10
"July 30, 2021",0.14,0.15,0.15,,331,,2,<,2
"July 29, 2021",0.01,0.01,0.39,,10,,7,,2
"July 28, 2021",0,0.38,0.38,,41,,41,,41
"July 27, 2021",0.38,0.38,0.53,,364,,73,<,10
"July 26, 2021",0,0.15,0.15,,1110,,573,<,10
"July 25, 2021",0.15,0.15,0.15,<,10,<,10,<,10
"July 24, 2021",0,0,0,,20,<,10,<,10
"July 23, 2021",0,0,0,,25,,12,,8
"July 22, 2021",0,0,0,,5,,2,,2
"July 21, 2021",0,0,0,,10,<,10,,10
"July 20, 2021",0,0,0.3,,10,,20,<,10
"July 19, 2021",0,0.3,0.47,<,10,,10,,10
"July 18, 2021",0.3,0.47,0.49,<,10,,10,,10
"July 17, 2021",0.17,0.19,0.19,<,10,,10,,10
"July 16, 2021",0.02,0.02,0.02,<,2,,2,,10
"July 15, 2021",0,0,0.01,,7,,22,<,2
"July 14, 2021",0,0.01,1.22,,30,,10,,20
"July 13, 2021",0.01,1.22,1.25,<,10,,10,,20
"July 12, 2021",1.21,1.24,1.29,,169,,327,,816
"July 11, 2021",0.03,0.08,2.12,,10,<,10,,10
"July 10, 2021",0.05,2.09,2.39,,110,,145,,74
"July 8, 2021",0.3,0.33,0.62,,44,,132,,369
"July 7, 2021",0.03,0.32,0.32,<,10,<,10,<,10
"July 6, 2021",0.29,0.29,0.6,<,10,<,10,<,10
"July 5, 2021",0,0.31,1.99,<,10,,20,<,10
"July 4, 2021",0.31,1.99,3.66,,97,,98,,142
"July 3, 2021",1.68,3.35,4.63,,52,,85,,86
"July 2, 2021",1.67,2.95,3.11,,762,,1800,,1270
"July 1, 2021",1.28,1.44,1.44,<,2,,13,,4
"June 30, 2021",0.16,0.16,0.16,<,10,<,10,<,10
"June 29, 2021",0,0,0,<,10,<,10,<,10
"June 28, 2021",0,0,0,<,10,<,10,<,10
"June 27, 2021",0,0,0.09,<,10,,10,<,10
"June 26, 2021",0,0.09,0.09,,41,<,10,,10
"June 25, 2021",0.09,0.09,0.09,,2,,2,,2
"June 24, 2021",0,0,0.91,,2,<,2,<,2
"June 23, 2021",0,0.91,0.91,,20,,10,,10
"June 22, 2021",0.91,0.91,0.91,,10,<,10,<,10
"June 21, 2021",0,0,0,<,10,<,10,<,10
"June 20, 2021",0,0,0,,10,<,10,<,10
"June 19, 2021",0,0,0,<,10,<,10,<,10
"June 18, 2021",0,0,0,,3,<,2,,4
"June 17, 2021",0,0,0.01,<,2,<,2,,2
"June 10, 2021",0,0.05,0.05,<,2,,3,,4
"June 3, 2021",0,0,0,,10,,2,,2
"June 1, 2021",0,0.15,0.87,,5,,8,,3
"May 27, 2021",0.01,0.29,0.29,,2,,2,,14
"September 6, 2020",0,0,0,<,10,<,10,<,10
"September 5, 2020",0,0,0.01,,10,,10,<,10
"September 4, 2020",0,0.01,0.21,<,2,,2,<,2
"September 3, 2020",0.01,0.21,0.21,,15,,4,,2
"September 2, 2020",0.2,0.2,0.2,,20,,10,,10
"September 1, 2020",0,0,0,<,10,<,10,,20
"August 31, 2020",0,0,0.07,,52,<,10,,10
"August 30, 2020",0,0.07,0.07,<,10,<,10,,10
"August 29, 2020",0.07,0.07,0.25,,20,,10,,74
"August 28, 2020",0,0.18,0.18,,6,<,2,,2
"August 27, 2020",0.18,0.18,0.18,,2,,6,,6
"August 26, 2020",0,0,0,,10,<,10,,10
"August 25, 2020",0,0,1.33,<,10,,31,,20
"August 24, 2020",0,1.33,1.33,,3450,,1610,,171
"August 23, 2020",1.33,1.33,1.33,,10,,20,,10
"August 22, 2020",0,0,0,<,10,<,10,,20
"August 21, 2020",0,0,0.06,<,2,<,2,<,2
"August 20, 2020",0,0.06,0.22,,12,,12,<,2
"August 19, 2020",0.06,0.22,0.3,,20,<,10,<,10
"August 18, 2020",0.16,0.24,0.4,<,10,<,10,<,10
"August 17, 2020",0.08,0.24,0.24,<,10,<,10,<,10
"August 16, 2020",0.16,0.16,0.16,,41,<,10,,20
"August 15, 2020",0,0,0,<,10,<,10,,20
"August 14, 2020",0,0,0,,5,,13,,6
"August 13, 2020",0,0,0,,15,,20,,2
"August 12, 2020",0,0,0,<,10,,20,<,10
"August 11, 2020",0,0,0,<,10,<,10,<,10
"August 10, 2020",0,0,0,<,10,<,10,<,10
"August 9, 2020",0,0,0,,20,<,10,<,10
"August 8, 2020",0,0,0,,10,<,10,<,10
"August 7, 2020",0,0,0,,53,,59,,2
"August 6, 2020",0,0,0.17,,17,,4,,6
"August 5, 2020",0,0.17,0.17,,110,<,10,<,10
"August 4, 2020",0.17,0.17,0.24,<,10,,10,<,10
"August 3, 2020",0,0.07,0.07,<,10,<,10,<,10
"August 2, 2020",0.07,0.07,0.07,<,10,<,10,<,10
"August 1, 2020",0,0,0,,10,<,10,<,10
"July 31, 2020",0,0,0,,2,,2,<,2
"July 30, 2020",0,0,0,,7,,2,,2
"July 29, 2020",0,0,0,,10,<,10,<,10
"July 28, 2020",0,0,0,,10,<,10,<,10
"July 27, 2020",0,0,0,<,10,<,10,,10
"July 26, 2020",0,0,0,<,10,,10,<,10
"July 25, 2020",0,0,0.57,<,10,<,10,,10
"July 24, 2020",0,0.57,0.68,,15,,25,,25
"July 23, 2020",0.57,0.68,0.68,,8,,10,,16
"July 22, 2020",0.11,0.11,0.11,,10,<,10,<,10
"July 21, 2020",0,0,0,<,10,<,10,,31
"July 20, 2020",0,0,0,<,10,,10,,10
"July 19, 2020",0,0,0.11,,10,,41,,30
"July 18, 2020",0,0.11,0.11,<,10,<,10,<,10
"July 17, 2020",0.11,0.11,0.18,,8,,8,,6
"July 16, 2020",0,0.07,0.69,,10,,5,,7
"July 15, 2020",0.07,0.69,0.76,,41,,169,,134
"July 14, 2020",0.62,0.69,0.69,<,10,<,10,,10
"July 13, 2020",0.07,0.07,0.08,<,10,<,10,<,10
"July 12, 2020",0,0.01,0.01,<,10,<,10,<,10
"July 11, 2020",0.01,0.01,0.01,,10,,10,,10
"July 10, 2020",0,0,0,,7,<,2,<,2
"July 9, 2020",0,0,0,,4,<,2,,4
"July 8, 2020",0,0,0,<,10,<,10,<,10
"July 7, 2020",0,0,0.11,,10,<,10,<,10
"July 6, 2020",0,0.11,0.11,<,10,,10,<,10
"July 5, 2020",0.11,0.11,0.11,<,10,<,10,<,10
"July 4, 2020",0,0,0,,20,<,10,<,10
"July 3, 2020",0,0,0.07,,7,,17,,4
"July 2, 2020",0,0.07,0.25,,15,,7,,4
"July 1, 2020",0.07,0.25,0.44,,30,,10,<,10
"June 30, 2020",0.18,0.37,1.56,<,10,<,10,<,10
"June 29, 2020",0.19,1.38,1.4,,20,<,10,,52
"June 28, 2020",1.19,1.21,1.21,<,10,<,10,<,10
"June 27, 2020",0.02,0.02,0.02,<,10,<,10,<,10
"June 26, 2020",0,0,0.01,,6,<,2,<,2
"June 25, 2020",0,0.01,0.01,<,2,,2,,2
"June 24, 2020",0.01,0.01,0.01,<,10,,20,<,10
"June 23, 2020",0,0,0,,10,<,10,,10
"June 22, 2020",0,0,0,,10,<,10,<,10
"June 21, 2020",0,0,0,<,10,<,10,<,10
"June 20, 2020",0,0,0,<,10,<,10,<,10
"June 19, 2020",0,0,0,,2,<,2,,2
"June 18, 2020",0,0,0,<,2,,6,,25
"June 11, 2020",0.74,0.74,0.74,<,2,<,2,,2
"June 4, 2020",0,0.01,0.03,,5,<,2,,2
"May 28, 2020",0,0,0,<,2,<,2,<,2
"May 21, 2020",0,0,0,<,2,<,2,<,2
"September 1, 2019",0,0,0,,12,,12,,5
"August 31, 2019",0,0,0.3,,7,,10,,18
"August 30, 2019",0,0.3,0.95,,13,,14,,18
"August 29, 2019",0.3,0.95,0.95,,129,,138,,97
"August 28, 2019",0.65,0.65,0.65,,10,,41,<,10
"August 27, 2019",0,0,0,,10,<,10,<,10
"August 26, 2019",0,0,0,<,10,<,10,<,10
"August 25, 2019",0,0,0,<,10,,30,<,10
"August 24, 2019",0,0,0,,20,<,10,<,10
"August 23, 2019",0,0,0.08,<,2,,10,,10
"August 22, 2019",0,0.08,0.08,,3,,5,,4
"August 21, 2019",0.08,0.08,0.09,,41,,10,<,10
"August 20, 2019",0,0.01,0.17,,231,,10,<,10
"August 19, 2019",0.01,0.17,0.17,,12000,,512,,10
"August 18, 2019",0.16,0.16,0.16,<,10,,10,<,10
"August 17, 2019",0,0,0,<,10,<,10,,10
"August 16, 2019",0,0,0,,12,,2,,7
"August 15, 2019",0,0,0,,4,,38,,15
"August 14, 2019",0,0,0,<,10,<,10,<,10
"August 13, 2019",0,0,0,,10,<,10,,10
"August 12, 2019",0,0,0,<,10,,10,<,10
"August 11, 2019",0,0,0,<,10,<,10,<,10
"August 10, 2019",0,0,0.38,<,10,<,10,<,10
"August 9, 2019",0,0.38,2.28,,7,,8,,5
"August 8, 2019",0.38,2.28,2.28,>,2600,>,2600,>,2600
"August 7, 2019",1.9,1.9,1.9,<,10,<,10,<,10
"August 6, 2019",0,0,0,<,10,<,10,<,10
"August 5, 2019",0,0,0,<,10,<,10,<,10
"August 4, 2019",0,0,0,<,10,<,10,<,10
"August 3, 2019",0,0,0,,6,,17,,6
"August 2, 2019",0,0,1.25,,3,,22,<,2
"August 1, 2019",0,1.25,1.25,,38,,32,,37
"July 31, 2019",1.25,1.25,1.26,,10,,10,,10
"July 30, 2019",0,0.01,0.01,<,10,<,10,,10
"July 29, 2019",0.01,0.01,0.01,,20,,546,<,10
"July 28, 2019",0,0,0,<,10,<,10,<,10
"July 27, 2019",0,0,0,<,10,<,10,<,10
"July 26, 2019",0,0,0,,2,,2,,4
"July 25, 2019",0,0,1.03,<,2,<,2,,2
"July 24, 2019",0,1.03,1.88,<,10,,10,<,10
"July 23, 2019",1.03,1.88,1.88,,2360,,1860,,1080
"July 22, 2019",0.85,0.85,0.85,<,10,<,10,<,10
"July 21, 2019",0,0,0,,10,<,10,<,10
"July 20, 2019",0,0,0.04,<,10,<,10,,10
"July 19, 2019",0,0.04,0.47,,29,,102,,40
"July 18, 2019",0.04,0.47,0.47,,1370,,133,,137
"July 17, 2019",0.43,0.43,0.43,<,10,<,10,<,10
"July 16, 2019",0,0,0,<,10,<,10,<,10
"July 15, 2019",0,0,0,<,10,<,10,<,10
"July 14, 2019",0,0,0.81,<,10,<,10,<,10
"July 13, 2019",0,0.81,0.83,<,10,<,10,<,10
"July 12, 2019",0.81,0.83,0.83,,2,,7,,18
"July 11, 2019",0.02,0.02,0.02,,132,,392,,44
"July 10, 2019",0,0,0,,10,,63,<,10
"July 9, 2019",0,0,0,,183,,143,<,10
"July 8, 2019",0,0,1.37,<,10,,10,<,10
"July 7, 2019",0,1.37,1.37,,121,,1200,,1130
"July 6, 2019",1.37,1.37,1.37,<,10,<,10,,31
"July 5, 2019",0,0,0,,17,,13,,415
"July 4, 2019",0,0,0,,33,,73,,30
"July 3, 2019",0,0,0,,38,,13,,18
"July 2, 2019",0,0,0.16,,16,,44,,19
