"Carson Beach, South Boston: Bacterial Water Quality",,,,,,,
,,,,I Street,,McCormack Bathhouse,
"July 10, 2012",0,0,0,<,10,,10
"July 9, 2012",0,0,0,,10,<,10
"July 8, 2012",0,0,0,,10,<,10
"July 7, 2012",0,0,0,<,10,<,10
"July 6, 2012",0,0,0.14,<,2,,2
"July 5, 2012",0,0.14,0.14,<,2,,2
"July 4, 2012",0.14,0.14,0.14,,18,,10
"July 3, 2012",0,0,0,,10,,4
"July 2, 2012",0,0,0,,4,<,2
"July 1, 2012",0,0,0.05,,10,<,10
"June 30, 2012",0,0.05,0.05,<,10,,10
"June 29, 2012",0.05,0.05,0.05,,2,,4
"June 28, 2012",0,0,0.06,,18,,76
"June 27, 2012",0,0.06,0.99,<,10,,10
"June 26, 2012",0.06,0.99,0.99,,20,<,10
"June 25, 2012",0.93,0.93,2.12,<,10,,20
"June 24, 2012",0,1.19,1.21,,20,,10
"June 23, 2012",1.19,1.21,1.21,,10,,10
"June 22, 2012",0.02,0.02,0.02,<,2,<,2
"June 21, 2012",0,0,0,<,2,,2
"June 14, 2012",0,0.7,0.71,,10,,10
"June 7, 2012",0.04,0.04,0.17,,8,<,2
"May 31, 2012",0,0,0.17,,2,,7
"May 24, 2012",0,0,0.58,<,2,<,2
"September 4, 2011",0,0,0,,20,<,10
"September 3, 2011",0,0,0,<,10,<,10
"September 2, 2011",0,0,0,,18,,68
"September 1, 2011",0,0,0,,4,,12
"August 31, 2011",0,0,0,<,10,,10
"August 30, 2011",0,0,0.91,,31,,10
"August 29, 2011",0,0.91,1.68,,10,,20
"August 27, 2011",0.77,0.8,0.86,<,10,,10
"August 26, 2011",0.03,0.09,0.09,<,2,<,2
"August 25, 2011",0.06,0.06,0.06,,10,,4
"August 24, 2011",0,0,0.59,<,10,,10
"August 23, 2011",0,0.59,0.59,<,10,<,10
"August 22, 2011",0.59,0.59,0.59,<,10,,10
"August 21, 2011",0,0,0.03,<,10,<,10
"August 20, 2011",0,0.03,0.03,,31,,20
"August 19, 2011",0.03,0.03,0.03,<,2,<,2
"August 18, 2011",0,0,0.01,,2,,2
"August 17, 2011",0,0.01,1.44,<,10,<,10
"August 16, 2011",0.01,1.44,1.46,,10,<,10
"August 15, 2011",1.43,1.45,1.45,<,10,<,10
"August 14, 2011",0.02,0.02,0.02,<,10,<,10
"August 13, 2011",0,0,0,<,10,<,10
"August 12, 2011",0,0,0.73,,2,<,2
"August 11, 2011",0,0.73,1.94,,13,,27
"August 10, 2011",0.73,1.94,2.23,,52,,173
"August 9, 2011",1.21,1.5,2.56,<,10,<,10
"August 8, 2011",0.29,1.35,1.35,,10,,63
"August 7, 2011",1.06,1.06,1.06,,20,,41
"August 6, 2011",0,0,0,,20,<,10
"August 5, 2011",0,0,0,,2,,30
"August 4, 2011",0,0,0.6,,10,,60
"August 3, 2011",0,0.6,0.6,<,10,<,10
"August 2, 2011",0.6,0.6,0.6,<,10,<,10
"August 1, 2011",0,0,0,<,10,<,10
"July 31, 2011",0,0,0.14,<,10,<,10
"July 30, 2011",0,0.14,0.14,,681,,63
"July 29, 2011",0.14,0.14,0.14,,6,,18
"July 28, 2011",0,0,0.01,<,2,,8
"July 27, 2011",0,0.01,0.16,<,10,<,10
"July 26, 2011",0.01,0.16,0.18,,31,,20
"July 25, 2011",0.15,0.17,0.28,<,10,,31
"July 24, 2011",0.02,0.13,0.13,,30,<,10
"July 23, 2011",0.11,0.11,0.11,,10,,10
"July 22, 2011",0,0,0,,13,,4
"July 21, 2011",0,0,0,<,2,<,2
"July 20, 2011",0,0,0,<,10,,20
"July 19, 2011",0,0,0,<,10,<,10
"July 18, 2011",0,0,0,,10,<,10
"July 17, 2011",0,0,0,<,10,,10
"July 16, 2011",0,0,0.72,<,10,<,10
"July 15, 2011",0,0.72,1.17,,67,,89
"July 14, 2011",0.72,1.17,1.17,,54,,27
"July 13, 2011",0.45,0.45,0.45,,41,<,10
"July 12, 2011",0,0,0,,10,<,10
"July 11, 2011",0,0,0.12,<,10,<,10
"July 10, 2011",0,0.12,0.41,,10,,10
"July 9, 2011",0.12,0.41,0.41,<,10,,10
"July 8, 2011",0.29,0.29,0.29,,4,,2
"July 7, 2011",0,0,0,<,2,<,2
"July 6, 2011",0,0,0,<,10,,10
"July 5, 2011",0,0,0.03,<,10,<,10
"July 4, 2011",0,0.03,0.03,<,10,<,10
"July 3, 2011",0.03,0.03,0.03,<,10,<,10
"July 2, 2011",0,0,0,,10,,74
"July 1, 2011",0,0,0.18,<,2,<,2
"June 30, 2011",0,0.18,0.18,,2,<,2
"June 29, 2011",0.18,0.18,0.18,<,10,<,10
"June 28, 2011",0,0,0,,10,,10
"June 27, 2011",0,0,0.27,<,10,<,10
"June 26, 2011",0,0.27,0.28,<,10,,10
"June 25, 2011",0.27,0.28,0.45,<,10,<,10
"June 24, 2011",0.01,0.18,2,,35,,41
"June 23, 2011",0.17,1.99,1.99,,8,,98
"June 17, 2011",0.04,0.04,0.04,,13,,18
"June 16, 2011",0,0,0.04,,8,,4
"June 10, 2011",0,0.51,0.51,,6,,70
"June 9, 2011",0.51,0.51,0.51,,177,,64
"June 2, 2011",0,0.56,0.56,<,2,<,2
"May 26, 2011",0,0,0.17,,25,,27
"September 2, 2010",0,0,0,<,2,,2
"September 1, 2010",0,0,0,<,10,<,10
"August 31, 2010",0,0,0,<,10,<,10
"August 30, 2010",0,0,0,,10,,30
"August 29, 2010",0,0,0,<,10,,52
"August 28, 2010",0,0,0,<,10,,63
"August 27, 2010",0,0,2.76,,2,,4
"August 26, 2010",0,2.76,3.54,,38,<,2
"August 25, 2010",2.76,3.54,4.24,,135,,1420
"August 24, 2010",0.78,1.48,1.72,,132,,146
"August 23, 2010",0.7,0.94,0.94,,31,,487
"August 22, 2010",0.24,0.24,0.24,<,10,,30
"August 21, 2010",0,0,0,<,10,,10
"August 20, 2010",0,0,0,<,2,,4
"August 19, 2010",0,0,0,,52,,4
"August 18, 2010",0,0,0.21,<,10,,10
"August 17, 2010",0,0.21,0.21,<,10,<,10
"August 16, 2010",0.21,0.21,0.21,,259,,20
"August 15, 2010",0,0,0,,10,,20
"August 14, 2010",0,0,0,,52,,31
"August 13, 2010",0,0,0,,32,,41
"August 12, 2010",0,0,0.07,,48,,35
"August 11, 2010",0,0.07,0.07,,109,<,10
"August 10, 2010",0.07,0.07,0.07,<,10,,10
"August 9, 2010",0,0,0,,231,<,10
"August 8, 2010",0,0,0,,691,,272
"August 7, 2010",0,0,0.99,<,10,,74
"August 6, 2010",0,0.99,0.99,,23,,4
"August 5, 2010",0.99,0.99,0.99,,57,,12
"August 4, 2010",0,0,0,<,10,,10
"August 3, 2010",0,0,0,<,10,,20
"August 2, 2010",0,0,0,<,10,,278
"August 1, 2010",0,0,0,,10,,52
"July 31, 2010",0,0,0.04,<,10,,31
"July 30, 2010",0,0.04,0.04,<,2,<,2
"July 29, 2010",0.04,0.04,0.04,<,2,,4
"July 28, 2010",0,0,0,<,10,<,10
"July 27, 2010",0,0,0,,10,,10
"July 26, 2010",0,0,0,,10,,10
"July 25, 2010",0,0,0.49,<,10,<,10
"July 24, 2010",0,0.49,0.49,,10,,723
"July 23, 2010",0.49,0.49,0.54,,106,,18
"July 22, 2010",0,0.05,0.05,<,2,<,2
"July 21, 2010",0.05,0.05,0.05,<,10,<,10
"July 20, 2010",0,0,0,<,10,,84
"July 19, 2010",0,0,0,<,10,,10
"July 18, 2010",0,0,0.02,<,10,,10
"July 17, 2010",0,0.02,0.02,,20,<,10
"July 16, 2010",0.02,0.02,0.13,,18,,2
"July 15, 2010",0,0.11,0.15,,4,<,2
"July 14, 2010",0.11,0.15,0.4,,10,,10
"July 13, 2010",0.04,0.29,0.3,,52,<,10
"July 12, 2010",0.25,0.26,1.91,,30,,31
"July 11, 2010",0.01,1.66,1.66,,41,<,10
"July 10, 2010",1.65,1.65,1.65,,30,<,10
"July 9, 2010",0,0,0,,27,,4
"July 8, 2010",0,0,0,<,2,,44
"July 7, 2010",0,0,0,<,10,<,10
"July 6, 2010",0,0,0,<,10,<,10
"July 5, 2010",0,0,0,<,10,<,10
"July 4, 2010",0,0,0,<,10,<,10
"July 3, 2010",0,0,0,<,10,<,10
"July 2, 2010",0,0,0,<,2,,2
"July 1, 2010",0,0,0,<,2,,2
"June 30, 2010",0,0,0,<,10,<,10
"June 29, 2010",0,0,0,<,10,,10
"June 28, 2010",0,0,0,<,10,<,10
"June 27, 2010",0,0,0,<,10,<,10
"June 26, 2010",0,0,0.05,,10,<,10
"June 25, 2010",0,0.05,0.11,<,2,<,2
"June 24, 2010",0.05,0.11,0.11,,7,<,2
"June 23, 2010",0.06,0.06,0.06,,10,,10
"June 22, 2010",0,0,0.16,<,10,,20
"June 21, 2010",0,0.16,0.16,<,10,<,10
"June 20, 2010",0.16,0.16,0.16,<,10,,10
"June 19, 2010",0,0,0,,41,,10
"June 18, 2010",0,0,0.02,,4,,12
"June 17, 2010",0,0.02,0.02,,67,,2
"June 10, 2010",0.1,0.14,0.14,,6,,15
"June 7, 2010",0,0.71,1.42,,2,,106
"June 4, 2010",0,0.7,0.7,,2,,62
"June 3, 2010",0.7,0.7,1.13,,28,,151
"May 29, 2010",0,0,0.05,<,2,,4
"May 27, 2010",0.05,0.11,0.11,,8,,315
"September 5, 2009",0,0,0,<,10,<,10
"September 4, 2009",0,0,0,,23,,6
"September 3, 2009",0,0,0,,8,,4
"September 2, 2009",0,0,0,,10,<,10
"September 1, 2009",0,0,0,,20,<,10
"August 31, 2009",0,0,1.65,<,10,<,10
"August 30, 2009",0,1.65,1.74,,41,<,10
"August 28, 2009",0.09,0.09,0.09,<,2,,2
"August 27, 2009",0,0,0,,440,<,2
"August 26, 2009",0,0,0.77,,20,,10
"August 25, 2009",0,0.77,0.9,,10,,52
"August 24, 2009",0.77,0.9,1.07,<,10,<,10
"August 23, 2009",0.13,0.3,0.3,<,10,,10
"August 22, 2009",0.17,0.17,0.45,,175,,52
"August 21, 2009",0,0.28,0.28,,2200,,12
"August 20, 2009",0.28,0.28,0.28,,38,,12
"August 19, 2009",0,0,0,,85,,74
"August 18, 2009",0,0,0,<,10,,10
"August 17, 2009",0,0,0,,20,<,10
"August 16, 2009",0,0,0,,10,<,10
"August 15, 2009",0,0,0.09,<,10,,41
"August 14, 2009",0,0.09,0.09,,8,,8
"August 13, 2009",0.09,0.09,0.14,<,2,,35
"August 12, 2009",0,0.05,0.06,<,10,,1990
"August 11, 2009",0.05,0.06,0.06,,10,,10
"August 10, 2009",0.01,0.01,0.01,,10,,10
"August 9, 2009",0,0,0,,41,<,10
"August 8, 2009",0,0,0,<,10,<,10
"August 7, 2009",0,0,0,,2,,2
"August 6, 2009",0,0,0,,8,,2
"August 5, 2009",0,0,0,<,10,,369
"August 4, 2009",0,0,0,<,10,,31
"August 3, 2009",0,0,0,<,10,<,10
"August 2, 2009",0,0,0.44,<,10,,20
"August 1, 2009",0,0.44,0.95,,10,<,10
"July 31, 2009",0.44,0.95,0.95,,4,,2
"July 30, 2009",0.51,0.51,0.51,,2,,6
"July 29, 2009",0,0,0,<,10,,20
"July 28, 2009",0,0,0.02,<,10,<,10
"July 27, 2009",0,0.02,0.02,,31,,41
"July 26, 2009",0.02,0.02,1.95,,130,,30
"July 25, 2009",0,1.93,2.36,,988,,1450
"July 24, 2009",1.93,2.36,2.36,,360,,320
"July 23, 2009",0.43,0.43,0.95,,98,,18
"July 22, 2009",0,0.52,0.52,,4160,,10
"July 21, 2009",0.52,0.52,0.52,,10,<,10
"July 20, 2009",0,0,0.24,<,10,<,10
"July 19, 2009",0,0.24,0.24,<,10,,110
"July 18, 2009",0.24,0.24,0.24,<,10,,364
"July 17, 2009",0,0,0,,15,,2
"July 16, 2009",0,0,0,<,2,,2
"July 15, 2009",0,0,0,<,10,,10
"July 14, 2009",0,0,0.28,<,10,<,10
"July 13, 2009",0,0.28,0.64,<,10,<,10
"July 12, 2009",0.28,0.64,0.64,,20,,10
"July 11, 2009",0.36,0.36,0.36,,10,<,10
"July 10, 2009",0,0,0.02,,4,,6
