OBJECTID,Municipality,EJ criteria,Number of EJ block groups,Total number of block groups,Percent of EJ block groups,Population in EJ block groups,Total population,Percent of population in EJ BGs
78,Holyoke,MIE,29,35,82.9,29853,38238,78.1
79,Hopkinton,M,1,11,9.1,2723,18758,14.5
80,Hudson,M,3,13,23.1,4821,20092,24.0
81,Lancaster,M,1,4,25.0,3316,8441,39.3
82,Lawrence,MIE,56,56,100.0,89143,89143,100.0
83,Lee,I,1,6,16.7,956,5788,16.5
84,Leicester,M,2,8,25.0,2721,11087,24.5
85,Lenox,I,2,7,28.6,1518,5095,29.8
86,Leominster,MIE,24,30,80.0,33593,43782,76.7
87,Lexington,M,18,24,75.0,26398,34454,76.6
88,Lincoln,M,1,6,16.7,1449,7014,20.7
89,Lowell,MIE,77,81,95.1,111001,115554,96.1
90,Ludlow,MIE,4,10,40.0,6314,21002,30.1
91,Lynn,MIE,70,73,95.9,96966,101253,95.8
92,Malden,MIE,52,52,100.0,66263,66263,100.0
93,Mansfield,M,2,15,13.3,4038,23860,16.9
94,Marblehead,I,2,21,9.5,1358,20441,6.6
95,Marion,M,1,5,20.0,1184,5347,22.1
96,Marlborough,MIE,18,24,75.0,33060,41793,79.1
97,Marshfield,I,1,19,5.3,633,25825,2.5
98,Mashpee,MI,2,9,22.2,2109,15853,13.3
99,Maynard,I,1,7,14.3,1347,10746,12.5
100,Medford,MIE,40,56,71.4,43607,59659,73.1
101,Melrose,MI,6,26,23.1,8065,29817,27.0
102,Merrimac,I,1,4,25.0,1278,6723,19.0
103,Methuen,MIE,29,35,82.9,43285,53059,81.6
104,Middleborough,I,1,14,7.1,1751,24245,7.2
105,Milford,MIE,16,21,76.2,23109,30379,76.1
106,Millbury,I,2,9,22.2,1760,13831,12.7
107,Millis,E,1,5,20.0,1413,8460,16.7
108,Milton,MI,8,24,33.3,8078,27789,29.1
109,Monroe,I,1,1,100.0,1147,1147,100.0
110,Monson,I,1,5,20.0,1136,8153,13.9
111,Montague,I,4,8,50.0,4036,8580,47.0
112,Nantucket,M,6,11,54.5,10250,14255,71.9
113,Natick,MIE,11,29,37.9,13544,37006,36.6
114,New Bedford,MIE,71,87,81.6,79729,101079,78.9
115,Newburyport,I,2,14,14.3,2213,18289,12.1
116,Newton,MI,7,67,10.4,8592,89763,9.6
117,Norfolk,M,1,6,16.7,1484,11662,12.7
118,North Adams,I,8,10,80.0,10728,12961,82.8
119,North Andover,M,7,21,33.3,11143,30915,36.0
120,North Attleborough,MI,5,20,25.0,7478,30834,24.3
121,North Brookfield,I,1,5,20.0,785,4735,16.6
122,Northampton,MI,7,21,33.3,10076,29571,34.1
123,Norwood,MIE,10,23,43.5,16370,31611,51.8
124,Oak Bluffs,MI,3,5,60.0,2520,5341,47.2
125,Orange,I,2,7,28.6,2703,7569,35.7
126,Orleans,I,1,7,14.3,872,6307,13.8
127,Oxford,I,1,9,11.1,1142,13347,8.6
128,Palmer,I,2,9,22.2,1947,12445,15.6
129,Peabody,MIE,15,34,44.1,20833,54481,38.2
130,Pepperell,I,1,8,12.5,767,11604,6.6
131,Pittsfield,MI,22,45,48.9,21375,43927,48.7
132,Plymouth,MI,4,39,10.3,5491,61217,9.0
133,Provincetown,I,1,5,20.0,664,3664,18.1
134,Quincy,MIE,66,77,85.7,91661,101615,90.2
135,Randolph,MI,20,21,95.2,34984,34984,100.0
136,Reading,I,1,17,5.9,1015,25518,4.0
137,Revere,MIE,44,45,97.8,62179,62186,100.0
138,Rockland,MI,4,11,36.4,6528,17803,36.7
139,Rockport,I,1,6,16.7,828,6992,11.8
140,Rowe,I,1,1,100.0,1147,1147,100.0
141,Salem,MIE,23,34,67.6,30814,44472,69.3
142,Sandwich,MI,1,15,6.7,797,21052,3.8
143,Saugus,MIE,12,21,57.1,16628,28619,58.1
144,Savoy,I,1,1,100.0,645,645,100.0
145,Sharon,M,2,14,14.3,3156,20515,15.4
146,Sheffield,I,1,4,25.0,508,3327,15.3
147,Shelburne,I,1,2,50.0,828,1884,43.9
148,Shirley,M,1,4,25.0,3264,7431,43.9
149,Shrewsbury,M,14,20,70.0,27664,38325,72.2
150,Somerville,MIE,51,71,71.8,59054,81045,72.9
151,South Hadley,MI,2,12,16.7,3796,18150,20.9
152,Southbridge,MI,14,16,87.5,15774,17740,88.9
153,Spencer,I,2,9,22.2,3138,11992,26.2
154,Springfield,MIE,122,122,100.0,155929,155929,100.0
155,Stockbridge,I,1,3,33.3,842,2018,41.7
156,Stoneham,M,2,17,11.8,1585,23244,6.8
157,Stoughton,M,18,19,94.7,28541,29281,97.5
158,Sunderland,MI,3,3,100.0,3663,3663,100.0
159,Swampscott,IE,2,15,13.3,2329,15119,15.4
160,Taunton,MI,19,34,55.9,30323,59408,51.0
161,Tisbury,MI,3,5,60.0,3712,4815,77.1
162,Townsend,I,1,6,16.7,990,9127,10.8
163,Truro,I,1,3,33.3,892,2454,36.3
164,Tyngsborough,M,1,7,14.3,2527,12380,20.4
165,Wakefield,M,1,22,4.5,1116,27090,4.1
166,Walpole,M,3,16,18.8,5134,26383,19.5
167,Waltham,MIE,37,49,75.5,48486,65218,74.3
168,Ware,MI,3,7,42.9,4043,10066,40.2
169,Wareham,MI,5,17,29.4,6043,23303,25.9
170,Warren,I,2,4,50.0,2321,4975,46.7
171,Watertown,MIE,20,30,66.7,22935,35329,64.9
172,Webster,MI,8,14,57.1,9087,17776,51.1
173,Wellesley,M,2,24,8.3,3638,29550,12.3
174,West Brookfield,I,1,3,33.3,1387,3833,36.2
175,West Springfield,MI,15,22,68.2,18508,28835,64.2
176,Westborough,MI,8,14,57.1,14693,21567,68.1
177,Westfield,MI,12,27,44.4,15114,40834,37.0
178,Westford,M,1,12,8.3,2307,24643,9.4
179,Westport,I,1,10,10.0,1320,16339,8.1
180,Weymouth,MIE,17,46,37.0,23398,57437,40.7
181,Williamstown,M,1,6,16.7,1815,7513,24.2
182,Winchendon,I,1,8,12.5,1337,10364,12.9
183,Winchester,M,1,17,5.9,2469,24418,10.1
184,Winthrop,MI,7,18,38.9,8480,19316,43.9
185,Woburn,MI,11,26,42.3,17665,39428,44.8
186,Worcester,MIE,135,146,92.5,189802,206518,91.9
187,Yarmouth,MI,6,22,27.3,5719,25023,22.9
