start_year,region_ind,incident_number,avrh_mean,wind_med,erc_med,rain_sum,region,state,incident_name,cause,dominant_strategy_25_s,dominant_strategy_50_s,dominant_strategy_75_s,subdom_strategy,start_date,controlled_date,duration,prim_threatened_aggregate,comm_threatened_aggregate,outb_threatened_aggregate,injuries_to_date_last,fatalities_last,latitude,longitude,start_day_of_year,control_year,control_day_of_year,gt_100,dom_strat_ind_75,dom_strat_ind_25,dom_strat_ind_50,station_verified_in_psa,hec,cause_ind,total_fire_region,total_fire_west
2002,6,CA-RIVF2006597,63,12,12,0,California,CA,river,U,Full Suppression,Full Suppression,Full Suppression,,4/9/2002,4/15/2002,7,0,0,0,2,0,34,-117,99,2002,105,1,0,0,0,45624,83,0,99,403
2002,6,CA-NOD-2109,26,11,21,0,California,CA,rush fire,L,Full Suppression,Full Suppression,Full Suppression,,7/13/2002,7/18/2002,6,8,0,4,2,0,41,-120,194,2002,199,1,0,0,0,40728,2030,0,99,403
2002,6,CA-SRF-3560,44,6,67,0,California,CA,sour biscuit-zone 2,L,Full Suppression,Full Suppression,Full Suppression,,7/13/2002,8/15/2002,34,0,0,0,0,0,42,-124,194,2002,227,1,0,0,0,353115,8800,0,99,403
2002,6,CA-CNF-1470,47,2,67,0,California,CA,garnet,U,Full Suppression,Full Suppression,Full Suppression,,7/13/2002,7/17/2002,5,75,0,25,2,0,33,-116,194,2002,198,1,0,0,0,45709,472,0,99,403
2002,6,CA-LNU-7104,28,9,3,0,California,CA,128,H,Full Suppression,Full Suppression,Full Suppression,,9/4/2002,9/6/2002,3,0,0,0,0,0,39,-122,247,2002,249,1,0,0,0,42202,81,1,99,403
2002,6,CA-TNF-2631,17,3,51,0,California,CA,granite,H,Full Suppression,Full Suppression,Full Suppression,,11/25/2002,11/26/2002,2,0,0,0,0,0,39,-121,329,2002,330,1,0,0,0,41806,162,1,99,403
2002,6,CA-MMU-16110,42,5,91,0,California,CA,211,U,Full Suppression,Full Suppression,Full Suppression,,9/15/2002,9/16/2002,2,0,0,0,0,0,37,-120,258,2002,259,1,0,0,0,44517,61,0,99,403
2002,6,CA-CNF-1879,24,9,120,0,California,CA,bobcat fire,H,Full Suppression,Full Suppression,Full Suppression,,8/24/2002,8/26/2002,3,1500,60,1500,0,0,33,-117,236,2002,238,1,0,0,0,45704,310,1,99,403
2002,6,CA-LAC21370505,25,15,84,0,California,CA,placerita,U,Full Suppression,Full Suppression,Full Suppression,,7/8/2002,7/9/2002,2,60,0,0,9,0,34,-119,189,2002,190,1,0,0,0,45441,123,0,99,403
2002,6,CA-ENF-18738,33,4,46,0,California,CA,plum,H,Full Suppression,Full Suppression,Full Suppression,,11/25/2002,11/30/2002,6,50,0,0,1,0,39,-120,329,2002,334,1,0,0,0,42611,715,1,99,403
2002,6,CA-INF-000726,20,10,22,0,California,CA,inyo complex,L,Full Suppression,Full Suppression,Full Suppression,,7/11/2002,7/17/2002,7,147,28,140,3,0,37,-118,192,2002,198,1,0,0,0,44803,2651,0,99,403
2002,6,CA-BDU-2403,39,11,18,0,California,CA,airport,U,Full Suppression,Full Suppression,Full Suppression,,3/22/2002,3/25/2002,4,0,3,0,0,0,37,-118,81,2002,84,1,0,0,0,43708,340,0,99,403
2002,6,CA MEU-007499,33,3,70,0,California,CA,burns,U,Full Suppression,Full Suppression,Full Suppression,,9/19/2002,9/26/2002,8,0,0,0,6,0,40,-124,262,2002,269,1,0,0,0,41019,197,0,99,403
2002,6,CA-TUU-4659,54,8,2,0,California,CA,elderwood,U,Full Suppression,Full Suppression,Full Suppression,,5/16/2002,5/17/2002,2,1,0,0,0,0,36,-119,136,2002,137,1,0,0,0,44004,65,0,99,403
2002,6,CA-GLN-0209902,29,9,90,0,California,CA,mountain,U,Full Suppression,Full Suppression,Full Suppression,,9/9/2002,9/12/2002,4,368,20,0,3,0,34,-118,252,2002,255,1,0,0,0,45421,313,0,99,403
2002,6,CA-NEU-14547,43,5,3,0,California,CA,sierra,U,Full Suppression,Full Suppression,Full Suppression,,9/18/2002,9/22/2002,5,0,0,0,0,0,39,-121,261,2002,265,1,0,0,0,41907,241,0,99,403
2002,6,CA-KRN-38003,28,10,23,0,California,CA,stallion,H,Full Suppression,Full Suppression,Full Suppression,,7/28/2002,7/29/2002,2,16,0,1,0,0,35,-118,209,2002,210,1,0,0,0,45440,99,1,99,403
2002,6,CA-FKU-007156,40,12,3,0,California,CA,wk hill/33,U,Full Suppression,Full Suppression,Full Suppression,,6/9/2002,6/10/2002,2,0,0,0,0,0,36,-120,160,2002,161,1,0,0,0,44004,162,0,99,403
2002,6,CA-LPF-1520,46,5,3,0,California,CA,redhill,H,Full Suppression,Full Suppression,Full Suppression,,8/17/2002,8/24/2002,8,50,0,20,3,0,36,-120,229,2002,236,1,0,0,0,44310,290,1,99,403
2002,6,CA-ORC-02068528,17,7,104,0,California,CA,blue gum,U,Full Suppression,Full Suppression,Full Suppression,,11/20/2002,11/22/2002,3,0,4,0,2,0,34,-118,324,2002,326,1,0,0,0,45446,194,0,99,403
2002,6,CA-BTU-010147,25,9,47,0,California,CA,durham,U,Full Suppression,Full Suppression,Full Suppression,,8/26/2002,8/27/2002,2,40,0,0,0,0,40,-122,238,2002,239,1,0,0,0,41211,58,0,99,403
2002,6,CA-RRU-044585,48,5,45,0,California,CA,mias,U,Full Suppression,Full Suppression,Full Suppression,,6/18/2002,6/20/2002,3,0,0,0,5,0,34,-117,169,2002,171,1,0,0,0,45109,229,0,99,403
2002,6,CA-INF-1358,30,5,22,0,California,CA,paiute,H,Full Suppression,Full Suppression,Full Suppression,,9/24/2002,9/30/2002,7,0,0,0,0,0,38,-118,267,2002,273,1,0,0,0,43708,159,1,99,403
2002,6,CA-ANF-1354,23,9,105,0,California,CA,bouquet,U,Full Suppression,Full Suppression,Full Suppression,,5/11/2002,5/15/2002,5,400,0,0,3,0,35,-118,131,2002,135,1,0,0,0,45426,2015,0,99,403
2002,6,CA-ANF-001967,79,4,18,0,California,CA,wildwood,U,Full Suppression,Full Suppression,Full Suppression,,6/20/2002,6/24/2002,5,90,1,40,1,0,34,-118,171,2002,175,1,0,0,0,45411,46,0,99,403
2002,6,CA-NOD-2085,29,10,21,0,California,CA,horse complex,L,Full Suppression,Full Suppression,Full Suppression,,7/12/2002,7/17/2002,6,8,3,0,0,0,41,-121,193,2002,198,1,0,0,0,40727,640,0,99,403
2002,6,CA-SLU-002271,51,10,1,0,California,CA,sunburst,U,Full Suppression,Full Suppression,Full Suppression,,5/10/2002,5/11/2002,2,4,0,0,0,0,36,-120,130,2002,131,1,0,0,0,44914,41,0,99,403
2002,6,CA-RRU-10403,27,2,22,0,California,CA,green,U,Full Suppression,Full Suppression,Full Suppression,,2/9/2002,2/14/2002,6,1000,0,0,3,0,35,-118,40,2002,45,1,0,0,0,45444,972,0,99,403
2002,6,CA-TMU-12859,44,4,43,0,California,CA,showers,H,Full Suppression,Full Suppression,Full Suppression,,8/19/2002,8/26/2002,8,6,1,0,0,2,39,-120,231,2002,238,1,0,0,0,42607,119,1,99,403
2002,6,CA-ANF-925,39,3,71,0,California,CA,atmore,H,Full Suppression,Full Suppression,Full Suppression,,3/30/2002,4/5/2002,7,0,0,0,0,0,35,-119,89,2002,95,1,0,0,0,45426,54,1,99,403
2002,6,CA-LPF-1543,42,6,92,0,California,CA,hughes,H,Full Suppression,Full Suppression,Full Suppression,,8/20/2002,8/29/2002,10,0,0,0,0,0,36,-121,232,2002,241,1,0,0,0,44317,575,1,99,403
2002,6,CA-RRU-058948,34,7,85,0,California,CA,bryant,U,Full Suppression,Full Suppression,Full Suppression,,8/11/2002,8/14/2002,4,250,0,15,6,0,34,-117,223,2002,226,1,0,0,0,45109,203,0,99,403
2002,6,CA-LNU-006171,48,7,45,0,California,CA,pope,H,Full Suppression,Full Suppression,Full Suppression,,8/9/2002,8/11/2002,3,10,0,0,0,0,39,-122,221,2002,223,1,0,0,0,42009,318,1,99,403
2002,6,CA-MEU-006543,51,4,79,0,California,CA,shamrock,H,Full Suppression,Full Suppression,Full Suppression,,8/20/2002,8/23/2002,4,140,0,160,3,0,40,-123,232,2002,235,1,0,0,0,41015,110,1,99,403
2002,6,CA-BDF-4873,54,6,13,0,California,CA,bee,U,Full Suppression,Full Suppression,Full Suppression,,6/2/2002,6/4/2002,3,0,0,0,0,0,34,-117,153,2002,155,1,0,0,0,45604,175,0,99,403
2002,6,CA-SHU-008454,33,4,48,0,California,CA,squirrel,H,Full Suppression,Full Suppression,Full Suppression,,9/3/2002,9/10/2002,8,550,10,220,2,0,41,-122,246,2002,253,1,0,0,0,40615,233,1,99,403
2002,6,CA-BDU-001972,41,16,18,0,California,CA,bridge,U,Full Suppression,Full Suppression,Full Suppression,,3/9/2002,3/11/2002,3,0,0,0,0,0,37,-118,68,2002,70,1,0,0,0,43708,81,0,99,403
2002,6,CA-CNF-1759,21,4,99,0,California,CA,peak,U,Full Suppression,Full Suppression,Full Suppression,,8/9/2002,8/11/2002,3,120,0,150,5,0,33,-117,221,2002,223,1,0,0,0,45711,120,0,99,403
2002,6,CA-MVU-2592,49,6,91,0,California,CA,bell,U,Full Suppression,Full Suppression,Full Suppression,,4/13/2002,4/15/2002,3,0,0,0,0,0,33,-117,103,2002,105,1,0,0,0,45730,142,0,99,403
2002,6,CA-SLU-4041,46,7,3,0,California,CA,58,U,Full Suppression,Full Suppression,Full Suppression,,7/18/2002,7/22/2002,5,40,0,0,2,0,35,-121,199,2002,203,1,0,0,0,44914,559,0,99,403
2002,6,CA-KNF-1997,37,6,59,0,California,CA,forks,H,Full Suppression,Full Suppression,Full Suppression,,6/9/2002,6/17/2002,9,13,0,0,1,0,41,-123,160,2002,168,1,0,0,0,40203,567,1,99,403
2002,6,CA-BTU-08545,50,6,21,0,California,CA,butte complex,L,Full Suppression,Full Suppression,Full Suppression,,7/21/2002,7/24/2002,4,20,2,0,0,0,40,-122,202,2002,205,1,0,0,0,41211,61,0,99,403
2002,6,CA-CNF-001166,29,3,91,0,California,CA,troy,H,Full Suppression,Full Suppression,Full Suppression,,6/19/2002,6/23/2002,5,24,0,0,6,0,33,-116,170,2002,174,1,0,0,0,45709,481,1,99,403
2002,6,CA-RRU-29527,41,5,48,0,California,CA,evening,H,Full Suppression,Full Suppression,Full Suppression,,4/21/2002,4/23/2002,3,200,0,0,0,0,34,-118,111,2002,113,1,0,0,0,45443,361,1,99,403
2002,6,CA-BDF-7605,30,8,72,0,California,CA,lytle,H,Full Suppression,Full Suppression,Full Suppression,,8/29/2002,9/11/2002,14,0,0,0,1,0,34,-118,241,2002,254,1,0,0,0,45114,225,1,99,403
2002,6,CA-LNF-3269,42,7,76,0,California,CA,cone,U,Full Suppression,Full Suppression,Full Suppression,,9/26/2002,10/2/2002,7,0,0,0,1,0,41,-121,269,2002,275,1,0,0,0,40723,812,0,99,403
2002,6,CA-SCU-003541,68,3,14,0,California,CA,alhambra,U,Full Suppression,Full Suppression,Full Suppression,,8/25/2002,8/25/2002,1,0,0,0,0,0,38,-122,237,2002,237,1,0,0,0,43010,81,0,99,403
2002,6,CA-LPF-1583,37,6,88,0,California,CA,hay canyon,H,Full Suppression,Full Suppression,Full Suppression,,8/27/2002,8/29/2002,3,0,0,0,0,0,36,-121,239,2002,241,1,0,0,0,44317,700,1,99,403
2002,6,CA-ANF-3283,33,11,52,0,California,CA,leona,H,Full Suppression,Full Suppression,Full Suppression,,9/3/2002,9/12/2002,10,700,20,70,4,0,35,-118,246,2002,255,1,0,0,0,45438,2074,1,99,403
2002,6,CA-SKU-002739,43,5,3,0,California,CA,mussolini,H,Full Suppression,Full Suppression,Full Suppression,,7/13/2002,7/23/2002,11,48,0,0,6,0,41,-122,194,2002,204,1,0,0,0,40228,1320,1,99,403
2002,6,CA-NEU-8323,37,10,2,0,California,CA,garden,U,Full Suppression,Full Suppression,Full Suppression,,6/9/2002,6/11/2002,3,0,0,0,0,0,39,-121,160,2002,162,1,0,0,0,41907,88,0,99,403
2002,6,CA-ENF-11411,38,3,80,0,California,CA,st. pauli,U,Full Suppression,Full Suppression,Full Suppression,,7/26/2002,7/29/2002,4,10,1,0,0,0,39,-120,207,2002,210,1,0,0,0,42611,130,0,99,403
2002,6,CA-HIA-00203,49,8,66,0,California,CA,supply creek #13,H,Full Suppression,Full Suppression,Full Suppression,,8/14/2002,8/19/2002,6,1350,300,150,2,0,41,-124,226,2002,231,1,0,0,0,40408,166,1,99,403
2002,6,CA-RRU-29424,30,5,87,0,California,CA,redlands,U,Full Suppression,Full Suppression,Full Suppression,,4/21/2002,4/23/2002,3,0,0,0,0,0,34,-117,111,2002,113,1,0,0,0,45109,61,0,99,403
2002,6,CA-MEU-9436,32,4,60,0,California,CA,pine,H,Full Suppression,Full Suppression,Full Suppression,,11/26/2002,11/30/2002,5,10,0,24,0,0,39,-123,330,2002,334,1,0,0,0,42010,486,1,99,403
2002,6,CA-MMU-7167,55,7,1,0,California,CA,arboleda,H,Full Suppression,Full Suppression,Full Suppression,,5/7/2002,5/7/2002,1,0,0,0,0,0,37,-120,127,2002,127,1,0,0,0,44004,130,1,99,403
2002,6,CA-HIA-252,47,3,63,0,California,CA,big hill,U,Full Suppression,Full Suppression,Full Suppression,,9/21/2002,9/26/2002,6,10,0,2,2,0,41,-124,264,2002,269,1,0,0,0,40408,72,0,99,403
2002,6,CA-LPF-985,60,8,33,0,California,CA,piney,U,Full Suppression,Full Suppression,Full Suppression,,6/19/2002,6/23/2002,5,100,0,0,0,0,36,-121,170,2002,174,1,0,0,0,44301,125,0,99,403
2002,6,CA-LPF-869,31,6,111,0,California,CA,wolf,U,Full Suppression,Full Suppression,Full Suppression,,6/1/2002,7/10/2002,40,78,26,0,2,0,35,-120,152,2002,191,1,0,0,0,45303,8760,0,99,403
2002,6,CA-BDF-5419,49,7,55,0,California,CA,louisiana,U,Full Suppression,Full Suppression,Full Suppression,,6/26/2002,7/4/2002,9,400,0,0,0,0,34,-117,177,2002,185,1,0,0,0,45113,2661,0,99,403
2002,6,CA-SQF-1888,41,6,41,0,California,CA,mcnally,H,Full Suppression,Full Suppression,Full Suppression,,7/21/2002,9/2/2002,44,1848,126,0,11,0,36,-118,202,2002,245,1,0,0,0,44707,60985,1,99,403
2002,6,CA-SWR-454,47,6,3,0,California,CA,ab,H,Full Suppression,Full Suppression,Full Suppression,,7/8/2002,7/10/2002,3,0,0,0,0,0,39,-122,189,2002,191,1,0,0,0,41102,304,1,99,403
2002,6,CA-LPF-001226,18,8,109,0,California,CA,sulphur springs,U,Full Suppression,Full Suppression,Full Suppression,,7/10/2002,7/10/2002,1,0,0,0,0,0,36,-121,191,2002,191,1,0,0,0,44410,1012,0,99,403
2002,6,CA-SCU-002228,48,9,12,0,California,CA,patterson,U,Full Suppression,Full Suppression,Full Suppression,,6/18/2002,6/18/2002,1,0,0,0,0,0,38,-122,169,2002,169,1,0,0,0,43011,413,0,99,403
2002,6,CA-TMU-09828,41,3,41,0,California,CA,gondola,H,Full Suppression,Full Suppression,Full Suppression,,7/3/2002,7/8/2002,6,2100,900,300,3,0,39,-120,184,2002,189,1,0,0,0,42607,272,1,99,403
2002,6,CA-ANF-001949,45,12,53,0,California,CA,copco fire,U,Full Suppression,Full Suppression,Full Suppression,,6/18/2002,6/23/2002,6,0,0,0,6,0,35,-119,169,2002,174,1,0,0,0,45448,591,0,99,403
2002,6,CA-CNF-000102,32,12,90,0,California,CA,holy,U,Full Suppression,Full Suppression,Full Suppression,,1/23/2002,1/27/2002,5,0,0,0,2,0,34,-118,23,2002,27,1,0,0,0,45619,41,0,99,403
2002,6,CA-SNF-1576,45,3,20,0,California,CA,rock creek 2,H,Full Suppression,Full Suppression,Full Suppression,,11/25/2002,11/30/2002,6,0,0,0,0,0,37,-119,329,2002,334,1,0,0,0,44204,175,1,99,403
2002,6,CA-SCU-004160,54,4,45,0,California,CA,croy,U,Full Suppression,Full Suppression,Full Suppression,,9/23/2002,10/5/2002,13,870,0,0,9,0,37,-122,266,2002,278,1,0,0,0,43802,1266,0,99,403
2002,6,CA-LAC02177557,23,10,38,0,California,CA,freeway,U,Full Suppression,Full Suppression,Full Suppression,,9/1/2002,9/3/2002,3,100,0,0,3,0,35,-119,244,2002,246,1,0,0,0,45445,423,0,99,403
2002,6,CA-LAC02187107,22,11,61,0,California,CA,oasis inc,U,Full Suppression,Full Suppression,Full Suppression,,9/14/2002,9/15/2002,2,200,0,0,0,0,34,-118,257,2002,258,1,0,0,0,45438,529,0,99,403
2002,6,CA-NOD-2079,27,12,21,0,California,CA,annie,L,Full Suppression,Full Suppression,Full Suppression,,7/12/2002,7/15/2002,4,0,0,0,0,0,42,-120,193,2002,196,1,0,0,0,260111,118,0,99,403
2002,6,CA-RRU-058991,30,7,92,0,California,CA,pass,U,Full Suppression,Full Suppression,Full Suppression,,8/11/2002,8/13/2002,3,50,0,20,1,0,34,-117,223,2002,225,1,0,0,0,45109,107,0,99,403
2002,6,CA-TCU-00009171,40,4,49,0,California,CA,sourgrass complex,H,Full Suppression,Full Suppression,Full Suppression,,11/21/2002,12/2/2002,12,0,0,0,0,0,39,-120,325,2002,336,1,0,0,0,42601,324,1,99,403
2003,6,CA-LAC-03200343,17,10,97,0,California,CA,gorman,U,Full Suppression,Full Suppression,Full Suppression,,9/27/2003,9/29/2003,3,2,0,0,0,0,35,-119,270,2003,272,1,0,0,0,45448,122,0,104,465
2003,6,CA-MMU-15276,55,5,38,0,California,CA,mad/lightning series,L,Full Suppression,Full Suppression,Full Suppression,,8/26/2003,8/27/2003,2,0,0,0,0,0,37,-120,238,2003,239,1,0,0,0,44517,41,0,104,465
2003,6,CA-NOD-3739,33,9,20,0,California,CA,secret,H,Full Suppression,Full Suppression,Full Suppression,,10/15/2003,10/17/2003,3,0,0,0,0,0,41,-120,288,2003,290,1,0,0,0,40714,425,1,104,465
2003,6,CA-LOM-1817,69,9,13,0,California,CA,prado,U,Full Suppression,Full Suppression,Full Suppression,,9/12/2003,9/13/2003,2,0,0,0,0,0,34,-117,255,2003,256,1,0,0,0,45624,77,0,104,465
2003,6,CA-MEU-5879,56,3,60,0,California,CA,rattlesnake,U,Full Suppression,Full Suppression,Full Suppression,,7/29/2003,8/4/2003,7,0,0,2,0,0,40,-124,210,2003,216,1,0,0,0,41019,67,0,104,465
2003,6,CA-RWP-5720,71,9,13,5,California,CA,xowannutuk,N,Full Suppression,Full Suppression,Full Suppression,,10/26/2003,11/19/2003,25,0,0,0,0,0,41,-124,299,2003,323,1,0,0,0,40425,128,0,104,465
2003,6,CA-LPF-2142,50,5,48,2,California,CA,piru,U,Full Suppression,Full Suppression,Full Suppression,,10/23/2003,11/18/2003,27,1010,4,0,0,0,34,-119,296,2003,322,1,0,0,0,45307,25897,0,104,465
2003,6,CA-ANF-002578,22,15,75,0,California,CA,templin,H,Full Suppression,Full Suppression,Full Suppression,,7/7/2003,7/8/2003,2,25,0,0,2,0,35,-119,188,2003,189,1,0,0,0,45448,49,1,104,465
2003,6,CA-TCU-4908,42,9,3,0,California,CA,coopers,U,Full Suppression,Full Suppression,Full Suppression,,7/12/2003,7/13/2003,2,0,0,0,0,0,38,-121,193,2003,194,1,0,0,0,43613,161,0,104,465
2003,6,CA-TNF-001933,42,3,66,0,California,CA,cod complex,L,Full Suppression,Full Suppression,Full Suppression,,8/31/2003,9/11/2003,12,130,6,120,0,0,39,-121,243,2003,254,1,0,0,0,41908,336,0,104,465
2003,6,CA-MEU-007183,55,4,59,1,California,CA,storm complex,L,Full Suppression,Full Suppression,Full Suppression,,9/3/2003,9/8/2003,6,0,0,0,3,0,40,-123,246,2003,251,1,0,0,0,41005,102,0,104,465
2003,6,CA-LNF-3471,33,4,70,0,California,CA,cinder,H,Full Suppression,Full Suppression,Full Suppression,,9/25/2003,9/29/2003,5,0,0,0,2,0,40,-121,268,2003,272,1,0,0,0,40703,41,1,104,465
2003,6,CA-SLU-5785,24,5,80,0,California,CA,chimney,U,Full Suppression,Full Suppression,Full Suppression,,8/10/2003,8/13/2003,4,24,0,12,3,0,35,-120,222,2003,225,1,0,0,0,45201,527,0,104,465
2003,6,CA-LUR-0405,59,7,2,0,California,CA,165,H,Full Suppression,Full Suppression,Full Suppression,,6/5/2003,6/10/2003,6,0,0,0,0,0,37,-121,156,2003,161,1,0,0,0,44004,122,1,104,465
2003,6,CA-SCU-003143,68,8,25,0,California,CA,hoover fire,L,Full Suppression,Full Suppression,Full Suppression,,8/4/2003,8/8/2003,5,0,0,0,0,0,37,-121,216,2003,220,1,0,0,0,43502,81,0,104,465
2003,6,CA-BDU-8400,28,6,49,0,California,CA,wildwood,H,Full Suppression,Full Suppression,Full Suppression,,8/15/2003,8/16/2003,2,200,0,0,0,0,34,-117,227,2003,228,1,0,0,0,45109,57,1,104,465
2003,6,CA-MCP-2274,60,3,29,0,California,CA,case,U,Full Suppression,Full Suppression,Full Suppression,,9/25/2003,9/29/2003,5,0,0,0,0,0,33,-117,268,2003,272,1,0,0,0,45731,81,0,104,465
2003,6,CA-SCU-2846,31,9,79,0,California,CA,del puerto,L,Full Suppression,Full Suppression,Full Suppression,,7/20/2003,7/24/2003,5,0,0,0,12,0,37,-121,201,2003,205,1,0,0,0,43502,2392,0,104,465
2003,6,CA-LAC-136159,14,10,20,0,California,CA,dulce,U,Full Suppression,Full Suppression,Full Suppression,,7/5/2003,7/6/2003,2,0,0,0,1,0,34,-118,186,2003,187,1,0,0,0,45438,72,0,104,465
2003,6,CA-BDU-11262,43,6,38,1,California,CA,grand prix,H,Full Suppression,Full Suppression,Full Suppression,,10/21/2003,11/12/2003,23,13200,408,15525,35,0,34,-118,294,2003,316,1,0,0,0,45113,24058,1,104,465
