Metropolitan Areas: Identity Theft Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
50,"Cleveland, OH Metropolitan Statistical Area",328,"7,115"
51,"Fayetteville, NC Metropolitan Statistical Area",325,"1,268"
52,"Providence-Warwick, RI-MA Metropolitan Statistical Area",324,"5,422"
53,"Florence, SC Metropolitan Statistical Area",321,640
54,"North Port-Bradenton-Sarasota, FL Metropolitan Statistical Area",320,"2,770"
55,"Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",317,"7,473"
56,"Columbus, OH Metropolitan Statistical Area",316,"6,805"
57,"Sebastian-Vero Beach-West Vero Corridor, FL Metropolitan Statistical Area",316,518
58,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",315,"8,940"
59,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",314,"19,689"
60,"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area",313,"10,260"
61,"Indianapolis-Carmel-Greenwood, IN Metropolitan Statistical Area",312,"6,570"
62,"Lumberton, NC Micropolitan Statistical Area",309,361
63,"Jackson, MS Metropolitan Statistical Area",304,"1,873"
64,"Springfield, MA Metropolitan Statistical Area",302,"1,400"
65,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",302,"7,889"
66,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",298,"1,847"
67,"Worcester, MA Metropolitan Statistical Area",297,"2,561"
68,"Hammond, LA Metropolitan Statistical Area",297,401
69,"Panama City-Panama City Beach, FL Metropolitan Statistical Area",293,606
70,"Valdosta, GA Metropolitan Statistical Area",293,437
71,"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area",290,"1,648"
72,"Trenton-Princeton, NJ Metropolitan Statistical Area",290,"1,112"
73,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",290,"1,998"
74,"Huntsville, AL Metropolitan Statistical Area",289,"1,459"
75,"Rockford, IL Metropolitan Statistical Area",288,968
76,"Raleigh-Cary, NC Metropolitan Statistical Area",286,"4,150"
77,"Ocala, FL Metropolitan Statistical Area",286,"1,108"
78,"Monroe, LA Metropolitan Statistical Area",285,640
79,"Lafayette, LA Metropolitan Statistical Area",284,"1,168"
80,"Vallejo, CA Metropolitan Statistical Area",283,"1,278"
81,"Slidell-Mandeville-Covington, LA Metropolitan Statistical Area",281,757
82,"Kiryas Joel-Poughkeepsie-Newburgh, NY Metropolitan Statistical Area",279,"1,959"
83,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",279,"2,414"
84,"Bakersfield-Delano, CA Metropolitan Statistical Area",277,"2,525"
85,"Fresno, CA Metropolitan Statistical Area",276,"3,235"
86,"Richmond, VA Metropolitan Statistical Area",274,"3,637"
87,"Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area",271,"2,571"
88,"Anderson Creek, NC Micropolitan Statistical Area",270,368
89,"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area",269,"6,483"
90,"Reading, PA Metropolitan Statistical Area",268,"1,151"
91,"Greenville-Anderson-Greer, SC Metropolitan Statistical Area",267,"2,525"
92,"Spartanburg, SC Metropolitan Statistical Area",266,972
93,"Rocky Mount, NC Metropolitan Statistical Area",265,382
94,"Virginia Beach-Chesapeake-Norfolk, VA-NC Metropolitan Statistical Area",263,"4,689"
95,"Stockton-Lodi, CA Metropolitan Statistical Area",260,"2,048"
96,"Champaign-Urbana, IL Metropolitan Statistical Area",259,611
97,"St. Louis, MO-IL Metropolitan Statistical Area",258,"7,242"
98,"Myrtle Beach-Conway-North Myrtle Beach, SC Metropolitan Statistical Area",256,944
99,"Wichita Falls, TX Metropolitan Statistical Area",252,375
100,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",250,"11,641"
101,"Longview, TX Metropolitan Statistical Area",250,722
102,"New Haven, CT Metropolitan Statistical Area",249,"1,414"
103,"Visalia, CA Metropolitan Statistical Area",249,"1,186"
104,"Milwaukee-Waukesha, WI Metropolitan Statistical Area",248,"3,882"
105,"Akron, OH Metropolitan Statistical Area",246,"1,720"
106,"Rochester, NY Metropolitan Statistical Area",244,"2,586"
107,"Dayton-Kettering-Beavercreek, OH Metropolitan Statistical Area",244,"1,984"
108,"Greensboro-High Point, NC Metropolitan Statistical Area",241,"1,880"
109,"Vineland, NJ Metropolitan Statistical Area",240,367
110,"Barnstable Town, MA Metropolitan Statistical Area",239,550
111,"Amherst Town-Northampton, MA Metropolitan Statistical Area",238,372
112,"Denver-Aurora-Centennial, CO Metropolitan Statistical Area",237,"7,056"
113,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",236,872
114,"Waterbury-Shelton, CT Metropolitan Statistical Area",235,"1,061"
115,"Waco, TX Metropolitan Statistical Area",234,701
116,"Punta Gorda, FL Metropolitan Statistical Area",232,452
117,"Flint, MI Metropolitan Statistical Area",231,932
118,"Auburn-Opelika, AL Metropolitan Statistical Area",229,451
119,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",229,"4,515"
120,"Tyler, TX Metropolitan Statistical Area",229,544
121,"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",228,"2,613"
122,"Anniston-Oxford, AL Metropolitan Statistical Area",227,264
123,"Gainesville, FL Metropolitan Statistical Area",227,783
124,"Durham-Chapel Hill, NC Metropolitan Statistical Area",227,"1,348"
125,"Sebring, FL Metropolitan Statistical Area",226,235
126,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",226,"1,166"
127,"Gulfport-Biloxi, MS Metropolitan Statistical Area",225,940
128,"El Paso, TX Metropolitan Statistical Area",224,"1,950"
129,"Colorado Springs, CO Metropolitan Statistical Area",222,"1,692"
130,"Clarksville, TN-KY Metropolitan Statistical Area",222,730
131,"Springfield, OH Metropolitan Statistical Area",221,300
132,"Springfield, IL Metropolitan Statistical Area",219,455
133,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",219,"1,837"
134,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",219,"4,470"
135,"Shelby-Kings Mountain, NC Micropolitan Statistical Area",218,218
136,"Lubbock, TX Metropolitan Statistical Area",216,768
137,"Corpus Christi, TX Metropolitan Statistical Area",216,967
138,"Texarkana, TX-AR Metropolitan Statistical Area",216,317
139,"Goldsboro, NC Metropolitan Statistical Area",213,251
140,"Sherman-Denison, TX Metropolitan Statistical Area",213,298
141,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",212,"1,867"
142,"Seaford, DE Micropolitan Statistical Area",212,525
143,"Houma-Bayou Cane-Thibodaux, LA Metropolitan Statistical Area",211,430
144,"Ann Arbor, MI Metropolitan Statistical Area",209,771
145,"Dothan, AL Metropolitan Statistical Area",207,314
146,"Harrisburg-Carlisle, PA Metropolitan Statistical Area",207,"1,236"
147,"Boulder, CO Metropolitan Statistical Area",206,677
148,"Oklahoma City, OK Metropolitan Statistical Area",205,"2,968"
149,"Lake Charles, LA Metropolitan Statistical Area",205,505
150,"Lexington Park, MD Metropolitan Statistical Area",205,427
151,"Brownsville-Harlingen, TX Metropolitan Statistical Area",205,868
152,"Tucson, AZ Metropolitan Statistical Area",204,"2,146"
153,"Youngstown-Warren, OH Metropolitan Statistical Area",202,865
154,"Hilton Head Island-Bluffton-Port Royal, SC Metropolitan Statistical Area",201,448
155,"Chattanooga, TN-GA Metropolitan Statistical Area",199,"1,135"
156,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",199,586
157,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",199,"4,477"
158,"Amarillo, TX Metropolitan Statistical Area",198,535
159,"Asheville, NC Metropolitan Statistical Area",198,813
160,"Hanford-Corcoran, CA Metropolitan Statistical Area",197,301
161,"Sandusky, OH Metropolitan Statistical Area",196,226
162,"St. George, UT Metropolitan Statistical Area",196,372
163,"Modesto, CA Metropolitan Statistical Area",196,"1,082"
164,"Hattiesburg, MS Metropolitan Statistical Area",195,302
165,"Jonesboro, AR Metropolitan Statistical Area",195,263
166,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",195,"7,838"
167,"York-Hanover, PA Metropolitan Statistical Area",195,895
168,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",195,"2,653"
169,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",195,467
170,"San Angelo, TX Metropolitan Statistical Area",194,235
171,"Wilmington, NC Metropolitan Statistical Area",194,855
172,"Buffalo-Cheektowaga, NY Metropolitan Statistical Area",194,"2,253"
173,"Las Cruces, NM Metropolitan Statistical Area",194,430
174,"Toledo, OH Metropolitan Statistical Area",193,"1,163"
175,"Kansas City, MO-KS Metropolitan Statistical Area",193,"4,247"
176,"Pittsfield, MA Metropolitan Statistical Area",192,246
177,"Reno, NV Metropolitan Statistical Area",192,"1,069"
178,"Alexandria, LA Metropolitan Statistical Area",192,289
179,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",190,"1,719"
180,"Brunswick-St. Simons, GA Metropolitan Statistical Area",190,217
181,"Tulsa, OK Metropolitan Statistical Area",189,"1,935"
182,"Greeley, CO Metropolitan Statistical Area",188,641
183,"Winston-Salem, NC Metropolitan Statistical Area",187,"1,279"
184,"Pittsburgh, PA Metropolitan Statistical Area",187,"4,571"
185,"Bloomington, IL Metropolitan Statistical Area",186,318
186,"Salisbury, MD Metropolitan Statistical Area",186,239
187,"Lexington-Fayette, KY Metropolitan Statistical Area",186,960
188,"Gainesville, GA Metropolitan Statistical Area",184,384
189,"Burlington, NC Metropolitan Statistical Area",184,320
190,"Abilene, TX Metropolitan Statistical Area",183,327
191,"Homosassa Springs, FL Metropolitan Statistical Area",183,290
192,"Chico, CA Metropolitan Statistical Area",182,382
193,"Kalamazoo-Portage, MI Metropolitan Statistical Area",181,474
194,"Decatur, IL Metropolitan Statistical Area",181,186
195,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",181,"4,548"
196,"Canton-Massillon, OH Metropolitan Statistical Area",181,723
197,"Spokane-Spokane Valley, WA Metropolitan Statistical Area",180,"1,063"
198,"College Station-Bryan, TX Metropolitan Statistical Area",179,490
199,"Paducah, KY-IL Metropolitan Statistical Area",179,184
200,"Topeka, KS Metropolitan Statistical Area",179,416
201,"Tupelo, MS Micropolitan Statistical Area",179,236
202,"Norwich-New London-Willimantic, CT Metropolitan Statistical Area",178,498
203,"Bozeman, MT Metropolitan Statistical Area",178,217
204,"Olympia-Lacey-Tumwater, WA Metropolitan Statistical Area",177,525
205,"Lawton, OK Metropolitan Statistical Area",177,225
206,"Athens-Clarke County, GA Metropolitan Statistical Area",177,386
207,"Prescott Valley-Prescott, AZ Metropolitan Statistical Area",177,427
208,"Pueblo, CO Metropolitan Statistical Area",177,298
209,"Pottsville, PA Micropolitan Statistical Area",177,253
210,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",176,221
211,"Manhattan, KS Metropolitan Statistical Area",176,235
212,"Kingston, NY Metropolitan Statistical Area",176,320
213,"Gadsden, AL Metropolitan Statistical Area",175,181
214,"Salt Lake City-Murray, UT Metropolitan Statistical Area",175,"2,212"
215,"Jackson, TN Metropolitan Statistical Area",174,314
216,"Torrington, CT Micropolitan Statistical Area",172,194
217,"Hot Springs, AR Metropolitan Statistical Area",172,172
218,"Wildwood-The Villages, FL Metropolitan Statistical Area",172,236
219,"Albuquerque, NM Metropolitan Statistical Area",170,"1,563"
220,"Lebanon, PA Metropolitan Statistical Area",169,243
221,"Merced, CA Metropolitan Statistical Area",169,482
222,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",168,502
223,"Yuba City, CA Metropolitan Statistical Area",168,306
224,"Wichita, KS Metropolitan Statistical Area",167,"1,085"
225,"Sunbury, PA Micropolitan Statistical Area",167,182
226,"Manchester-Nashua, NH Metropolitan Statistical Area",167,709
227,"Muskegon-Norton Shores, MI Metropolitan Statistical Area",166,291
228,"Decatur, AL Metropolitan Statistical Area",166,260
229,"Laredo, TX Metropolitan Statistical Area",165,442
230,"Redding, CA Metropolitan Statistical Area",165,299
231,"Madison, WI Metropolitan Statistical Area",164,"1,123"
232,"Lynchburg, VA Metropolitan Statistical Area",163,429
233,"Erie, PA Metropolitan Statistical Area",162,438
234,"Omaha, NE-IA Metropolitan Statistical Area",162,"1,580"
235,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",162,620
236,"Fort Wayne, IN Metropolitan Statistical Area",162,732
237,"Fort Collins-Loveland, CO Metropolitan Statistical Area",162,588
238,"Jacksonville, NC Metropolitan Statistical Area",161,336
239,"Morristown, TN Metropolitan Statistical Area",161,194
240,"New Bern, NC Micropolitan Statistical Area",160,196
241,"Des Moines-West Des Moines, IA Metropolitan Statistical Area",159,"1,147"
242,"Lawrence, KS Metropolitan Statistical Area",159,190
243,"Eugene-Springfield, OR Metropolitan Statistical Area",158,605
244,"Syracuse, NY Metropolitan Statistical Area",158,"1,038"
245,"Cleveland, TN Metropolitan Statistical Area",158,201
246,"Pinehurst-Southern Pines, NC Metropolitan Statistical Area",158,162
247,"Napa, CA Metropolitan Statistical Area",157,214
248,"Niles, MI Metropolitan Statistical Area",156,240
249,"Peoria, IL Metropolitan Statistical Area",156,572
250,"Racine-Mount Pleasant, WI Metropolitan Statistical Area",155,306
251,"Binghamton, NY Metropolitan Statistical Area",155,382
252,"Roanoke, VA Metropolitan Statistical Area",155,488
253,"Medford, OR Metropolitan Statistical Area",155,345
254,"Charleston, WV Metropolitan Statistical Area",155,321
255,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",154,335
256,"Bellingham, WA Metropolitan Statistical Area",153,350
257,"Kalispell, MT Micropolitan Statistical Area",153,166
258,"Knoxville, TN Metropolitan Statistical Area",153,"1,407"
259,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",152,677
260,"Watertown-Fort Drum, NY Metropolitan Statistical Area",152,176
261,"Grand Rapids-Wyoming-Kentwood, MI Metropolitan Statistical Area",151,"1,742"
262,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",150,"5,552"
263,"Salem, OR Metropolitan Statistical Area",150,653
264,"Lansing-East Lansing, MI Metropolitan Statistical Area",150,706
265,"St. Joseph, MO-KS Metropolitan Statistical Area",150,181
266,"Provo-Orem-Lehi, UT Metropolitan Statistical Area",150,"1,042"
267,"Idaho Falls, ID Metropolitan Statistical Area",149,242
268,"Utica-Rome, NY Metropolitan Statistical Area",149,432
269,"Billings, MT Metropolitan Statistical Area",149,279
270,"Yuma, AZ Metropolitan Statistical Area",149,309
271,"Grand Junction, CO Metropolitan Statistical Area",149,234
272,"Danville, VA Micropolitan Statistical Area",148,152
273,"Kenosha, WI Metropolitan Statistical Area",148,250
274,"Boise City, ID Metropolitan Statistical Area",148,"1,173"
275,"Fargo, ND-MN Metropolitan Statistical Area",148,378
276,"Michigan City-La Porte, IN Metropolitan Statistical Area",148,166
277,"Saginaw, MI Metropolitan Statistical Area",148,280
278,"Janesville-Beloit, WI Metropolitan Statistical Area",148,242
279,"Bend, OR Metropolitan Statistical Area",147,374
280,"Evansville, IN Metropolitan Statistical Area",147,397
281,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",147,475
282,"Battle Creek, MI Metropolitan Statistical Area",146,196
283,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",146,223
284,"Springfield, MO Metropolitan Statistical Area",146,703
285,"Kahului-Wailuku, HI Metropolitan Statistical Area",146,240
286,"Williamsport, PA Metropolitan Statistical Area",145,165
287,"Lancaster, PA Metropolitan Statistical Area",145,805
288,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",145,532
289,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",145,385
290,"Portland-South Portland, ME Metropolitan Statistical Area",145,806
291,"Iowa City, IA Metropolitan Statistical Area",144,255
292,"Elizabethtown, KY Metropolitan Statistical Area",143,181
293,"Urban Honolulu, HI Metropolitan Statistical Area",143,"1,433"
294,"Flagstaff, AZ Metropolitan Statistical Area",142,206
295,"Albany, OR Metropolitan Statistical Area",142,184
296,"Fayetteville-Springdale-Rogers, AR Metropolitan Statistical Area",141,796
297,"Cedar Rapids, IA Metropolitan Statistical Area",141,388
298,"Santa Rosa-Petaluma, CA Metropolitan Statistical Area",140,681
299,"Cheyenne, WY Metropolitan Statistical Area",139,140
300,"Ogden, UT Metropolitan Statistical Area",139,895
301,"Columbia, MO Metropolitan Statistical Area",139,295
302,"Salem, OH Micropolitan Statistical Area",136,138
303,"Charlottesville, VA Metropolitan Statistical Area",135,300
304,"Missoula, MT Metropolitan Statistical Area",134,167
305,"Monroe, MI Metropolitan Statistical Area",134,208
306,"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area",134,370
307,"Eureka-Arcata, CA Micropolitan Statistical Area",133,180
308,"Truckee-Grass Valley, CA Micropolitan Statistical Area",133,136
309,"Winchester, VA-WV Metropolitan Statistical Area",132,191
310,"Fort Smith, AR-OK Metropolitan Statistical Area",132,302
311,"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",131,370
312,"Mansfield, OH Metropolitan Statistical Area",131,164
313,"Show Low, AZ Micropolitan Statistical Area",131,141
314,"Johnstown, PA Metropolitan Statistical Area",129,171
315,"El Centro, CA Metropolitan Statistical Area",129,231
316,"Jackson, MI Metropolitan Statistical Area",129,206
317,"Hermitage, PA Micropolitan Statistical Area",128,141
318,"Concord, NH Micropolitan Statistical Area",128,198
319,"Salinas, CA Metropolitan Statistical Area",127,555
320,"Bloomington, IN Metropolitan Statistical Area",127,205
321,"Coeur d'Alene, ID Metropolitan Statistical Area",126,224
322,"Kennewick-Richland, WA Metropolitan Statistical Area",125,385
323,"Jamestown-Dunkirk, NY Micropolitan Statistical Area",124,157
324,"Lincoln, NE Metropolitan Statistical Area",124,423
325,"Lewiston-Auburn, ME Metropolitan Statistical Area",124,139
326,"Santa Fe, NM Metropolitan Statistical Area",124,192
327,"Dalton, GA Metropolitan Statistical Area",123,176
328,"Lafayette-West Lafayette, IN Metropolitan Statistical Area",122,275
329,"Lima, OH Metropolitan Statistical Area",122,124
330,"Longview-Kelso, WA Metropolitan Statistical Area",121,135
331,"Oshkosh-Neenah, WI Metropolitan Statistical Area",121,207
332,"Terre Haute, IN Metropolitan Statistical Area",120,203
333,"Johnson City, TN Metropolitan Statistical Area",120,251
334,"Sioux Falls, SD-MN Metropolitan Statistical Area",120,352
335,"Muncie, IN Metropolitan Statistical Area",120,134
336,"Joplin, MO-KS Metropolitan Statistical Area",119,240
337,"Chambersburg, PA Metropolitan Statistical Area",118,185
338,"Augusta-Waterville, ME Micropolitan Statistical Area",117,147
339,"Richmond-Berea, KY Micropolitan Statistical Area",117,145
340,"Anchorage, AK Metropolitan Statistical Area",116,464
341,"Staunton-Stuarts Draft, VA Metropolitan Statistical Area",116,146
342,"Ottawa, IL Micropolitan Statistical Area",116,171
343,"Bowling Green, KY Metropolitan Statistical Area",116,212
344,"Ithaca, NY Metropolitan Statistical Area",116,119
345,"Bay City, MI Metropolitan Statistical Area",115,119
346,"Traverse City, MI Metropolitan Statistical Area",115,178
347,"Cookeville, TN Micropolitan Statistical Area",115,165
348,"Bismarck, ND Metropolitan Statistical Area",114,153
349,"Burlington-South Burlington, VT Metropolitan Statistical Area",114,258
350,"Harrisonburg, VA Metropolitan Statistical Area",114,155
351,"Bangor, ME Metropolitan Statistical Area",113,174
352,"Gettysburg, PA Metropolitan Statistical Area",113,119
353,"Appleton, WI Metropolitan Statistical Area",113,276
354,"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",112,130
355,"Hilo-Kailua, HI Micropolitan Statistical Area",112,229
356,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",112,146
357,"Whitewater-Elkhorn, WI Micropolitan Statistical Area",112,118
358,"Roseburg, OR Micropolitan Statistical Area",111,124
359,"Logan, UT-ID Metropolitan Statistical Area",111,168
360,"Kingsport-Bristol, TN-VA Metropolitan Statistical Area",110,342
361,"Twin Falls, ID Metropolitan Statistical Area",110,129
362,"Elkhart-Goshen, IN Metropolitan Statistical Area",110,228
363,"Ames, IA Metropolitan Statistical Area",110,138
364,"Rapid City, SD Metropolitan Statistical Area",110,166
365,"Corbin, KY Micropolitan Statistical Area",110,164
366,"Moses Lake, WA Micropolitan Statistical Area",110,110
367,"Wooster, OH Micropolitan Statistical Area",109,127
368,"State College, PA Metropolitan Statistical Area",109,172
369,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",109,183
370,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",109,405
371,"Lebanon-Claremont, NH-VT Micropolitan Statistical Area",109,242
372,"Beckley, WV Metropolitan Statistical Area",108,123
373,"Wenatchee-East Wenatchee, WA Metropolitan Statistical Area",107,132
374,"Owensboro, KY Metropolitan Statistical Area",107,120
375,"Green Bay, WI Metropolitan Statistical Area",106,350
376,"Glens Falls, NY Metropolitan Statistical Area",104,132
377,"Rochester, MN Metropolitan Statistical Area",103,233
378,"Morgantown, WV Metropolitan Statistical Area",102,143
379,"Jefferson City, MO Metropolitan Statistical Area",101,152
380,"Sheboygan, WI Metropolitan Statistical Area",100,118
381,"Mankato, MN Metropolitan Statistical Area",99,103
382,"Fond du Lac, WI Metropolitan Statistical Area",99,103
383,"Yakima, WA Metropolitan Statistical Area",97,249
384,"Grand Forks, ND-MN Metropolitan Statistical Area",96,100
385,"Duluth, MN-WI Metropolitan Statistical Area",96,269
386,"Wheeling, WV-OH Metropolitan Statistical Area",95,131
387,"Massena-Ogdensburg, NY Micropolitan Statistical Area",93,100
388,"Eau Claire, WI Metropolitan Statistical Area",92,159
389,"Sioux City, IA-NE-SD Metropolitan Statistical Area",92,132
390,"Farmington, NM Metropolitan Statistical Area",90,109
391,"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",89,152
392,"St. Cloud, MN Metropolitan Statistical Area",89,178
393,"Altoona, PA Metropolitan Statistical Area",88,107
394,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",85,155
395,"Wausau, WI Metropolitan Statistical Area",79,109
396,"Holland, MI Micropolitan Statistical Area",79,95
397,"Ponce, PR Metropolitan Statistical Area",71,193
398,"San Juan-Bayamón-Caguas, PR Metropolitan Statistical Area",50,"1,042"
399,"Aguadilla, PR Metropolitan Statistical Area",48,122
400,"Arecibo, PR Metropolitan Statistical Area",46,83
401,"Mayagüez, PR Metropolitan Statistical Area",36,76
,,,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",,,
