Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
112,"Slidell-Mandeville-Covington, LA Metropolitan Statistical Area","1,246","3,356"
113,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","1,246","25,458"
114,"Santa Fe, NM Metropolitan Statistical Area","1,242","1,927"
115,"Pittsburgh, PA Metropolitan Statistical Area","1,241","30,335"
116,"Vineland, NJ Metropolitan Statistical Area","1,241","1,897"
117,"Milwaukee-Waukesha, WI Metropolitan Statistical Area","1,233","19,316"
118,"Flint, MI Metropolitan Statistical Area","1,232","4,978"
119,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area","1,228","3,665"
120,"Harrisburg-Carlisle, PA Metropolitan Statistical Area","1,227","7,336"
121,"Tyler, TX Metropolitan Statistical Area","1,222","2,909"
122,"Olympia-Lacey-Tumwater, WA Metropolitan Statistical Area","1,221","3,621"
123,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area","1,218","59,918"
124,"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area","1,209","13,836"
125,"El Paso, TX Metropolitan Statistical Area","1,205","10,479"
126,"Reno, NV Metropolitan Statistical Area","1,203","6,697"
127,"Wilmington, NC Metropolitan Statistical Area","1,203","5,300"
128,"Anderson Creek, NC Micropolitan Statistical Area","1,198","1,635"
129,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","1,192","29,934"
130,"Waterbury-Shelton, CT Metropolitan Statistical Area","1,189","5,378"
131,"Lexington Park, MD Metropolitan Statistical Area","1,188","2,473"
132,"Valdosta, GA Metropolitan Statistical Area","1,186","1,769"
133,"Chattanooga, TN-GA Metropolitan Statistical Area","1,183","6,737"
134,"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area","1,182","3,269"
135,"Rockford, IL Metropolitan Statistical Area","1,176","3,959"
136,"Ann Arbor, MI Metropolitan Statistical Area","1,173","4,321"
137,"Reading, PA Metropolitan Statistical Area","1,173","5,043"
138,"Hilton Head Island-Bluffton-Port Royal, SC Metropolitan Statistical Area","1,172","2,611"
139,"Roanoke, VA Metropolitan Statistical Area","1,168","3,674"
140,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area","1,166","3,429"
141,"Manchester-Nashua, NH Metropolitan Statistical Area","1,166","4,951"
142,"Brunswick-St. Simons, GA Metropolitan Statistical Area","1,163","1,330"
143,"Kingston, NY Metropolitan Statistical Area","1,161","2,114"
144,"Omaha, NE-IA Metropolitan Statistical Area","1,160","11,283"
145,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area","1,159","10,455"
146,"Albuquerque, NM Metropolitan Statistical Area","1,147","10,534"
147,"Gulfport-Biloxi, MS Metropolitan Statistical Area","1,143","4,784"
148,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","1,140","22,452"
149,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area","1,136","9,522"
150,"Lexington-Fayette, KY Metropolitan Statistical Area","1,134","5,868"
151,"New Bern, NC Micropolitan Statistical Area","1,133","1,390"
152,"Kalamazoo-Portage, MI Metropolitan Statistical Area","1,130","2,954"
153,"Longview, TX Metropolitan Statistical Area","1,126","3,254"
154,"Cheyenne, WY Metropolitan Statistical Area","1,124","1,131"
155,"Monroe, LA Metropolitan Statistical Area","1,122","2,522"
156,"Anniston-Oxford, AL Metropolitan Statistical Area","1,118","1,299"
157,"Burlington, NC Metropolitan Statistical Area","1,116","1,945"
158,"Kansas City, MO-KS Metropolitan Statistical Area","1,115","24,559"
159,"Champaign-Urbana, IL Metropolitan Statistical Area","1,114","2,631"
160,"Torrington, CT Micropolitan Statistical Area","1,109","1,252"
161,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area","1,105","2,652"
162,"Hammond, LA Metropolitan Statistical Area","1,100","1,488"
163,"Hattiesburg, MS Metropolitan Statistical Area","1,097","1,695"
164,"Beaumont-Port Arthur, TX Metropolitan Statistical Area","1,090","4,317"
165,"Auburn-Opelika, AL Metropolitan Statistical Area","1,089","2,141"
166,"Eugene-Springfield, OR Metropolitan Statistical Area","1,089","4,165"
167,"Spokane-Spokane Valley, WA Metropolitan Statistical Area","1,086","6,424"
168,"Winston-Salem, NC Metropolitan Statistical Area","1,085","7,415"
169,"Dayton-Kettering-Beavercreek, OH Metropolitan Statistical Area","1,084","8,820"
170,"Springfield, MA Metropolitan Statistical Area","1,079","4,994"
171,"Bellingham, WA Metropolitan Statistical Area","1,077","2,461"
172,"Bend, OR Metropolitan Statistical Area","1,077","2,732"
173,"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area","1,076","3,028"
174,"Stockton-Lodi, CA Metropolitan Statistical Area","1,074","8,456"
175,"Jacksonville, NC Metropolitan Statistical Area","1,074","2,239"
176,"Rochester, NY Metropolitan Statistical Area","1,073","11,364"
177,"Pueblo, CO Metropolitan Statistical Area","1,071","1,807"
178,"Cincinnati, OH-KY-IN Metropolitan Statistical Area","1,071","24,149"
179,"Norwich-New London-Willimantic, CT Metropolitan Statistical Area","1,067","2,978"
180,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","1,065","14,501"
181,"Oklahoma City, OK Metropolitan Statistical Area","1,065","15,385"
182,"Hot Springs, AR Metropolitan Statistical Area","1,064","1,065"
183,"Charlottesville, VA Metropolitan Statistical Area","1,064","2,371"
184,"Shelby-Kings Mountain, NC Micropolitan Statistical Area","1,057","1,059"
185,"Bakersfield-Delano, CA Metropolitan Statistical Area","1,057","9,625"
186,"Toledo, OH Metropolitan Statistical Area","1,052","6,344"
187,"Salt Lake City-Murray, UT Metropolitan Statistical Area","1,042","13,144"
188,"Providence-Warwick, RI-MA Metropolitan Statistical Area","1,042","17,440"
189,"Springfield, IL Metropolitan Statistical Area","1,041","2,159"
190,"Anchorage, AK Metropolitan Statistical Area","1,035","4,138"
191,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area","1,033","38,139"
192,"Missoula, MT Metropolitan Statistical Area","1,024","1,274"
193,"Fresno, CA Metropolitan Statistical Area","1,022","11,969"
194,"Amarillo, TX Metropolitan Statistical Area","1,020","2,756"
195,"Santa Rosa-Petaluma, CA Metropolitan Statistical Area","1,015","4,928"
196,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area","1,015","2,699"
197,"Gadsden, AL Metropolitan Statistical Area","1,014","1,047"
198,"Lebanon, PA Metropolitan Statistical Area","1,013","1,455"
199,"Lawton, OK Metropolitan Statistical Area","1,010","1,284"
200,"Wichita Falls, TX Metropolitan Statistical Area","1,010","1,504"
201,"Barnstable Town, MA Metropolitan Statistical Area","1,009","2,322"
202,"Syracuse, NY Metropolitan Statistical Area","1,008","6,626"
203,"Tulsa, OK Metropolitan Statistical Area","1,007","10,338"
204,"York-Hanover, PA Metropolitan Statistical Area","1,005","4,617"
205,"Goldsboro, NC Metropolitan Statistical Area","1,005","1,182"
206,"Worcester, MA Metropolitan Statistical Area","1,005","8,660"
207,"Madison, WI Metropolitan Statistical Area","1,002","6,855"
208,"Buffalo-Cheektowaga, NY Metropolitan Statistical Area","1,002","11,637"
209,"Gainesville, GA Metropolitan Statistical Area","1,001","2,087"
210,"Danville, VA Micropolitan Statistical Area","1,001","1,025"
211,"Hilo-Kailua, HI Micropolitan Statistical Area","1,000","2,036"
212,"Salisbury, MD Metropolitan Statistical Area",999,"1,287"
213,"Chico, CA Metropolitan Statistical Area",997,"2,088"
214,"Amherst Town-Northampton, MA Metropolitan Statistical Area",996,"1,560"
215,"Kalispell, MT Micropolitan Statistical Area",995,"1,079"
216,"Lynchburg, VA Metropolitan Statistical Area",992,"2,607"
217,"Medford, OR Metropolitan Statistical Area",992,"2,207"
218,"Sherman-Denison, TX Metropolitan Statistical Area",988,"1,383"
219,"Decatur, IL Metropolitan Statistical Area",985,"1,011"
220,"Coeur d'Alene, ID Metropolitan Statistical Area",983,"1,748"
221,"Pottsville, PA Micropolitan Statistical Area",982,"1,407"
222,"Waco, TX Metropolitan Statistical Area",982,"2,938"
223,"Fort Wayne, IN Metropolitan Statistical Area",982,"4,431"
224,"Pittsfield, MA Metropolitan Statistical Area",980,"1,255"
225,"Urban Honolulu, HI Metropolitan Statistical Area",979,"9,823"
226,"Lansing-East Lansing, MI Metropolitan Statistical Area",977,"4,598"
227,"Pinehurst-Southern Pines, NC Metropolitan Statistical Area",976,"1,004"
228,"Las Cruces, NM Metropolitan Statistical Area",974,"2,158"
229,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",971,"3,563"
230,"Racine-Mount Pleasant, WI Metropolitan Statistical Area",971,"1,911"
231,"Jackson, TN Metropolitan Statistical Area",970,"1,754"
232,"Dothan, AL Metropolitan Statistical Area",969,"1,471"
233,"Concord, NH Micropolitan Statistical Area",964,"1,494"
234,"Knoxville, TN Metropolitan Statistical Area",963,"8,856"
235,"Redding, CA Metropolitan Statistical Area",962,"1,747"
236,"Youngstown-Warren, OH Metropolitan Statistical Area",958,"4,105"
237,"Boise City, ID Metropolitan Statistical Area",958,"7,571"
238,"Michigan City-La Porte, IN Metropolitan Statistical Area",957,"1,073"
239,"Tupelo, MS Micropolitan Statistical Area",955,"1,262"
240,"Burlington-South Burlington, VT Metropolitan Statistical Area",955,"2,164"
241,"Bloomington, IL Metropolitan Statistical Area",950,"1,624"
242,"Grand Junction, CO Metropolitan Statistical Area",943,"1,483"
243,"Ithaca, NY Metropolitan Statistical Area",940,967
244,"Lake Charles, LA Metropolitan Statistical Area",939,"2,309"
245,"Portland-South Portland, ME Metropolitan Statistical Area",935,"5,215"
246,"Binghamton, NY Metropolitan Statistical Area",934,"2,296"
247,"Sunbury, PA Micropolitan Statistical Area",932,"1,016"
248,"Lebanon-Claremont, NH-VT Micropolitan Statistical Area",931,"2,075"
249,"Kahului-Wailuku, HI Metropolitan Statistical Area",930,"1,532"
250,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",927,"3,006"
251,"Eureka-Arcata, CA Micropolitan Statistical Area",927,"1,255"
252,"Canton-Massillon, OH Metropolitan Statistical Area",927,"3,711"
253,"Springfield, MO Metropolitan Statistical Area",919,"4,427"
254,"Evansville, IN Metropolitan Statistical Area",917,"2,472"
255,"Johnson City, TN Metropolitan Statistical Area",915,"1,912"
256,"Salem, OR Metropolitan Statistical Area",915,"3,979"
257,"Lewiston-Auburn, ME Metropolitan Statistical Area",913,"1,025"
258,"Kenosha, WI Metropolitan Statistical Area",910,"1,532"
259,"Morgantown, WV Metropolitan Statistical Area",910,"1,280"
260,"Topeka, KS Metropolitan Statistical Area",907,"2,110"
261,"College Station-Bryan, TX Metropolitan Statistical Area",905,"2,472"
262,"Columbia, MO Metropolitan Statistical Area",903,"1,921"
263,"Grand Rapids-Wyoming-Kentwood, MI Metropolitan Statistical Area",902,"10,409"
264,"Texarkana, TX-AR Metropolitan Statistical Area",901,"1,324"
265,"Yuma, AZ Metropolitan Statistical Area",901,"1,872"
266,"Peoria, IL Metropolitan Statistical Area",901,"3,296"
267,"Bozeman, MT Metropolitan Statistical Area",901,"1,101"
268,"Napa, CA Metropolitan Statistical Area",900,"1,225"
269,"Erie, PA Metropolitan Statistical Area",900,"2,425"
270,"Jackson, MI Metropolitan Statistical Area",897,"1,437"
271,"Niles, MI Metropolitan Statistical Area",897,"1,376"
272,"Albany, OR Metropolitan Statistical Area",896,"1,163"
273,"Wichita, KS Metropolitan Statistical Area",895,"5,811"
274,"Lawrence, KS Metropolitan Statistical Area",895,"1,070"
275,"Greeley, CO Metropolitan Statistical Area",893,"3,042"
276,"Athens-Clarke County, GA Metropolitan Statistical Area",893,"1,948"
277,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",893,"1,164"
278,"Yuba City, CA Metropolitan Statistical Area",885,"1,611"
279,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",884,"3,376"
280,"Charleston, WV Metropolitan Statistical Area",883,"1,831"
281,"Springfield, OH Metropolitan Statistical Area",882,"1,194"
282,"Rapid City, SD Metropolitan Statistical Area",880,"1,329"
283,"Flagstaff, AZ Metropolitan Statistical Area",878,"1,270"
284,"Jonesboro, AR Metropolitan Statistical Area",875,"1,180"
285,"Sandusky, OH Metropolitan Statistical Area",875,"1,007"
286,"Modesto, CA Metropolitan Statistical Area",873,"4,819"
287,"Roseburg, OR Micropolitan Statistical Area",870,973
288,"Watertown-Fort Drum, NY Metropolitan Statistical Area",869,"1,009"
289,"Manhattan, KS Metropolitan Statistical Area",866,"1,155"
290,"Janesville-Beloit, WI Metropolitan Statistical Area",863,"1,415"
291,"Billings, MT Metropolitan Statistical Area",859,"1,608"
292,"Altoona, PA Metropolitan Statistical Area",858,"1,046"
293,"Bloomington, IN Metropolitan Statistical Area",857,"1,382"
294,"Fargo, ND-MN Metropolitan Statistical Area",856,"2,183"
295,"St. George, UT Metropolitan Statistical Area",856,"1,625"
296,"Battle Creek, MI Metropolitan Statistical Area",854,"1,143"
297,"Augusta-Waterville, ME Micropolitan Statistical Area",852,"1,070"
298,"Beckley, WV Metropolitan Statistical Area",851,967
299,"Longview-Kelso, WA Metropolitan Statistical Area",849,947
300,"Massena-Ogdensburg, NY Micropolitan Statistical Area",849,915
301,"Utica-Rome, NY Metropolitan Statistical Area",844,"2,444"
302,"Lancaster, PA Metropolitan Statistical Area",842,"4,675"
303,"Johnstown, PA Metropolitan Statistical Area",840,"1,112"
304,"Kingsport-Bristol, TN-VA Metropolitan Statistical Area",839,"2,598"
305,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",836,"1,518"
306,"Des Moines-West Des Moines, IA Metropolitan Statistical Area",836,"6,021"
307,"Fayetteville-Springdale-Rogers, AR Metropolitan Statistical Area",828,"4,668"
308,"Ogden, UT Metropolitan Statistical Area",825,"5,324"
309,"Corpus Christi, TX Metropolitan Statistical Area",823,"3,675"
310,"Cleveland, TN Metropolitan Statistical Area",821,"1,046"
311,"Houma-Bayou Cane-Thibodaux, LA Metropolitan Statistical Area",820,"1,674"
312,"Abilene, TX Metropolitan Statistical Area",820,"1,462"
313,"Muskegon-Norton Shores, MI Metropolitan Statistical Area",819,"1,437"
314,"Provo-Orem-Lehi, UT Metropolitan Statistical Area",819,"5,697"
315,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",815,"3,619"
316,"Show Low, AZ Micropolitan Statistical Area",815,878
317,"Iowa City, IA Metropolitan Statistical Area",813,"1,443"
318,"Jamestown-Dunkirk, NY Micropolitan Statistical Area",811,"1,025"
319,"Lincoln, NE Metropolitan Statistical Area",804,"2,743"
320,"Cedar Rapids, IA Metropolitan Statistical Area",800,"2,209"
321,"Rochester, MN Metropolitan Statistical Area",800,"1,818"
322,"Richmond-Berea, KY Micropolitan Statistical Area",798,992
323,"San Angelo, TX Metropolitan Statistical Area",798,964
324,"Bangor, ME Metropolitan Statistical Area",796,"1,222"
325,"Decatur, AL Metropolitan Statistical Area",795,"1,248"
326,"Williamsport, PA Metropolitan Statistical Area",794,902
327,"Duluth, MN-WI Metropolitan Statistical Area",793,"2,226"
328,"Saginaw, MI Metropolitan Statistical Area",793,"1,500"
329,"Joplin, MO-KS Metropolitan Statistical Area",789,"1,596"
330,"Cookeville, TN Micropolitan Statistical Area",788,"1,134"
331,"State College, PA Metropolitan Statistical Area",787,"1,244"
332,"Merced, CA Metropolitan Statistical Area",786,"2,244"
333,"Staunton-Stuarts Draft, VA Metropolitan Statistical Area",777,979
334,"Wheeling, WV-OH Metropolitan Statistical Area",775,"1,069"
335,"Fond du Lac, WI Metropolitan Statistical Area",774,805
336,"Sioux Falls, SD-MN Metropolitan Statistical Area",773,"2,266"
337,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",764,"1,167"
338,"Hermitage, PA Micropolitan Statistical Area",764,839
339,"Paducah, KY-IL Metropolitan Statistical Area",763,785
340,"Oshkosh-Neenah, WI Metropolitan Statistical Area",762,"1,306"
341,"Glens Falls, NY Metropolitan Statistical Area",759,960
342,"Morristown, TN Metropolitan Statistical Area",758,916
343,"Muncie, IN Metropolitan Statistical Area",758,850
344,"Green Bay, WI Metropolitan Statistical Area",758,"2,496"
345,"Kennewick-Richland, WA Metropolitan Statistical Area",756,"2,328"
346,"Wenatchee-East Wenatchee, WA Metropolitan Statistical Area",751,925
347,"Monroe, MI Metropolitan Statistical Area",746,"1,157"
348,"Gettysburg, PA Metropolitan Statistical Area",746,785
349,"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",746,862
350,"Jefferson City, MO Metropolitan Statistical Area",741,"1,113"
351,"Traverse City, MI Metropolitan Statistical Area",740,"1,145"
352,"Salem, OH Micropolitan Statistical Area",726,735
353,"Appleton, WI Metropolitan Statistical Area",726,"1,773"
354,"Harrisonburg, VA Metropolitan Statistical Area",726,989
355,"Sheboygan, WI Metropolitan Statistical Area",723,851
356,"Visalia, CA Metropolitan Statistical Area",721,"3,432"
357,"Chambersburg, PA Metropolitan Statistical Area",720,"1,127"
358,"Lafayette-West Lafayette, IN Metropolitan Statistical Area",717,"1,613"
359,"St. Joseph, MO-KS Metropolitan Statistical Area",710,856
360,"Idaho Falls, ID Metropolitan Statistical Area",701,"1,136"
361,"Hanford-Corcoran, CA Metropolitan Statistical Area",694,"1,060"
362,"Whitewater-Elkhorn, WI Micropolitan Statistical Area",690,728
363,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",689,"2,569"
364,"Bowling Green, KY Metropolitan Statistical Area",686,"1,257"
365,"Bay City, MI Metropolitan Statistical Area",686,708
366,"Salinas, CA Metropolitan Statistical Area",681,"2,969"
367,"St. Cloud, MN Metropolitan Statistical Area",678,"1,361"
368,"Elkhart-Goshen, IN Metropolitan Statistical Area",674,"1,395"
369,"Mansfield, OH Metropolitan Statistical Area",672,841
370,"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",672,"1,142"
371,"Mankato, MN Metropolitan Statistical Area",670,695
372,"Fort Smith, AR-OK Metropolitan Statistical Area",665,"1,523"
373,"Terre Haute, IN Metropolitan Statistical Area",664,"1,121"
374,"Twin Falls, ID Metropolitan Statistical Area",661,773
375,"Logan, UT-ID Metropolitan Statistical Area",656,996
376,"Owensboro, KY Metropolitan Statistical Area",654,735
377,"Lima, OH Metropolitan Statistical Area",653,664
378,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",646,"1,087"
379,"Ames, IA Metropolitan Statistical Area",644,807
380,"Eau Claire, WI Metropolitan Statistical Area",641,"1,108"
381,"Sioux City, IA-NE-SD Metropolitan Statistical Area",621,895
382,"Farmington, NM Metropolitan Statistical Area",616,746
383,"Wausau, WI Metropolitan Statistical Area",611,844
384,"Wooster, OH Micropolitan Statistical Area",605,706
385,"Ottawa, IL Micropolitan Statistical Area",605,893
386,"Laredo, TX Metropolitan Statistical Area",594,"1,591"
387,"Bismarck, ND Metropolitan Statistical Area",594,797
388,"Yakima, WA Metropolitan Statistical Area",590,"1,515"
389,"Grand Forks, ND-MN Metropolitan Statistical Area",585,606
390,"Holland, MI Micropolitan Statistical Area",581,702
